cluster_id,cluster_name,top_node,dominant_category,n_nodes,n_sources,edge_purity,notes
8,Fund and expand AI safety research teams within leading labs,Fund and expand AI safety research teams within leading labs and academia,intervention,232,179,1.0,
4,Mandate pre-deployment safety evaluations and red-teaming fo,Mandate pre-deployment safety evaluations and red-teaming for advanced AI system,intervention,199,173,1.0,
5,Integrate adversarial evaluation into pre-deployment testing,Integrate adversarial evaluation into pre-deployment testing for RL systems,intervention,189,174,1.0,
26,Fine-tune robot policies with inclusive reward learning usin,Fine-tune robot policies with inclusive reward learning using underestimating ch,intervention,172,141,1.0,
35,Fine-tune RL agents using human preference-based reward mode,Fine-tune RL agents using human preference-based reward models to align intent,intervention,162,152,1.0,
0,Apply continuous weight decay during pre-training and fine-t,Apply continuous weight decay during pre-training and fine-tuning to prevent dou,intervention,124,99,1.0,
9,Adopt transformer-based scalable architectures and allocate ,Adopt transformer-based scalable architectures and allocate sufficient compute f,intervention,120,91,1.0,
11,Produce and share accessible AI x-risk educational content f,Produce and share accessible AI x-risk educational content for researchers and p,intervention,117,104,1.0,
6,Apply adversarial training during fine-tuning to improve rob,Apply adversarial training during fine-tuning to improve robustness and interpre,intervention,111,98,1.0,
1,deploy ml-driven intrusion detection and vulnerability patch,deploy ml-driven intrusion detection and vulnerability patching across ai infras,intervention,105,94,1.0,
25,Deploy explainable Bayesian diagnostic support systems in cl,Deploy explainable Bayesian diagnostic support systems in clinical workflows,intervention,105,93,1.0,
23,Deploy legible motion planning in robots interacting with hu,Deploy legible motion planning in robots interacting with humans,intervention,99,84,1.0,
10,Implement international AI regulatory frameworks and enforce,Implement international AI regulatory frameworks and enforcement mechanisms,intervention,86,76,1.0,
19,Pre-train policy networks via supervised imitation learning ,Pre-train policy networks via supervised imitation learning on human demonstrati,intervention,80,73,1.0,
2,Deploy RL-guided Monte Carlo Tree Search for planning in saf,Deploy RL-guided Monte Carlo Tree Search for planning in safety-critical AI syst,intervention,75,67,1.0,
24,Fine-tune language models with RLHF to reduce misalignment,Fine-tune language models with RLHF to reduce misalignment,intervention,72,71,1.0,
34,Pretrain AI models on diverse large-scale datasets before ta,Pretrain AI models on diverse large-scale datasets before task-specific fine-tun,intervention,70,57,1.0,
22,Deploy rejection sampling filtering to block disallowed mode,Deploy rejection sampling filtering to block disallowed model outputs,intervention,68,56,1.0,
38,Organize professional forecasting competitions on AI progres,Organize professional forecasting competitions on AI progress metrics to guide s,intervention,67,56,1.0,
15,Deploy interpretability analysis suites on models before dep,Deploy interpretability analysis suites on models before deployment,intervention,62,58,1.0,
21,Conduct formal verification of AI codebases before deploymen,Conduct formal verification of AI codebases before deployment,intervention,47,39,1.0,
18,Fine-tune models jointly for task and critique generation to,Fine-tune models jointly for task and critique generation to assist human evalua,intervention,45,44,1.0,
17,deploy self-triggered robustness-surrogate communication pro,deploy self-triggered robustness-surrogate communication protocol during MARL ex,intervention,42,40,1.0,
39,Enforce export controls on advanced AI chips during distribu,Enforce export controls on advanced AI chips during distribution,intervention,41,38,1.0,
36,Apply AugMix-style data augmentation during model pre-traini,Apply AugMix-style data augmentation during model pre-training,intervention,38,34,1.0,
33,Deploy HHH prompt during model interactions to reduce harmfu,Deploy HHH prompt during model interactions to reduce harmful or dishonest outpu,intervention,34,32,1.0,
32,Apply attainable utility preservation penalty with stepwise ,Apply attainable utility preservation penalty with stepwise inaction baseline du,intervention,29,26,1.0,
31,Deploy coding-based AI assistants to accelerate alignment re,Deploy coding-based AI assistants to accelerate alignment research before TAI,intervention,27,24,1.0,
13,replace click-through RL objectives with supervised preferen,replace click-through RL objectives with supervised preference prediction in rec,intervention,26,22,1.0,
20,Integrate experience replay buffer with uniform random sampl,Integrate experience replay buffer with uniform random sampling during RL traini,intervention,25,22,1.0,
16,train and deploy deep ensembles to improve uncertainty robus,train and deploy deep ensembles to improve uncertainty robustness,intervention,25,19,1.0,
3,Adopt neuromorphic spiking hardware for deployment of energy,Adopt neuromorphic spiking hardware for deployment of energy-efficient AI models,intervention,22,21,1.0,
27,Include KL divergence penalty term during RLHF optimization ,Include KL divergence penalty term during RLHF optimization to prevent mode coll,intervention,22,20,1.0,
30,Use periodic target Q-network updates during RL training to ,Use periodic target Q-network updates during RL training to stabilize value lear,intervention,17,15,1.0,
14,Publish monthly beginner-friendly AGI safety FAQ threads on ,Publish monthly beginner-friendly AGI safety FAQ threads on community forums,intervention,15,12,1.0,
12,Conduct pre-deployment fairness audits and adjust credit sco,Conduct pre-deployment fairness audits and adjust credit scoring algorithms to r,intervention,13,13,1.0,
7,Collect training data using automated crowdsourced platform ,Collect training data using automated crowdsourced platform with randomized imag,intervention,11,11,1.0,
28,Strengthen and extend nuclear arms reduction treaties and no,Strengthen and extend nuclear arms reduction treaties and nonproliferation regim,intervention,10,8,1.0,
37,apply rank-one model editing to update factual knowledge dur,apply rank-one model editing to update factual knowledge during fine-tuning phas,intervention,6,6,1.0,
29,Conduct large-scale isotropic fractionator studies across ma,Conduct large-scale isotropic fractionator studies across mammalian brains to re,intervention,5,4,1.0,
