cluster_id,meta_k10,meta_k12,cluster_name,n_nodes,meta_k15
28,1,1,International treaty banning autonomous weapons,9,1
39,2,2,Export controls on advanced AI hardware,39,2
0,3,3,Training-time regularization for robust generalization,126,3
2,3,3,MCTS-Guided RL Planning and Training,76,4
6,3,3,PGD Adversarial Training for Robust Fine-Tuning,111,3
7,3,4,Structured Human and Synthetic Data Collection Pipelines,12,5
9,3,3,Choose robust model architectures at design time,122,3
13,3,3,Multi-objective recommender ranking with safety penalties,26,4
16,3,3,Ensemble-based uncertainty and robustness mitigation,25,3
18,3,3,Critique-guided fine-tuning and human feedback,50,4
19,3,3,Demonstration-Based Policy Pretraining,80,4
24,3,3,RLHF fine-tuning for aligned language models,75,4
26,3,3,Reward-guided RL fine-tuning with safety constraints,174,4
27,3,3,KL-Regularized RLHF Fine-Tuning,23,4
32,3,3,Attainable Utility Preservation reward penalty,35,4
34,3,3,Large-scale pretraining before task fine-tuning,71,3
35,3,3,Human-preference reward model fine-tuning,166,4
36,3,3,Robustness-Oriented Training Data Augmentation,38,3
30,4,5,Periodic target networks for stable Q-learning,17,6
20,5,6,Uniform Experience Replay for RL Training,25,7
1,6,8,Continuous anomaly monitoring and safety tripwires,106,9
3,6,8,"Efficient, local, and controllable AI hardware deployment",22,11
4,6,8,Pre-deployment safety gates and controlled release,202,9
5,6,8,Pre-deployment adversarial red-teaming and robustness testing,190,9
8,6,7,Expand AI Safety Research Funding and Capacity,236,8
10,6,7,Governed AI oversight and compliance regimes,86,8
11,6,7,Public AI risk outreach and educational dissemination,116,8
12,6,8,Pre-deployment bias auditing and fairness mitigation,14,10
15,6,8,Pre-deployment mechanistic interpretability audits,71,9
17,6,8,Runtime control and coordination modules,42,9
21,6,8,Formal Verification for Pre-Deployment AI Safety,48,9
22,6,8,Deployment-time confidence filtering and rejection sampling,69,9
23,6,8,Human-aware predictive robot control and safety planning,101,9
25,6,8,Explainable decision support with uncertainty and counterfactuals,105,9
31,6,8,Human-AI collaboration tools for skill building,28,9
38,6,7,Incentivized AI forecasting and prediction systems,66,8
33,7,9,Deployment-time prompt engineering for aligned behavior,34,12
29,8,10,"Neuroscience validation platforms for cognition, emulation, and alignment resear",5,13
14,9,11,Beginner-Friendly AGI Safety Knowledge Infrastructure,13,14
37,10,12,ROME-based factual knowledge editing,6,15
