rank,risk_cid,interv_cid,interv_type,risk_name,interv_name,n_paths_c1,n_paths_c2,c1_boost,novelty_note,post_2023_paper
1,16.0,35.0,technical,Insufficient AI safety research capacity,Human-preference reward model fine-tuning,684,4242,684,,TBD
2,25.0,24.0,technical,Misaligned Superintelligent AI Existential Risk,RLHF fine-tuning for aligned language models,457,1703,457,,TBD
3,16.0,6.0,technical,Insufficient AI safety research capacity,PGD Adversarial Training for Robust Fine-Tuning,315,2095,315,,TBD
4,10.0,19.0,governance,Existential catastrophe from misaligned AI,Demonstration-Based Policy Pretraining,265,851,265,,TBD
5,10.0,26.0,technical,Existential catastrophe from misaligned AI,Reward-guided RL fine-tuning with safety constraints,262,2096,262,,TBD
6,10.0,32.0,technical,Existential catastrophe from misaligned AI,Attainable Utility Preservation reward penalty,208,1526,208,,TBD
7,20.0,35.0,technical,Deceptive alignment and hidden objectives,Human-preference reward model fine-tuning,200,1306,200,,TBD
8,16.0,15.0,governance,Insufficient AI safety research capacity,Pre-deployment mechanistic interpretability audits,184,1121,184,,TBD
9,10.0,17.0,technical,Existential catastrophe from misaligned AI,Runtime control and coordination modules,179,597,179,,TBD
10,25.0,26.0,technical,Misaligned Superintelligent AI Existential Risk,Reward-guided RL fine-tuning with safety constraints,175,995,175,,TBD
11,2.0,35.0,technical,AI arms race causing unsafe deployment,Human-preference reward model fine-tuning,170,1460,170,,TBD
12,25.0,39.0,governance,Misaligned Superintelligent AI Existential Risk,Export controls on advanced AI hardware,163,1004,163,,TBD
13,25.0,32.0,technical,Misaligned Superintelligent AI Existential Risk,Attainable Utility Preservation reward penalty,162,782,162,,TBD
14,26.0,29.0,technical,Misaligned AGI existential catastrophe,"Neuroscience validation platforms for cognition, emulation, and alignment research",150,243,150,,TBD
15,25.0,17.0,technical,Misaligned Superintelligent AI Existential Risk,Runtime control and coordination modules,131,371,131,,TBD
16,21.0,32.0,technical,Catastrophic AI misalignment and loss of control,Attainable Utility Preservation reward penalty,129,744,129,,TBD
17,25.0,15.0,governance,Misaligned Superintelligent AI Existential Risk,Pre-deployment mechanistic interpretability audits,124,942,124,,TBD
18,16.0,32.0,technical,Insufficient AI safety research capacity,Attainable Utility Preservation reward penalty,118,810,118,,TBD
19,1.0,24.0,technical,Malicious misuse of frontier AI for large-scale harm,RLHF fine-tuning for aligned language models,110,622,110,,TBD
20,34.0,35.0,technical,Instrumental power-seeking by advanced AI agents,Human-preference reward model fine-tuning,110,422,110,,TBD
