risk_meta_id,risk_meta_name,meta_family_id,meta_family_name,interv_meta_id,interv_meta_name,n_triplet_paths
5,Algorithmic discrimination in high-stakes decisions,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,21194
5,Algorithmic discrimination in high-stakes decisions,23,Human feedback loops for objective alignment,3,Reward-guided RL fine-tuning with safety constraints,5778
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,5089
5,Algorithmic discrimination in high-stakes decisions,19,Global governance enables coordinated AI safety controls,6,Expand AI Safety Research Funding and Capacity,4190
5,Algorithmic discrimination in high-stakes decisions,25,Robust reward learning and specification gaming,6,Expand AI Safety Research Funding and Capacity,1769
5,Algorithmic discrimination in high-stakes decisions,4,Adversarial robustness through PGD training,3,Reward-guided RL fine-tuning with safety constraints,1704
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,23,Human feedback loops for objective alignment,3,Reward-guided RL fine-tuning with safety constraints,1498
5,Algorithmic discrimination in high-stakes decisions,15,Corrigible transparency and secure oversight mechanisms,6,Expand AI Safety Research Funding and Capacity,1350
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,19,Global governance enables coordinated AI safety controls,6,Expand AI Safety Research Funding and Capacity,1257
5,Algorithmic discrimination in high-stakes decisions,21,Human-feedback alignment and goal specification,6,Expand AI Safety Research Funding and Capacity,1238
5,Algorithmic discrimination in high-stakes decisions,25,Robust reward learning and specification gaming,3,Reward-guided RL fine-tuning with safety constraints,1228
5,Algorithmic discrimination in high-stakes decisions,5,Compute chokepoints enabling scalable governance,2,Export controls on advanced AI hardware,1133
5,Algorithmic discrimination in high-stakes decisions,11,Mechanistic interpretability for hidden model cognition,6,Expand AI Safety Research Funding and Capacity,1090
5,Algorithmic discrimination in high-stakes decisions,4,Adversarial robustness through PGD training,6,Expand AI Safety Research Funding and Capacity,972
5,Algorithmic discrimination in high-stakes decisions,17,Expanding AI safety research and implementation capacity,6,Expand AI Safety Research Funding and Capacity,780
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,4,Adversarial robustness through PGD training,3,Reward-guided RL fine-tuning with safety constraints,676
5,Algorithmic discrimination in high-stakes decisions,21,Human-feedback alignment and goal specification,3,Reward-guided RL fine-tuning with safety constraints,671
5,Algorithmic discrimination in high-stakes decisions,15,Corrigible transparency and secure oversight mechanisms,3,Reward-guided RL fine-tuning with safety constraints,647
5,Algorithmic discrimination in high-stakes decisions,29,Preference learning and reward alignment mechanisms,3,Reward-guided RL fine-tuning with safety constraints,626
5,Algorithmic discrimination in high-stakes decisions,2,B83,6,Expand AI Safety Research Funding and Capacity,455
5,Algorithmic discrimination in high-stakes decisions,6,Behavior shaping via reflective alignment prompting,7,Deployment-time prompt engineering for aligned behavior,435
5,Algorithmic discrimination in high-stakes decisions,6,Behavior shaping via reflective alignment prompting,3,Reward-guided RL fine-tuning with safety constraints,435
3,Existential catastrophe from misaligned AI,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,434
5,Algorithmic discrimination in high-stakes decisions,7,B79,6,Expand AI Safety Research Funding and Capacity,420
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,25,Robust reward learning and specification gaming,6,Expand AI Safety Research Funding and Capacity,351
5,Algorithmic discrimination in high-stakes decisions,11,Mechanistic interpretability for hidden model cognition,8,"Neuroscience validation platforms for cognition, emulation, and alignment research",318
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,21,Human-feedback alignment and goal specification,6,Expand AI Safety Research Funding and Capacity,314
3,Existential catastrophe from misaligned AI,4,Adversarial robustness through PGD training,3,Reward-guided RL fine-tuning with safety constraints,314
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,29,Preference learning and reward alignment mechanisms,3,Reward-guided RL fine-tuning with safety constraints,311
5,Algorithmic discrimination in high-stakes decisions,10,B114,3,Reward-guided RL fine-tuning with safety constraints,274
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,11,Mechanistic interpretability for hidden model cognition,6,Expand AI Safety Research Funding and Capacity,270
5,Algorithmic discrimination in high-stakes decisions,8,B133,6,Expand AI Safety Research Funding and Capacity,266
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,5,Compute chokepoints enabling scalable governance,2,Export controls on advanced AI hardware,240
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,15,Corrigible transparency and secure oversight mechanisms,6,Expand AI Safety Research Funding and Capacity,237
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,25,Robust reward learning and specification gaming,3,Reward-guided RL fine-tuning with safety constraints,235
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,4,Adversarial robustness through PGD training,6,Expand AI Safety Research Funding and Capacity,215
3,Existential catastrophe from misaligned AI,4,Adversarial robustness through PGD training,6,Expand AI Safety Research Funding and Capacity,210
5,Algorithmic discrimination in high-stakes decisions,24,B101,3,Reward-guided RL fine-tuning with safety constraints,181
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,26,B126,3,Reward-guided RL fine-tuning with safety constraints,180
5,Algorithmic discrimination in high-stakes decisions,23,Human feedback loops for objective alignment,6,Expand AI Safety Research Funding and Capacity,179
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,17,Expanding AI safety research and implementation capacity,6,Expand AI Safety Research Funding and Capacity,172
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,15,Corrigible transparency and secure oversight mechanisms,3,Reward-guided RL fine-tuning with safety constraints,171
5,Algorithmic discrimination in high-stakes decisions,6,Behavior shaping via reflective alignment prompting,6,Expand AI Safety Research Funding and Capacity,153
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,21,Human-feedback alignment and goal specification,3,Reward-guided RL fine-tuning with safety constraints,151
5,Algorithmic discrimination in high-stakes decisions,26,B126,3,Reward-guided RL fine-tuning with safety constraints,147
3,Existential catastrophe from misaligned AI,23,Human feedback loops for objective alignment,3,Reward-guided RL fine-tuning with safety constraints,144
5,Algorithmic discrimination in high-stakes decisions,30,B113,6,Expand AI Safety Research Funding and Capacity,136
5,Algorithmic discrimination in high-stakes decisions,14,B96,6,Expand AI Safety Research Funding and Capacity,129
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,7,B79,6,Expand AI Safety Research Funding and Capacity,126
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,2,B83,6,Expand AI Safety Research Funding and Capacity,123
5,Algorithmic discrimination in high-stakes decisions,24,B101,6,Expand AI Safety Research Funding and Capacity,122
5,Algorithmic discrimination in high-stakes decisions,1,B111,6,Expand AI Safety Research Funding and Capacity,114
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,24,B101,3,Reward-guided RL fine-tuning with safety constraints,110
5,Algorithmic discrimination in high-stakes decisions,26,B126,6,Expand AI Safety Research Funding and Capacity,100
3,Existential catastrophe from misaligned AI,19,Global governance enables coordinated AI safety controls,6,Expand AI Safety Research Funding and Capacity,99
5,Algorithmic discrimination in high-stakes decisions,13,B167,3,Reward-guided RL fine-tuning with safety constraints,94
5,Algorithmic discrimination in high-stakes decisions,11,Mechanistic interpretability for hidden model cognition,9,Beginner-Friendly AGI Safety Knowledge Infrastructure,91
5,Algorithmic discrimination in high-stakes decisions,18,Funding and training to build AI safety capacity,1,International treaty banning autonomous weapons,80
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,24,B101,6,Expand AI Safety Research Funding and Capacity,78
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,6,Behavior shaping via reflective alignment prompting,3,Reward-guided RL fine-tuning with safety constraints,77
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,14,B96,6,Expand AI Safety Research Funding and Capacity,73
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,6,Behavior shaping via reflective alignment prompting,7,Deployment-time prompt engineering for aligned behavior,72
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,13,B167,3,Reward-guided RL fine-tuning with safety constraints,67
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,11,Mechanistic interpretability for hidden model cognition,8,"Neuroscience validation platforms for cognition, emulation, and alignment research",66
5,Algorithmic discrimination in high-stakes decisions,28,B166,6,Expand AI Safety Research Funding and Capacity,66
5,Algorithmic discrimination in high-stakes decisions,13,B167,6,Expand AI Safety Research Funding and Capacity,64
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,30,B113,6,Expand AI Safety Research Funding and Capacity,62
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,6,Behavior shaping via reflective alignment prompting,6,Expand AI Safety Research Funding and Capacity,61
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,10,B114,3,Reward-guided RL fine-tuning with safety constraints,59
3,Existential catastrophe from misaligned AI,11,Mechanistic interpretability for hidden model cognition,6,Expand AI Safety Research Funding and Capacity,52
4,Engagement-Driven Recommendation Manipulates and Polarizes Users,11,Mechanistic interpretability for hidden model cognition,9,Beginner-Friendly AGI Safety Knowledge Infrastructure,52
10,Unreliable and costly RL alignment transfer,18,Funding and training to build AI safety capacity,6,Expand AI Safety Research Funding and Capacity,46
