stratum,risk_rank,risk_id,risk_name,eigenvector,pa_id,pa_name,pa_description,is_race_framed,notes
1,5,alignmentforum__5b5d2d9e4c89e193769aa693286677cb__node_1,Societal disruption from rapid AI progress,0.0006423598112738704,alignmentforum__5b5d2d9e4c89e193769aa693286677cb__node_3,Competitive deployment pressures reducing safety measures,"Corporate or national races for advantage may incentivise deploying untrustworthy AI systems prematurely, lowering safety standards.",1,
1,8,lesswrong__905466ccf5781608111ee0c06eccc1eb__node_2,societal destabilization from unregulated dual-use AI deployment,0.0005959698858787812,lesswrong__905466ccf5781608111ee0c06eccc1eb__node_5,competitive race dynamics among AI developers reducing safety investment,"Firms fear losing advantage to rivals or other nations, creating pressure to prioritize capability scaling over cautious safety practices.",1,
1,12,eaforum__bf452fd7f3e160813c67849cddb24464__node_0,Human disempowerment by competitively deployed advanced AI systems,0.0005730776559158713,eaforum__bf452fd7f3e160813c67849cddb24464__node_1,Competitive pressures incentivizing rapid AI capability deployment over safety,"Analysis that firms feel forced to ship more capable AI quickly to beat rivals, which sidelines safety work.",1,
1,15,blogs__c1103fb8ef04326e258d11f79b7239b0__node_0,Catastrophic outcomes from misaligned advanced AI systems,0.0005525664652898917,blogs__c1103fb8ef04326e258d11f79b7239b0__node_3,Competitive race dynamics reducing investment in AI safety,Developers may under-invest in safety when competing to deploy transformative AI first.,1,
1,16,arxiv__c758dc937fb57a01341dc969f1d6c818__node_2,Structural instability in international security from AI integration,0.0005335772302721203,arxiv__c758dc937fb57a01341dc969f1d6c818__node_9,Competitive AI arms race dynamics accelerating unsafe deployment,"States or firms prioritise speed over safety, reducing willingness to share safety techniques or impose controls.",1,
1,17,blogs__3b7ad1c66d9766782292985e0ac6b47d__node_2,Geopolitical power imbalance from concentrated AI capabilities,0.0005307831846070023,blogs__3b7ad1c66d9766782292985e0ac6b47d__node_6,Competitive pressures incentivizing early deployment of unsafe AI,Problem that commercial or national races push actors to release systems before adequate alignment or security work is complete.,1,
1,21,special_docs__19faa2aadbed90bddb7dd10c1aaec5db__node_1,Global catastrophic coordination failure from superintelligent AI,0.0005237111863810477,special_docs__19faa2aadbed90bddb7dd10c1aaec5db__node_7,AI race dynamics reducing safety investment,Competition to be first with super-intelligence incentivises cutting safety corners (Coordination failures & AI risk).,1,
1,26,eaforum__35c26f47b349c1c680df6e34a13ee2c2__node_0,Race to the bottom on AI safety in global AI development,0.0004965797106005388,eaforum__35c26f47b349c1c680df6e34a13ee2c2__node_2,Competitive pressure between AI developers reducing safety investments,"Firms or states prioritise performance and deployment speed over safety to remain competitive, undermining careful development practices.",1,
1,30,youtube__72dbfa51468bca8a9a1c0013a1b2656f__node_2,AGI development race increasing existential risk,0.0004933725378421499,youtube__72dbfa51468bca8a9a1c0013a1b2656f__node_5,Competitive incentives reducing cooperation among AI developers,Firms or nations may prioritise speed over safety due to competitive pressure.,1,
1,32,eaforum__375368cb9a4890792d50702825783fb6__node_1,Destabilizing AI arms race in multipolar world,0.0004873847089088891,eaforum__375368cb9a4890792d50702825783fb6__node_5,Competitive dynamics incentivizing speed over safety,"Actors in an AI arms race prioritize rapid capability gains, reducing investment in safety measures.",1,
1,34,special_docs__dd4a8c96c3460723fbfd075ba1fe7ee8__node_0,Unsafe AGI deployment due to inadequate international cooperation in AI governance,0.00048395449197356115,special_docs__dd4a8c96c3460723fbfd075ba1fe7ee8__node_2,Competitive incentives in AI R&D accelerating deployment over safety in geopolitical context,"Problem mechanism where nation-states and corporations prioritize speed and capability gains, lowering investment in cooperative safety measures.",1,
1,37,eaforum__c966383fea973b7d444285f0144a2f3e__node_5,rapid AI progress outpacing societal adaptation,0.0004671437801958484,eaforum__c966383fea973b7d444285f0144a2f3e__node_11,competitive race dynamics incentivising speed over safety,"Actors fear falling behind rivals, pushing them to accelerate AI development and cut safety corners.",1,
1,39,eaforum__622c5140d13f751d4d67a2e13c7ffacf__node_0,Underinvestment in AI safety from competitive AI development race,0.0004598428215005779,eaforum__622c5140d13f751d4d67a2e13c7ffacf__node_2,Competitive race incentives among AI labs and nations,"Economic and geopolitical pressures reward rapid capability gains, creating incentives to prioritise speed over safety or oversight.",1,
1,40,lesswrong__0bbbda94ed65d3d65bc92b564dae4651__node_1,Unsafe AI deployment driven by race dynamics,0.00045940233905102806,lesswrong__0bbbda94ed65d3d65bc92b564dae4651__node_5,Competitive pressures reducing safety investments in AI development,"When multiple actors vie for AI dominance, delay penalties incentivise shortening evaluation cycles and skipping rigorous safety checks.",1,
1,41,eaforum__93bc71ab55db7c2ee28ac5d0662ea125__node_1,Adversarial technological maturity among AI-enabled actors,0.00044888616366821127,eaforum__93bc71ab55db7c2ee28ac5d0662ea125__node_4,Race dynamics accelerating AI deployment,"Competitive pressures among states or firms that encourage faster, less-safe AI development.",1,
1,47,youtube__5e34178834c3a7b28c3d66875b3551a7__node_0,Catastrophic AGI misalignment in competitive arms race,0.00040112794622381055,youtube__5e34178834c3a7b28c3d66875b3551a7__node_2,Arms race incentives reducing AI safety diligence,"Competitive pressure rewards faster progress and penalises time spent on exhaustive alignment and testing, leading to reduced diligence.",1,
1,48,youtube__5e34178834c3a7b28c3d66875b3551a7__node_1,Proliferation of lethal autonomous weapons in military arms race,0.00040112794622381055,youtube__5e34178834c3a7b28c3d66875b3551a7__node_2,Arms race incentives reducing AI safety diligence,"Competitive pressure rewards faster progress and penalises time spent on exhaustive alignment and testing, leading to reduced diligence.",1,
1,52,youtube__e6cc906fc260b51b8b01ae4c2dac78ac__node_4,Uncontrolled AI development from misaligned superorganisms,0.0003765833493175399,youtube__e6cc906fc260b51b8b01ae4c2dac78ac__node_9,Competitive incentives driving unsafe AI race among corporations and nations,Economic and geopolitical competition encourages rapid deployment over safety considerations.,1,
1,54,eaforum__3fb0cce84681cec76831a19c3d6fb971__node_0,Strategic misuse of transformative AI by influential actors,0.0003747347884734959,eaforum__3fb0cce84681cec76831a19c3d6fb971__node_2,AI development arms race incentives among governments and companies,"Competitive pressure to reach transformative AI first, potentially motivating actors to cut corners on safety or to weaponise AI.",1,
1,56,blogs__9cfda631256bcf6ad6d04ef7601bdb8d__node_1,Global coordination failure in AI development leading to unsafe deployment,0.0003389523265261005,blogs__9cfda631256bcf6ad6d04ef7601bdb8d__node_6,Competitive pressure reduces safety margins in AI development,Firms or nations may cut corners on alignment to outpace rivals.,1,
1,58,youtube__0d734b93dae6dd3f68b3f90fe7fec8d0__node_2,destabilizing international AI arms race,0.00033529519906744514,youtube__0d734b93dae6dd3f68b3f90fe7fec8d0__node_4,competitive incentives for rapid AI deployment reducing safety measures,Economic and geopolitical pressure encourages actors to prioritise capability gains over thorough safety work.,1,
1,64,eaforum__9c2134fc797f80f47922ed745e680a1a__node_0,Catastrophic misuse of God-like AI systems,0.00031126598755008394,eaforum__9c2134fc797f80f47922ed745e680a1a__node_3,Unchecked competitive race among leading AI labs,"Major companies compete to deploy increasingly powerful models quickly, creating incentives that sideline safety.",1,
1,73,blogs__21b0fba572f51edc62eb4c17a888d733__node_2,Uncontrollable advanced weapon proliferation via widely deployed AI,0.000287444809364903,blogs__21b0fba572f51edc62eb4c17a888d733__node_4,Incentivized racing among AI developers in commercial competition,"Firms rush to release more powerful models to stay ahead, discouraging caution.",1,
1,74,blogs__21b0fba572f51edc62eb4c17a888d733__node_3,Societal epistemic breakdown from AI-generated propaganda,0.000287444809364903,blogs__21b0fba572f51edc62eb4c17a888d733__node_4,Incentivized racing among AI developers in commercial competition,"Firms rush to release more powerful models to stay ahead, discouraging caution.",1,
1,75,eaforum__140c762ceca1d9e9533ba37929170f1a__node_2,Race-driven reduction of AI safety measures,0.00028120035823175926,eaforum__140c762ceca1d9e9533ba37929170f1a__node_5,Competitive pressure incentivizing speed over safety in AI development,"Firms may disable or omit safety features (e.g., emergency braking) to avoid falling behind rivals, worsening systemic risk.",1,
1,78,blogs__3efe9da74358f30f077055f8a2bbd2be__node_1,Safety research lagging behind accelerated AI capability progress,0.0002776275634917001,blogs__3efe9da74358f30f077055f8a2bbd2be__node_5,Investment race dynamics reducing safety prioritization,Competitive pressure among actors to advance AI capabilities can lead them to sacrifice or defer investment in safety work.,1,
1,79,lesswrong__1c2200455997df9ae17a62024f9a960b__node_0,Unsafe superintelligence deployment due to AI development race,0.0002717768957395296,lesswrong__1c2200455997df9ae17a62024f9a960b__node_1,Race dynamic reducing investment in safety in competitive AI development,"In a close contest for first superintelligence, each team gains by devoting resources to capability rather than costly safety measures, creating a systemic reduction in safety effort.",1,
1,80,eaforum__8e9ef353e8159f143b9cd79a48c36f5e__node_0,existential catastrophe from unsafe transformative AI deployment,0.0002689044844318006,eaforum__8e9ef353e8159f143b9cd79a48c36f5e__node_1,competitive deployment incentives in AI labs,"Economic and reputational pressures push AI labs to release increasingly capable systems quickly, often ahead of comprehensive safety checks.",1,
1,82,arbital__c6eb0e7be173ad123ced5cd79086cf9f__node_0,Catastrophic AI system failures from safety-neglect in arms race context,0.0002597963530048026,arbital__c6eb0e7be173ad123ced5cd79086cf9f__node_1,Competitive race to the bottom on AI safety among developers,"Situation where multiple AI actors reduce investment in safety to outpace rivals, lowering overall safety standards.",1,
1,83,lesswrong__529ccbe964f9e7f9e85668325a034430__node_1,Accelerated AGI arms race between nations leading to unsafe development,0.0002580225172556963,lesswrong__529ccbe964f9e7f9e85668325a034430__node_5,Geopolitical competition incentivizes speed over safety in AI development,International rivalry can prioritize being first over building safe systems.,1,
