cluster_id,n_nodes,n_sources,centroid_sim_mean,top5_names
2,129,105,0.5554,replace click-through RL objectives with supervised preferen | Deploy multi-objective recommender optimization with fairnes | Restrict outer-loop automated search to hyperparameter tunin | Avoid narrow proxy reward functions during steering subsyste | Increase computational search budget for debater
18,126,105,0.6997,fine-tune robot policies with PPO on simulated human learnin | Train RL policies via MB-MPO with ensemble dynamics and meta | Fine-tune policies with Generative Adversarial Imitation Lea | Integrate demonstration-based pretraining and hierarchical p | Train AI agents with self-play to converge on mi
3,121,103,0.6331,"Deploy integrated model compression pipeline during fine-tun | Integrate pre-training with Gold Loss Correction for label-n | Apply ADMM-based pattern & connectivity pruning during fine- | train and deploy deep ensembles to improve uncertainty robus | Train CNNs with iterative noisy label detection,"
22,118,105,0.7379,Fine-tune robot policies with inclusive reward learning usin | Fine-tune RL agents with human feedback on hypothetical traj | Fine-tune AGI with reward modeling and human feedback to ali | fine-tune RL agents with DDL using sparse human preference g | Apply inverse RL-based aligned reward models dur
4,113,98,0.6745,Implement international AI regulatory frameworks and enforce | Legislate and enforce risk-based AI regulation requiring pre | Deploy AI-powered verification and auditing tools within int | Adopt and enforce Asilomar-like AI safety guidelines across  | Establish mandatory ethics boards with veto powe
0,100,83,0.6463,Update reward model continuously with human preference queri | Fine-tune RL agents with continuously updated human-preferen | integrate reward uncertainty and human guidance into robot o | Continuously update reward model online with new human prefe | Deploy online reward-model adaptation using back
34,99,82,0.6632,Apply continuous weight decay during pre-training and fine-t | Apply weight decay regularization during training to control | Apply L2 weight decay during model training to bias optimiza | Tune weight decay hyperparameter during fine-tuning to favor | Apply dropout regularization during model fine-t
28,97,93,0.8316,Fine-tune models using RLHF to align behavior | Fine-tune language models with RLHF on curated human prefere | Fine-tune models with RLHF to align with human preferences | Implement RLHF during fine-tuning to align advanced models w | Fine-tune models using reward modeling for human preference 
19,91,71,0.6512,Architect deep models with residual skip connections at desi | Adopt transformer-based architectures with attention for vis | Design models with transformer self-attention architectures  | Design transformer-based NLP models with multi-head self-att | Design new language models with transformer self
1,89,77,0.6474,Deploy local surrogate interpretability tools in pre-deploym | Deploy explanation interfaces with uncertainty visualization | deploy counterfactual explanation modules in AI decision sys | Deploy human-AI collaborative tools that keep humans respons | Deploy RL agents with editable natural-language 
5,87,76,0.6473,Organize recurring AI alignment workshops at major ML confer | Conduct Friendly AI mathematical research workshops focused  | Run structured AI alignment reading groups with accountabili | Conduct community workshops to support informed AI policy su | Organize cross-national AI safety workshops at M
