cluster_id,meta_k10,meta_k12,cluster_name,n_nodes
29,1,1,AI-driven wealth and power concentration,8
37,1,2,AI-driven labor displacement and socioeconomic instability,23
32,2,3,AI shutdown resistance and control loss,15
34,2,3,Instrumental power-seeking by advanced AI agents,25
7,3,4,Human extinction from misaligned superintelligent AI,78
10,3,4,Existential catastrophe from misaligned AI,253
12,3,4,Catastrophic risks from misaligned advanced AI,74
18,3,4,Catastrophic Superintelligent AI Misalignment,33
19,3,4,Misaligned AI takeover and human disempowerment,99
21,3,4,Catastrophic AI misalignment and loss of control,117
25,3,4,Misaligned Superintelligent AI Existential Risk,135
26,3,4,Misaligned AGI existential catastrophe,135
27,3,4,Uncontrolled Recursive Self-Improvement Explosion,15
30,3,5,Existential catastrophe and human extinction risks,36
38,3,4,Catastrophic AGI Misalignment Risk,58
23,4,6,Engagement-Driven Recommendation Manipulates and Polarizes Users,18
28,5,7,Algorithmic discrimination in high-stakes decisions,41
1,6,8,Malicious misuse of frontier AI for large-scale harm,93
2,6,8,AI arms race causing unsafe deployment,88
4,6,8,Unsafe and Sample-Inefficient RL Exploration,319
6,6,8,Reward Misspecification and Reward Hacking,162
8,6,8,Human-AI Coordination Failure in Shared Environments,124
9,6,8,Deployed AI Misalignment Causes Societal Harm,189
11,6,8,Misforecasted AI Timelines Undermining Safety Preparedness,77
14,6,8,Unsafe AI Decisions in High-Stakes Settings,154
16,6,8,Insufficient AI safety research capacity,236
20,6,8,Deceptive alignment and hidden objectives,63
24,6,8,Objective Misspecification and Misaligned Optimization,36
31,6,8,Undetected unsafe behavior in deployed AI systems,57
35,6,8,Advanced AI value misalignment risk,96
39,6,8,Bias-Driven Progress Distortion and Stagnation,10
0,7,9,Out-of-distribution generalization failure,294
3,7,9,Opaque Transformer Reasoning Undermines Safety Oversight,34
5,7,9,Compute and data inefficiency in AI training,155
15,7,9,Opaque AI decision-making undermines oversight and safety,101
17,7,9,Adversarial Image Classification Misclassification,109
22,7,9,Deceptive and Harmful Language Model Outputs,215
33,8,10,AI-driven personal data privacy breaches,48
13,9,11,Unverified or computationally infeasible HCH-style alignment guarantees,4
36,10,12,Unreliable and costly RL alignment transfer,3
