risk_cid,bfamily_id,n_paths_r2c,interv_cid,n_paths_c2i,n_triplet_paths,risk_name,chain_name,interv_name
16,0,91,8,165,81,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
10,0,32,8,165,30,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
25,0,27,8,165,23,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
11,7,24,38,25,23,Misforecasted AI Timelines Undermining Safety Preparedness,,Incentivized AI forecasting and prediction systems
16,1,28,8,44,21,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
21,0,22,8,165,19,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
17,4,21,6,30,17,Adversarial Image Classification Misclassification,,PGD Adversarial Training for Robust Fine-Tuning
16,3,15,8,35,15,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
16,2,14,8,39,14,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
4,5,30,20,13,13,Unsafe and Sample-Inefficient RL Exploration,,Uniform Experience Replay for RL Training
4,21,11,23,13,11,Unsafe and Sample-Inefficient RL Exploration,,Human-aware predictive robot control and safety planning
4,5,30,30,11,11,Unsafe and Sample-Inefficient RL Exploration,,Periodic target networks for stable Q-learning
5,29,11,9,11,11,Compute and data inefficiency in AI training,,Choose robust model architectures at design time
0,15,12,36,14,11,Out-of-distribution generalization failure,,Robustness-Oriented Training Data Augmentation
1,41,9,4,9,9,Malicious misuse of frontier AI for large-scale harm,,Pre-deployment safety gates and controlled release
10,1,10,8,44,8,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
26,0,8,8,165,8,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
10,55,8,24,8,8,Existential catastrophe from misaligned AI,,RLHF fine-tuning for aligned language models
22,6,21,22,10,8,Deceptive and Harmful Language Model Outputs,,Deployment-time confidence filtering and rejection sampling
10,9,8,4,20,8,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
25,14,8,8,15,8,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
35,19,8,24,14,8,Advanced AI value misalignment risk,,RLHF fine-tuning for aligned language models
25,12,8,35,16,8,Misaligned Superintelligent AI Existential Risk,,Human-preference reward model fine-tuning
16,0,91,11,18,8,Insufficient AI safety research capacity,,Public AI risk outreach and educational dissemination
25,2,7,8,39,7,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
26,1,9,8,44,7,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
26,3,7,8,35,7,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
2,10,8,39,16,7,AI arms race causing unsafe deployment,,Export controls on advanced AI hardware
4,13,16,20,7,7,Unsafe and Sample-Inefficient RL Exploration,,Uniform Experience Replay for RL Training
6,47,7,32,8,7,Reward Misspecification and Reward Hacking,,Attainable Utility Preservation reward penalty
0,40,8,0,8,7,Out-of-distribution generalization failure,,Training-time regularization for robust generalization
16,1,28,11,13,7,Insufficient AI safety research capacity,,Public AI risk outreach and educational dissemination
17,20,7,6,12,7,Adversarial Image Classification Misclassification,,PGD Adversarial Training for Robust Fine-Tuning
6,26,6,35,12,6,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
6,25,6,4,12,6,Reward Misspecification and Reward Hacking,,Pre-deployment safety gates and controlled release
0,33,7,22,9,6,Out-of-distribution generalization failure,,Deployment-time confidence filtering and rejection sampling
5,38,8,9,6,6,Compute and data inefficiency in AI training,,Choose robust model architectures at design time
35,27,6,8,12,6,Advanced AI value misalignment risk,,Expand AI Safety Research Funding and Capacity
0,53,6,34,8,6,Out-of-distribution generalization failure,,Large-scale pretraining before task fine-tuning
6,24,6,24,12,6,Reward Misspecification and Reward Hacking,,RLHF fine-tuning for aligned language models
5,83,6,19,6,6,Compute and data inefficiency in AI training,,Demonstration-Based Policy Pretraining
10,2,6,8,39,6,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
25,17,6,4,14,6,Misaligned Superintelligent AI Existential Risk,,Pre-deployment safety gates and controlled release
4,13,16,30,6,6,Unsafe and Sample-Inefficient RL Exploration,,Periodic target networks for stable Q-learning
4,28,12,20,5,5,Unsafe and Sample-Inefficient RL Exploration,,Uniform Experience Replay for RL Training
22,6,21,5,6,5,Deceptive and Harmful Language Model Outputs,,Pre-deployment adversarial red-teaming and robustness testing
22,97,5,24,5,5,Deceptive and Harmful Language Model Outputs,,RLHF fine-tuning for aligned language models
14,94,5,25,5,5,Unsafe AI Decisions in High-Stakes Settings,,Explainable decision support with uncertainty and counterfactuals
0,39,8,9,6,5,Out-of-distribution generalization failure,,Choose robust model architectures at design time
33,99,5,6,5,5,AI-driven personal data privacy breaches,,PGD Adversarial Training for Robust Fine-Tuning
17,36,5,6,7,5,Adversarial Image Classification Misclassification,,PGD Adversarial Training for Robust Fine-Tuning
16,102,5,14,5,5,Insufficient AI safety research capacity,,Beginner-Friendly AGI Safety Knowledge Infrastructure
14,42,5,2,9,5,Unsafe AI Decisions in High-Stakes Settings,,MCTS-Guided RL Planning and Training
16,101,5,14,5,5,Insufficient AI safety research capacity,,Beginner-Friendly AGI Safety Knowledge Infrastructure
0,4,5,6,30,5,Out-of-distribution generalization failure,,PGD Adversarial Training for Robust Fine-Tuning
26,2,5,8,39,5,Misaligned AGI existential catastrophe,,Expand AI Safety Research Funding and Capacity
22,100,5,24,5,5,Deceptive and Harmful Language Model Outputs,,RLHF fine-tuning for aligned language models
10,3,5,8,35,5,Existential catastrophe from misaligned AI,,Expand AI Safety Research Funding and Capacity
4,77,6,26,5,5,Unsafe and Sample-Inefficient RL Exploration,,Reward-guided RL fine-tuning with safety constraints
10,16,5,4,13,5,Existential catastrophe from misaligned AI,,Pre-deployment safety gates and controlled release
21,2,5,8,39,5,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
6,34,5,35,9,5,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
25,3,5,8,35,5,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
9,87,4,32,5,4,Deployed AI Misalignment Causes Societal Harm,,Attainable Utility Preservation reward penalty
9,92,4,13,5,4,Deployed AI Misalignment Causes Societal Harm,,Multi-objective recommender ranking with safety penalties
10,11,4,35,17,4,Existential catastrophe from misaligned AI,,Human-preference reward model fine-tuning
5,42,4,2,9,4,Compute and data inefficiency in AI training,,MCTS-Guided RL Planning and Training
35,30,4,35,11,4,Advanced AI value misalignment risk,,Human-preference reward model fine-tuning
12,27,4,8,12,4,Catastrophic risks from misaligned advanced AI,,Expand AI Safety Research Funding and Capacity
35,43,4,35,8,4,Advanced AI value misalignment risk,,Human-preference reward model fine-tuning
35,58,4,35,7,4,Advanced AI value misalignment risk,,Human-preference reward model fine-tuning
16,8,4,10,17,4,Insufficient AI safety research capacity,,Governed AI oversight and compliance regimes
16,82,4,8,6,4,Insufficient AI safety research capacity,,Expand AI Safety Research Funding and Capacity
35,18,8,35,7,4,Advanced AI value misalignment risk,,Human-preference reward model fine-tuning
21,1,5,8,44,4,Catastrophic AI misalignment and loss of control,,Expand AI Safety Research Funding and Capacity
26,35,5,24,8,4,Misaligned AGI existential catastrophe,,RLHF fine-tuning for aligned language models
35,18,8,24,7,4,Advanced AI value misalignment risk,,RLHF fine-tuning for aligned language models
5,79,4,35,6,4,Compute and data inefficiency in AI training,,Human-preference reward model fine-tuning
22,6,21,18,5,4,Deceptive and Harmful Language Model Outputs,,Critique-guided fine-tuning and human feedback
22,6,21,6,5,4,Deceptive and Harmful Language Model Outputs,,PGD Adversarial Training for Robust Fine-Tuning
18,88,4,24,5,4,Catastrophic Superintelligent AI Misalignment,,RLHF fine-tuning for aligned language models
17,45,4,5,6,4,Adversarial Image Classification Misclassification,,Pre-deployment adversarial red-teaming and robustness testing
25,9,4,4,20,4,Misaligned Superintelligent AI Existential Risk,,Pre-deployment safety gates and controlled release
6,31,5,35,9,4,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
25,0,27,11,18,4,Misaligned Superintelligent AI Existential Risk,,Public AI risk outreach and educational dissemination
25,44,4,8,8,4,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
25,22,8,11,6,4,Misaligned Superintelligent AI Existential Risk,,Public AI risk outreach and educational dissemination
25,22,8,8,7,4,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
26,23,4,24,12,4,Misaligned AGI existential catastrophe,,RLHF fine-tuning for aligned language models
9,54,5,21,7,4,Deployed AI Misalignment Causes Societal Harm,,Formal Verification for Pre-Deployment AI Safety
16,91,4,4,5,4,Insufficient AI safety research capacity,,Pre-deployment safety gates and controlled release
4,5,30,9,4,4,Unsafe and Sample-Inefficient RL Exploration,,Choose robust model architectures at design time
5,52,4,9,8,4,Compute and data inefficiency in AI training,,Choose robust model architectures at design time
0,81,6,34,4,4,Out-of-distribution generalization failure,,Large-scale pretraining before task fine-tuning
0,80,4,34,5,4,Out-of-distribution generalization failure,,Large-scale pretraining before task fine-tuning
6,73,3,8,6,3,Reward Misspecification and Reward Hacking,,Expand AI Safety Research Funding and Capacity
18,14,3,8,15,3,Catastrophic Superintelligent AI Misalignment,,Expand AI Safety Research Funding and Capacity
6,72,3,35,6,3,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
38,3,3,8,35,3,Catastrophic AGI Misalignment Risk,,Expand AI Safety Research Funding and Capacity
10,8,3,10,17,3,Existential catastrophe from misaligned AI,,Governed AI oversight and compliance regimes
6,71,3,35,6,3,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
25,1,4,8,44,3,Misaligned Superintelligent AI Existential Risk,,Expand AI Safety Research Funding and Capacity
21,0,22,11,18,3,Catastrophic AI misalignment and loss of control,,Public AI risk outreach and educational dissemination
6,74,3,5,6,3,Reward Misspecification and Reward Hacking,,Pre-deployment adversarial red-teaming and robustness testing
6,70,3,35,6,3,Reward Misspecification and Reward Hacking,,Human-preference reward model fine-tuning
26,11,3,35,17,3,Misaligned AGI existential catastrophe,,Human-preference reward model fine-tuning
10,46,3,5,8,3,Existential catastrophe from misaligned AI,,Pre-deployment adversarial red-teaming and robustness testing
