node_type,meta_k10,n_clusters,n_nodes,mean_intra_meta_sim,min_intra_meta_sim,outlier_clusters,theme
intervention,1,1,9,1.0,1.0,,International treaty banning autonomous weapons
intervention,2,1,39,1.0,1.0,,Export controls on advanced AI hardware
intervention,3,16,1210,0.769,0.551,,Reward-guided RL fine-tuning with safety constraints
intervention,4,1,17,1.0,1.0,,Periodic target networks for stable Q-learning
intervention,5,1,25,1.0,1.0,,Uniform Experience Replay for RL Training
intervention,6,16,1502,0.762,0.6,,Expand AI Safety Research Funding and Capacity
intervention,7,1,34,1.0,1.0,,Deployment-time prompt engineering for aligned behavior
intervention,8,1,5,1.0,1.0,,"Neuroscience validation platforms for cognition, emulation, and alignment research"
intervention,9,1,13,1.0,1.0,,Beginner-Friendly AGI Safety Knowledge Infrastructure
intervention,10,1,6,1.0,1.0,,ROME-based factual knowledge editing
risk,1,2,31,0.751,0.751,,AI-driven labor displacement and socioeconomic instability
risk,2,2,40,0.759,0.759,,Instrumental power-seeking by advanced AI agents
risk,3,11,1033,0.859,0.633,,Existential catastrophe from misaligned AI
risk,4,1,18,1.0,1.0,,Engagement-Driven Recommendation Manipulates and Polarizes Users
risk,5,1,41,1.0,1.0,,Algorithmic discrimination in high-stakes decisions
risk,6,14,1704,0.801,0.667,,Unsafe and Sample-Inefficient RL Exploration
risk,7,6,908,0.789,0.678,,Out-of-distribution generalization failure
risk,8,1,48,1.0,1.0,,AI-driven personal data privacy breaches
risk,9,1,4,1.0,1.0,,Unverified or computationally infeasible HCH-style alignment guarantees
risk,10,1,3,1.0,1.0,,Unreliable and costly RL alignment transfer
