cluster_id,cluster_name,top_node,dominant_category,n_nodes,n_sources,edge_purity,notes
10,Existential catastrophe from misaligned advanced AI systems,Existential catastrophe from misaligned advanced AI systems,risk,367,362,1.0,
4,Ineffective or unsafe behavior in reinforcement learning age,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks,risk,341,260,1.0,
0,Unreliable out-of-distribution performance in machine learni,Unreliable out-of-distribution performance in machine learning systems,risk,299,251,1.0,
16,Insufficient AI safety research capacity to mitigate AI risk,Insufficient AI safety research capacity to mitigate AI risks,risk,269,245,1.0,
26,Existential catastrophe from misaligned AGI,Existential catastrophe from misaligned AGI,risk,235,234,1.0,
25,Existential catastrophe from misaligned superintelligent AI,Existential catastrophe from misaligned superintelligent AI,risk,223,222,1.0,
22,Harmful or untruthful outputs in large language models,Harmful or untruthful outputs in large language models,risk,221,192,1.0,
9,Unsafe AI behavior causing negative societal outcomes in rea,Unsafe AI behavior causing negative societal outcomes in real-world deployment,risk,219,209,1.0,
6,Reward misspecification in reinforcement learning agents,Reward misspecification in reinforcement learning agents,risk,214,196,1.0,
21,Catastrophic misalignment of advanced AI systems,Catastrophic misalignment of advanced AI systems,risk,179,178,1.0,
35,Value misalignment in advanced AI systems,Value misalignment in advanced AI systems,risk,168,166,1.0,
14,Erroneous high-stakes decisions from incomprehensible AI sys,Erroneous high-stakes decisions from incomprehensible AI systems,risk,158,147,1.0,
5,Excessive computation and data demands in AI systems,Excessive computation and data demands in AI systems,risk,155,136,1.0,
7,Human extinction from misaligned superintelligent AI,Human extinction from misaligned superintelligent AI,risk,142,142,1.0,
19,Catastrophic human disempowerment by misaligned AI systems,Catastrophic human disempowerment by misaligned AI systems,risk,136,134,1.0,
8,unsafe human–robot interaction due to incorrect understandin,unsafe human–robot interaction due to incorrect understanding of human decisions,risk,126,114,1.0,
11,insufficient AI safety preparedness from inaccurate AI timel,insufficient AI safety preparedness from inaccurate AI timeline estimates,risk,126,122,1.0,
15,Opaque decision-making in deep neural networks deployed in s,Opaque decision-making in deep neural networks deployed in safety-critical AI,risk,121,115,1.0,
17,Adversarial vulnerability in image classification models,Adversarial vulnerability in image classification models,risk,116,105,1.0,
1,Catastrophic misuse of frontier AI capabilities by malicious,Catastrophic misuse of frontier AI capabilities by malicious actors,risk,114,107,1.0,
2,Accelerated AI arms race leading to unsafe AI deployment,Accelerated AI arms race leading to unsafe AI deployment,risk,112,105,1.0,
20,Deceptive alignment in powerful AI systems,Deceptive alignment in powerful AI systems,risk,105,97,1.0,
12,Catastrophic failure of advanced AI systems,Catastrophic failure of advanced AI systems,risk,102,102,1.0,
38,Catastrophic misalignment of AGI systems,Catastrophic misalignment of AGI systems,risk,102,102,1.0,
18,Catastrophic misalignment of superintelligent AI systems,Catastrophic misalignment of superintelligent AI systems,risk,60,60,1.0,
31,Undetected harmful behaviors in advanced AI systems,Undetected harmful behaviors in advanced AI systems,risk,59,56,1.0,
3,Opaque internal reasoning in transformer language models,Opaque internal reasoning in transformer language models,risk,50,49,1.0,
33,Privacy violations from AI-based personal data processing,Privacy violations from AI-based personal data processing,risk,49,48,1.0,
24,Misaligned objective optimization by advanced AI systems,Misaligned objective optimization by advanced AI systems,risk,48,46,1.0,
28,algorithmic bias reinforcing discrimination in AI decision-m,algorithmic bias reinforcing discrimination in AI decision-making,risk,45,45,1.0,
27,Uncontrolled intelligence explosion in AI self-improvement,Uncontrolled intelligence explosion in AI self-improvement,risk,44,44,1.0,
30,Existential catastrophe causing extinction of humanity,Existential catastrophe causing extinction of humanity,risk,39,28,1.0,
34,Power-seeking behavior in advanced AI systems,Power-seeking behavior in advanced AI systems,risk,37,37,1.0,
37,economic displacement from AI-driven automation,economic displacement from AI-driven automation,risk,33,32,1.0,
32,Shutdown resistance in advanced AI systems,Shutdown resistance in advanced AI systems,risk,23,23,1.0,
23,Societal manipulation by engagement-maximizing algorithms in,Societal manipulation by engagement-maximizing algorithms in social media,risk,20,19,1.0,
29,Extreme wealth concentration from advanced AI in global econ,Extreme wealth concentration from advanced AI in global economy,risk,15,15,1.0,
39,Biased assessment of AI safety research trends due to incomp,Biased assessment of AI safety research trends due to incomplete datasets,risk,10,10,1.0,
13,Unverified rationality guarantees in HCH-based alignment,Unverified rationality guarantees in HCH-based alignment,risk,4,2,1.0,
36,Slow and low-quality interferometer alignment by discrete ac,Slow and low-quality interferometer alignment by discrete action RL agents,risk,3,2,1.0,
