risk_cid,risk_name,group_id,group_name,interv_cid,interv_name,n_triplet_paths
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,6539
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,3266
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,2790
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,2502
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,2271
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,1338
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,1146
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,1117
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,1112
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,933
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,807
6,Reward Misspecification and Reward Hacking,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,756
26,Misaligned AGI existential catastrophe,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,721
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,681
20,Deceptive alignment and hidden objectives,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,663
10,Existential catastrophe from misaligned AI,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,642
10,Existential catastrophe from misaligned AI,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,635
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,628
9,Deployed AI Misalignment Causes Societal Harm,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,591
2,AI arms race causing unsafe deployment,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,541
