rank,risk_cid,interv_cid,interv_type,risk_name,interv_name,n_paths_c1,n_paths_c2,c1_boost,novelty_note,post_2023_paper,filter_rank,has_post_2023_paper,paper_refs,note
2,25.0,24.0,technical,Misaligned Superintelligent AI Existential Risk,RLHF fine-tuning for aligned language models,457,1703,457,,TBD,1,True,"arxiv:2501.08617 (RLHS mitigating misalignment via hindsight sim, Jan 2025); arxiv:2503.17682 (Safe RLHF-V multimodal alignment, Mar 2025)","Safe RLHF-V / RLHS cover RLHF for LM alignment but argue from safety/helpfulness tradeoff, not directly from superintelligent x-risk. Nearest post-2023 full-chain paper not found."
5,10.0,26.0,technical,Existential catastrophe from misaligned AI,Reward-guided RL fine-tuning with safety constraints,262,2096,262,,TBD,2,Partial,,No post-2023 paper found arguing specifically from advanced AI misalignment -> robot policy inclusive reward learning as end-to-end chain.
6,10.0,32.0,technical,Existential catastrophe from misaligned AI,Attainable Utility Preservation reward penalty,208,1526,208,,TBD,3,False,,AUP research primarily pre-2023 (Turner et al. 2019-2023). Alternative baselines paper 2023 is the most recent; no 2024+ paper found.
7,20.0,35.0,technical,Deceptive alignment and hidden objectives,Human-preference reward model fine-tuning,200,1306,200,,TBD,4,True,"arxiv:2506.21584 (Empirical Evidence for Alignment Faking in a Small LLM, 2025); arxiv:2501.08617 (RLHS mitigating sycophancy/deceptive behavior, Jan 2025)",arxiv:2506.21584 directly studies alignment faking (deceptive alignment) in LLMs and evaluates prompt-based RLHF mitigation -- strongest match for R20->I35 chain.
9,10.0,17.0,technical,Existential catastrophe from misaligned AI,Runtime control and coordination modules,179,597,179,,TBD,5,False,,Self-triggered robustness-surrogate communication protocol is a niche intervention; no post-2023 paper connecting this specifically to advanced AI existential risk found.
10,25.0,26.0,technical,Misaligned Superintelligent AI Existential Risk,Reward-guided RL fine-tuning with safety constraints,175,995,175,,TBD,6,Partial,,See R10->I26 above. No direct post-2023 paper for superintelligent AI -> robot policy inclusive reward.
11,2.0,35.0,technical,AI arms race causing unsafe deployment,Human-preference reward model fine-tuning,170,1460,170,,TBD,7,Partial,"arxiv:2506.08266 (HC-RLHF with high-confidence safety constraints, Jun 2025)",HC-RLHF provides safety guarantees for RLHF but does not specifically argue from AI arms race / competitive unsafe deployment framing.
13,25.0,32.0,technical,Misaligned Superintelligent AI Existential Risk,Attainable Utility Preservation reward penalty,162,782,162,,TBD,8,False,,See R10->I32. AUP primarily pre-2023 work.
14,26.0,29.0,technical,Misaligned AGI existential catastrophe,"Neuroscience validation platforms for cognition, emulation, and alignment research",150,243,150,,TBD,9,False,,LIKELY SPURIOUS: Isotropic fractionator is a neuroscience cell-counting technique. No connection to AGI misalignment found in any paper. This pair likely reflects co-mention in corpus rather than causal argument.
15,25.0,17.0,technical,Misaligned Superintelligent AI Existential Risk,Runtime control and coordination modules,131,371,131,,TBD,10,False,,See R10->I17.
16,21.0,32.0,technical,Catastrophic AI misalignment and loss of control,Attainable Utility Preservation reward penalty,129,744,129,,TBD,11,False,,"See R10->I32 (AUP, pre-2023 work)."
17,25.0,15.0,technical,Misaligned Superintelligent AI Existential Risk,Pre-deployment mechanistic interpretability audits,124,942,124,,TBD,12,Partial,arxiv general: Marks & Tegmark (2023) on interpretability for safety; Bereska & Bhatt (2024) on mech interp for AI safety,"Interpretability for AI safety is an active 2024-2025 area, but papers typically argue from capability elicitation or activation steering, not specifically from superintelligent AI x-risk endpoint."
19,1.0,24.0,technical,Malicious misuse of frontier AI for large-scale harm,RLHF fine-tuning for aligned language models,110,622,110,,TBD,13,Partial,"arxiv:2503.17682 (Safe RLHF-V, 2025)",RLHF fine-tuning for alignment is active 2024-2025 area. Misuse framing (vs misalignment) is distinct; no paper found specifically connecting catastrophic misuse -> RLHF as end-to-end mitigation.
20,34.0,35.0,technical,Instrumental power-seeking by advanced AI agents,Human-preference reward model fine-tuning,110,422,110,,TBD,14,Partial,"arxiv:2506.08266 (HC-RLHF, 2025)",RLHF/reward learning for power-seeking is an open problem; HC-RLHF partially covers this space.
