risk_meta,interv_meta,n_paths_c1,n_paths_c0,n_cluster_pairs,risk_meta_name,interv_meta_name
3,6,29673,326,165,Existential catastrophe from misaligned AI,Expand AI Safety Research Funding and Capacity
6,6,16979,950,214,Unsafe and Sample-Inefficient RL Exploration,Expand AI Safety Research Funding and Capacity
3,3,10831,76,143,Existential catastrophe from misaligned AI,Reward-guided RL fine-tuning with safety constraints
6,3,7640,660,196,Unsafe and Sample-Inefficient RL Exploration,Reward-guided RL fine-tuning with safety constraints
7,6,2432,363,93,Out-of-distribution generalization failure,Expand AI Safety Research Funding and Capacity
7,3,1965,680,90,Out-of-distribution generalization failure,Reward-guided RL fine-tuning with safety constraints
3,2,1181,9,11,Existential catastrophe from misaligned AI,Export controls on advanced AI hardware
2,6,1086,14,30,Instrumental power-seeking by advanced AI agents,Expand AI Safety Research Funding and Capacity
6,2,586,25,14,Unsafe and Sample-Inefficient RL Exploration,Export controls on advanced AI hardware
2,3,395,7,27,Instrumental power-seeking by advanced AI agents,Reward-guided RL fine-tuning with safety constraints
3,8,352,0,11,Existential catastrophe from misaligned AI,"Neuroscience validation platforms for cognition, emulation, "
3,7,239,1,11,Existential catastrophe from misaligned AI,Deployment-time prompt engineering for aligned behavior
6,8,192,6,14,Unsafe and Sample-Inefficient RL Exploration,"Neuroscience validation platforms for cognition, emulation, "
5,6,140,23,15,Algorithmic discrimination in high-stakes decisions,Expand AI Safety Research Funding and Capacity
3,1,123,12,11,Existential catastrophe from misaligned AI,International treaty banning autonomous weapons
6,7,120,8,14,Unsafe and Sample-Inefficient RL Exploration,Deployment-time prompt engineering for aligned behavior
3,10,100,0,10,Existential catastrophe from misaligned AI,ROME-based factual knowledge editing
1,6,82,22,27,AI-driven labor displacement and socioeconomic instability,Expand AI Safety Research Funding and Capacity
6,10,80,1,14,Unsafe and Sample-Inefficient RL Exploration,ROME-based factual knowledge editing
5,3,79,8,13,Algorithmic discrimination in high-stakes decisions,Reward-guided RL fine-tuning with safety constraints
8,6,68,36,16,AI-driven personal data privacy breaches,Expand AI Safety Research Funding and Capacity
6,1,59,3,14,Unsafe and Sample-Inefficient RL Exploration,International treaty banning autonomous weapons
7,2,54,1,6,Out-of-distribution generalization failure,Export controls on advanced AI hardware
1,3,50,1,26,AI-driven labor displacement and socioeconomic instability,Reward-guided RL fine-tuning with safety constraints
8,3,49,18,14,AI-driven personal data privacy breaches,Reward-guided RL fine-tuning with safety constraints
