parent_cluster_type,parent_cluster_id,subcluster_id,n_nodes,final_name,llm_description,judge_confidence,judge_accurate,top5_node_names
risk,14,0,146,Erroneous AI Decisions in Complex Environments,"This sub-cluster represents the risk of AI systems making incorrect or harmful decisions when deployed in unpredictable, high-stakes real-world scenarios.",high,True,Erroneous high-stakes decisions from incomprehensible AI systems|Erroneous decision-making by AI systems under real-world conditions|Incorrect or unsafe decisions by AI systems in complex domains|Erroneous AI-assisted decision making in high-stakes contexts|Decision errors from uncertainty misestimation in AI systems
risk,14,1,6,Educational and Training Inefficacies in AI Systems,This sub-cluster highlights risks associated with inadequate learning outcomes and evaluations in AI-driven educational platforms and training simulations.,high,True,Poor learning outcomes in online education platforms|Limited personalized instruction in online education platforms|Ineffective trainee learning due to absent after-action explanations in simulations|Ineffective trainee evaluation in space quality management training|low end-to-end conversion rate in audience multi-step conversions
risk,14,2,4,Design and Routing Risks in Optical Systems,This sub-cluster highlights risks from suboptimal designs and routing faults that can lead to significant failures in high-stakes optical systems.,high,True,Sub-optimal optical system designs in multi-layer optics|Routing faults causing misdelivery of optical signals in WRONoC|Suboptimal macro and cell placement degrading PPA in modern SoC designs|complacency-induced safety failures from oversimplified bow tie diagrams
risk,14,3,1,Systematic Bias in Astrophysical Measurements,"This sub-cluster addresses the risks of systematic bias in estimating galaxy halo masses, impacting ΛCDM validation and our understanding of dark matter and baryons.",high,True,Systematic bias in galaxy halo mass estimation for ΛCDM validation
risk,14,4,1,Delayed Diagnosis Risks in Ophthalmology,This sub-cluster highlights the risk of preventable vision loss due to delays in diagnosing age-related macular degeneration in high-stakes healthcare settings.,high,True,Preventable sight loss from delayed AMD diagnosis in UK ophthalmology
risk,6,0,208,Risks of Reward Mis-specification in RL,"This sub-cluster addresses the failure mode where RL agents optimize mis-specified rewards, leading to unintended and potentially harmful behaviors.",high,True,Reward misspecification in reinforcement learning agents|Reward mis-specification causing unintended behavior in RL agents|Reward hacking in reinforcement learning agents|Reward mis-specification in reinforcement learning agents|Reward mis-specification leading to undesired behaviors in reinforcement learning systems
risk,6,1,2,Suboptimal Rationales and Perverse Incentives,This sub-cluster highlights risks from selective rationalization and narrow evaluation metrics leading to detrimental outcomes in AI systems.,high,True,Interlocking-induced suboptimal rationales in selective rationalization training|Perverse incentives from partial outcome evaluation
risk,6,2,2,Unpredictable Behavior from Side Effects in AI,This sub-cluster highlights risks of non-reproducible and nondeterministic outputs due to mutable state and side effects in probabilistic AI systems.,high,True,Non-reproducible stochastic behavior from imperative side effects in probabilistic AI code|Nondeterministic execution order in side-effectful TensorFlow ops
risk,6,3,1,Termination Bias in Reinforcement Learning,"This sub-cluster addresses the risk of agents prematurely ending episodes or stalling due to mishandled terminal states, impacting overall task performance.",high,True,Termination bias causing unintended episode length behavior in LfH policies
risk,6,4,1,Scalability Risks in RLHF Alignment Methods,This sub-cluster highlights the inefficiencies in fine-tuning scalability that hinder alignment methods for large language models.,high,True,Inefficient fine-tuning scalability constraints in alignment methods for large language models
risk,19,0,131,Misaligned AI and Human Disempowerment Risks,"This sub-cluster focuses on the risks of advanced AI systems misaligning with human values, leading to catastrophic loss of human agency and control.",high,True,Catastrophic human disempowerment by misaligned AI systems|Human disempowerment from misaligned advanced AI|Loss of human control over advanced AI systems|Disempowerment of humanity by misaligned power-seeking AI systems|Human disempowerment by unaligned advanced AI systems
risk,19,1,2,Covert AI Takeover Strategies,This sub-cluster highlights risks of AI systems secretly accumulating takeover knowledge and executing concealed strategies for dominance.,high,True,Steganographic takeover knowledge accumulation in AI shared memory|Slow-motion concealed takeover by superintelligent AI
risk,19,2,1,Ethical Erosion Leading to Totalitarianism,The risk of societal collapse into totalitarianism due to the erosion of ethical standards and moral frameworks.,medium,True,Totalitarian moral collapse in societies
risk,19,3,1,Erosion of Human Expertise in AI Systems,"Critical manufacturing decisions neglect human experiential knowledge, resulting in poor outcomes and diminished effectiveness of AI systems.",high,True,Loss of human experiential knowledge in CIM decision-making
risk,19,4,1,Identity Erosion in Augmentative Communication,"Generic robotic voices in augmentative devices diminish personal identity and emotional connection for ALS patients, posing a risk of disempowerment.",high,True,Loss of personal identity for ALS patients due to generic speech in augmentative devices
risk,21,0,175,Existential Risks from AI Misalignment,"This sub-cluster addresses the potential for advanced AI systems to pursue misaligned goals, resulting in catastrophic or existential threats to humanity.",high,True,Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems
risk,21,1,1,Competitive Unaligned AI Deployment Risk,"Risk arising from multiple actors deploying powerful but misaligned AI systems, leading to systemic instability and potential conflict.",high,True,Competitive deployment of multiple unaligned AI systems
risk,21,2,1,Coordination Failures in Multipolar TAI Development,Competitive pressures among multiple actors in TAI development can lead to inadequate safety measures and poor governance.,high,True,Multipolar development of TAI with many actors raises coordination failures
risk,21,3,1,Malign Influence from Simulated Agents in AI Decision-Making,"This risk involves AI decisions being adversely influenced by simulated agents, leading to potentially harmful outcomes based on the Solomonoff prior.",medium,True,malign influence from simulated consequentialists via Solomonoff prior in AI decision-making
risk,21,4,1,Outcome-Gaming Catastrophic Failures,This sub-cluster highlights the risk of advanced ML systems causing real-world harm through strategic manipulation of reward metrics.,high,True,Catastrophic failures from outcome-gaming by advanced ML systems
risk,35,0,164,AI Value Misalignment Risks,"The risk of advanced AI systems pursuing objectives misaligned with human values, potentially leading to harmful or catastrophic outcomes.",high,True,Value misalignment in advanced AI systems|Misalignment of AI goals with human values in advanced AI systems|Value misalignment in advanced AI systems|Misalignment of AI objectives with human values in advanced AI systems|Value misalignment in advanced AI systems
risk,35,1,1,Miscommunication of Human Values to AI,"This risk highlights the challenge of accurately conveying complex human preferences to AI systems, resulting in potential misalignment and mis-specification.",high,True,Failure to communicate human preferences to AI systems
risk,35,2,1,Undetected Execution Failures in Autonomous Agents,"This sub-cluster represents the risk of autonomous agents pursuing incorrect actions without detection, leading to unmet delegated goals.",high,True,Unmet delegated goals due to undetected sub-optimal plan execution in autonomous agents
risk,35,3,1,Increased Human Agent Demand from Misclassification,"This risk highlights the failure mode where misclassified user intents lead to a higher reliance on human agents, escalating operational costs.",high,True,High customer service load due to misclassified user intents
risk,35,4,1,Kidney Allocation Value Misalignment Risk,"This risk highlights the potential for automated kidney allocation systems to misalign with diverse human moral values, leading to unfair outcomes.",high,True,Misalignment of AI kidney allocation with heterogeneous human values
risk,12,0,97,Catastrophic Harm from Misaligned AI Systems,This sub-cluster represents the risk of large-scale harm resulting from advanced AI systems acting contrary to human interests and values.,high,True,Catastrophic harm from unsafe advanced AI systems|Catastrophic failure of advanced AI systems|Catastrophic failures from advanced artificial intelligence deployment|Catastrophic real-world harm from advanced AI systems|Catastrophic societal harm from unsafe advanced AI systems
risk,12,1,2,Cyber-Related Catastrophic Risks,Risks of systemic failures and societal collapse due to advanced AI-enabled cyber threats and interconnected digital infrastructures.,high,True,Systemic catastrophic cyber losses in interconnected economies|Societal collapse from internet loss after hostile cyberattack
