subtype,cluster_id,prefix_key,rep_name,top3_names,n_members,n_vpn_members
design_rationale,0,de:0,Provide chain-of-thought demonstrations in prompts,Provide chain-of-thought demonstrations in prompts | Dynamic prompt example selection aligns LLM assumptions with environment afforda | Use chain-of-thought and least-to-most prompting to externalize reasoning,55,55
design_rationale,1,de:1,Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks,Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks | pre-train then short fine-tuning on target task to leverage robust features | Pre-finetuning with massive multi-task learning to refine representations,63,63
design_rationale,10,de:10,Reduce model size and increase data volume for compute efficiency,Reduce model size and increase data volume for compute efficiency | Reduce model size and increase training data to achieve compute-optimal performa | Token-efficient model scaling for performance optimization,96,96
design_rationale,11,de:11,Embedding human value alignment into AI objective functions,Embedding human value alignment into AI objective functions | Develop AI alignment techniques encoding human values | Value alignment research to ensure AI objectives match human values,44,44
design_rationale,12,de:12,Preference-uncertain AI design for corrigibility,Preference-uncertain AI design for corrigibility | Design AI systems to seek clarification of human intent before acting | Design AI to maximize uncertain human preferences,21,21
design_rationale,13,de:13,Embedding human oversight and feedback loops in AI deployment,Embedding human oversight and feedback loops in AI deployment | Scalable oversight using human or AI feedback to align behavior | Scalable oversight combining human evaluators with AI critique models,31,31
design_rationale,14,de:14,Penalizing reductions in attainable utilities to limit agent impact,Penalizing reductions in attainable utilities to limit agent impact | Penalizing change in attainable utility to preserve side-effect neutrality in RL | Penalizing reduction in attainable utilities to avoid side effects,58,58
design_rationale,15,de:15,Funding initiatives to expand AI safety research community,Funding initiatives to expand AI safety research community | expand AI safety research capacity | Offer specialized AI safety training programs,167,167
design_rationale,16,de:16,Prioritize AI safety research to solve control and value alignment problems,Prioritize AI safety research to solve control and value alignment problems | Conduct technical AI safety research prior to deployment | Proactive technical alignment research to align objectives with human values,90,90
design_rationale,17,de:17,Restricting model capabilities and access as precautionary safety measure,Restricting model capabilities and access as precautionary safety measure | Conditional release policies restricting access to model weights | Restrict access to high-risk AI capabilities through structured cloud services,73,73
design_rationale,18,de:18,maxmin policy maximizes worst-case reward to ensure safety,maxmin policy maximizes worst-case reward to ensure safety | Safe exploration constraints to limit risky action selection | Selecting actions based on certified worst-case value estimates,47,47
design_rationale,19,de:19,Transformers leverage self-attention to capture global context,Transformers leverage self-attention to capture global context | Transformer architectures capture long-range dependencies across modalities | replacing recurrence with self-attention to maintain context and parallelize tra,71,71
design_rationale,2,de:2,Develop human-legible modular learning algorithm architecture,Develop human-legible modular learning algorithm architecture | Integration of meta-reasoning modules for adaptive computation allocation in AI  | Modular AI tool development strategy in interdisciplinary research,52,52
design_rationale,20,de:20,Establish coordinated governance regimes to enforce safety standards,Establish coordinated governance regimes to enforce safety standards | Establish external institutions to govern AI cooperation and safety | establishing global governance frameworks for frontier AI models,123,123
design_rationale,21,de:21,Formal verification of safety properties,Formal verification of safety properties | Differential dynamic logic-based safety verification for hybrid systems | Integrate formal validation via verification-driven model plausibility checks,40,40
design_rationale,22,de:22,Mechanistic interpretability to uncover and audit model internals,Mechanistic interpretability to uncover and audit model internals | Mechanistic interpretability to surface model computations for oversight | Mechanistic interpretability reveals internal algorithms for safety assessment,121,121
design_rationale,23,de:23,Integrate AI-driven forecasting into strategic decision-making to raise cost estimates,Integrate AI-driven forecasting into strategic decision-making to raise cost est | Combine human and AI forecasts to improve accuracy of strategic predictions | Structured forecasting methodology for AI timelines,57,57
design_rationale,24,de:24,Representation Engineering for model reading and control,Representation Engineering for model reading and control | Feature direction probing for representation mapping | Use representation engineering to guide and steer model behavior,14,14
design_rationale,25,de:25,Export controls on compute to limit proliferation of advanced AI,Export controls on compute to limit proliferation of advanced AI | Implement policy export controls on advanced AI chips | Export control policies targeting AI chip supply chain to maintain advantage,34,34
design_rationale,26,de:26,Integrate fairness constraints with utility maximization objectives,Integrate fairness constraints with utility maximization objectives,1,1
design_rationale,27,de:27,Integration of probabilistic models for calibrated decision-making in AI systems,Integration of probabilistic models for calibrated decision-making in AI systems | incorporating Bayesian uncertainty into model predictions to trigger safe fallba | Calibration-based estimation to align expert confidence with probabilities,61,61
design_rationale,28,de:28,Rigorous pre-deployment testing to reveal dangerous behaviors,Rigorous pre-deployment testing to reveal dangerous behaviors | Pre-release cybersecurity red teaming of AI models | Integrate systematic red teaming into AI safety evaluation process,43,43
design_rationale,29,de:29,Develop standardized benchmarking frameworks for feature attribution methods,Develop standardized benchmarking frameworks for feature attribution methods | Development of comprehensive AI safety benchmark suite | Develop benchmarks incorporating natural images and videos to test algorithms,82,82
design_rationale,3,de:3,Adversarial training to shift model focus toward robust features,Adversarial training to shift model focus toward robust features | Adversarial training to penalize worst-case perturbations | augment training with adversarial perturbations to increase robustness,197,197
design_rationale,30,de:30,Use experience replay to decorrelate updates,Use experience replay to decorrelate updates | Integrate experience replay with deep Q-learning for data efficiency in Atari RL | Decoupling acting and learning via experience replay buffer,68,68
design_rationale,31,de:31,Embedding residual connections to preserve gradient flow during deep training,Embedding residual connections to preserve gradient flow during deep training | Residual block design eases optimization of deep CNNs | Insert differentiable activation normalisation before nonlinearities,87,87
design_rationale,32,de:32,Include KL divergence penalty in RL objective during fine-tuning,Include KL divergence penalty in RL objective during fine-tuning | KL divergence regularization term added to reward function | KL divergence based reward shaping to limit distribution shift,49,49
design_rationale,33,de:33,Combine formal shields with RL to restrict unsafe actions during learning,Combine formal shields with RL to restrict unsafe actions during learning | Probabilistic δ-shield blocking high-risk actions in RL | Runtime shield enforcing safety with minimal interference,15,15
design_rationale,34,de:34,randomized environment parameter training for policy robustness,randomized environment parameter training for policy robustness | Progressively increasing randomization difficulty automatically | Expose policies to randomized parameters during simulation training,8,8
design_rationale,35,de:35,Integrating policy and value networks with Monte Carlo tree search to guide exploration,Integrating policy and value networks with Monte Carlo tree search to guide expl | Integrate policy and value networks with Monte Carlo Tree Search | Guiding Monte Carlo Tree Search with policy priors and value evaluations in Go,12,12
design_rationale,36,de:36,Safety fine-tuning and output filtering to reduce harmful generation,Safety fine-tuning and output filtering to reduce harmful generation | implement harmful content detection filters for language agents | Training dedicated harmful-content classifier as output filter,17,17
design_rationale,37,de:37,Learning reward models from human feedback for alignment,Learning reward models from human feedback for alignment | Use human preference feedback to bootstrap reinforcement learning alignment | Preference-based reinforcement learning to learn reward functions from human fee,148,148
design_rationale,38,de:38,AI design with explainability and traceability requirements,"AI design with explainability and traceability requirements | Developing interpretability tools, failsafe mechanisms, and adversarial robustne | Prioritize interpretability and robustness research to demystify AI behavior",19,19
design_rationale,39,de:39,augment RL agents with model-based auxiliary loss for state prediction,augment RL agents with model-based auxiliary loss for state prediction | Intermediate auxiliary classifier losses guiding deep network training | adaptive enforcement of information constraint via variational discriminator bot,14,14
design_rationale,4,de:4,Adopt Level-1 generative AI assistance for researcher productivity,Adopt Level-1 generative AI assistance for researcher productivity | Adopt hybrid human-AI collaboration to leverage complementary strengths | Embedding AI pair programmer in IDE workflows to assist code authoring,37,37
design_rationale,5,de:5,Use cooperative inverse reinforcement learning to infer human preferences,Use cooperative inverse reinforcement learning to infer human preferences | AI preference-learning via cooperative inverse reinforcement learning | Cooperative inverse reinforcement learning for preference inference,47,47
design_rationale,6,de:6,Incorporate fairness auditing before deployment,"Incorporate fairness auditing before deployment | Privacy-preserving mechanisms in data aggregation, training, and inference | Employ dataset diversification and fairness constraints to reduce shortcut relia",51,51
design_rationale,7,de:7,Enforcing advanced information security at AI labs,Enforcing advanced information security at AI labs | Establish robust cybersecurity protocols within AI labs | Embedding safety research into mainstream ML development,56,56
design_rationale,8,de:8,policy optimization via autoregressive generative modeling,policy optimization via autoregressive generative modeling | Modeling human reinforcement to select actions maximizing predicted feedback | Integrating learned dynamics model with safety-penalized reward for policy impro,182,182
design_rationale,9,de:9,Provide comprehensive education and public transparency on AI progress and risks,Provide comprehensive education and public transparency on AI progress and risks | Strategic outreach to stakeholders about AI safety | Engage public and researchers via accessible safety explanations,46,46
implementation_mechanism,0,im:0,Apply PPO-based RL fine-tuning optimizing reward model plus KL penalty,Apply PPO-based RL fine-tuning optimizing reward model plus KL penalty | PPO fine-tuning with KL penalty | PPO fine-tuning against reward model with KL penalty,160,160
implementation_mechanism,1,im:1,reward modeling fine-tuning using human feedback,reward modeling fine-tuning using human feedback | Human feedback reward model fine-tuning pipeline | Reinforcement learning from human feedback fine-tuning,197,197
implementation_mechanism,10,im:10,Specification gaming evaluation benchmarks for reinforcement learning agents,Specification gaming evaluation benchmarks for reinforcement learning agents | Adversarial OOD evaluation benchmark suite | AI Safety Gridworlds benchmark,93,93
