risk_cid,risk_name,group_id,group_name,interv_cid,interv_name,n_triplet_paths
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,6539
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,3266
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,2790
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,2502
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,2271
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,1338
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,1146
10,Existential catastrophe from misaligned AI,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,1117
26,Misaligned AGI existential catastrophe,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,1112
25,Misaligned Superintelligent AI Existential Risk,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,933
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,807
6,Reward Misspecification and Reward Hacking,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,756
26,Misaligned AGI existential catastrophe,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,721
16,Insufficient AI safety research capacity,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,681
20,Deceptive alignment and hidden objectives,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,663
10,Existential catastrophe from misaligned AI,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,642
10,Existential catastrophe from misaligned AI,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,635
21,Catastrophic AI misalignment and loss of control,12,Scaling AI Safety Research Capacity and Awareness,11,Public AI risk outreach and educational dissemination,628
9,Deployed AI Misalignment Causes Societal Harm,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,591
2,AI arms race causing unsafe deployment,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,541
25,Misaligned Superintelligent AI Existential Risk,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,514
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,501
38,Catastrophic AGI Misalignment Risk,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,492
10,Existential catastrophe from misaligned AI,12,Scaling AI Safety Research Capacity and Awareness,4,Pre-deployment safety gates and controlled release,492
21,Catastrophic AI misalignment and loss of control,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,455
10,Existential catastrophe from misaligned AI,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,437
21,Catastrophic AI misalignment and loss of control,15,Detection and mitigation of reward mis-specification effects,5,Pre-deployment adversarial red-teaming and robustness testing,424
26,Misaligned AGI existential catastrophe,14,Alignment via human preference propagation,35,Human-preference reward model fine-tuning,402
35,Advanced AI value misalignment risk,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,400
16,Insufficient AI safety research capacity,14,Alignment via human preference propagation,24,RLHF fine-tuning for aligned language models,341
10,Existential catastrophe from misaligned AI,5,Enhanced model transparency enabling proactive vulnerability detection,1,Continuous anomaly monitoring and safety tripwires,339
1,Malicious misuse of frontier AI for large-scale harm,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,338
26,Misaligned AGI existential catastrophe,3,Centralized control of advanced AI compute resources,39,Export controls on advanced AI hardware,338
18,Catastrophic Superintelligent AI Misalignment,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,328
12,Catastrophic risks from misaligned advanced AI,12,Scaling AI Safety Research Capacity and Awareness,8,Expand AI Safety Research Funding and Capacity,321
10,Existential catastrophe from misaligned AI,15,Detection and mitigation of reward mis-specification effects,19,Demonstration-Based Policy Pretraining,315
10,Existential catastrophe from misaligned AI,2,Robust feature alignment through adversarial optimization,5,Pre-deployment adversarial red-teaming and robustness testing,297
16,Insufficient AI safety research capacity,2,Robust feature alignment through adversarial optimization,6,PGD Adversarial Training for Robust Fine-Tuning,280
