group_id,n_frozensets,n_paths_total,centroid_components,centroid_decoded,closest3_sigs,closest3_decoded,farthest3_sigs,farthest3_decoded,intra_jaccard_mean
4,19,451,pr:6 & im:4 & de:15 & va:10 & th:11,insufficient AI safety research and implementation capacity | Government and private grant programs targeting AI safety research | Funding initiatives to expand AI safety research community | Demonstrated skill gains among fellowship participants | Targeted funding and outreach accelerating Friendly AI research,de:15 & im:4 & pr:6 & th:11 & va:10 || de:15 & im:4 & pr:6 & th:2 & va:10 || de:15 & im:4 & pr:6 & th:11 & va:9,Funding initiatives to expand AI safety research community | Government and private grant programs targeting AI safety research | insufficient AI safety research and implementation capacity | Targeted funding and outreach accelerating Friendly AI research | Demonstrated skill gains among fellowship participants || Funding initiatives to expand AI safety research community | Government and private grant programs targeting AI safety research | insufficient AI safety research and implementation capacity | alignment problem requiring AI goals aligned with complex human values | Demonstrated skill gains among fellowship participants || Funding initiatives to expand AI safety research community | Government and private grant programs targeting AI safety research | insufficient AI safety research and implementation capacity | Targeted funding and outreach accelerating Friendly AI research | Expert survey showing broad consensus on 49 of 50 AI safety proposals,de:28 & im:9 & pr:18 & th:35 & va:28 || de:11 & im:9 & pr:33 & th:35 & va:15 || de:21 & im:5 & pr:5 & th:39 & va:31,"Rigorous pre-deployment testing to reveal dangerous behaviors | Synthetic prompt generation and in-context principle application for self-align fine-tuning | Lack of reliable human evaluation for complex tasks during training | Self-generated chain-of-thought can unlock latent reasoning in LLMs | Red teaming successes in cybersecurity demonstrating vulnerability discovery || Embedding human value alignment into AI objective functions | Synthetic prompt generation and in-context principle application for self-align fine-tuning | Deceptive alignment in advanced AI systems | Self-generated chain-of-thought can unlock latent reasoning in LLMs | Anthropic experiments showing reduced harmful outputs with CAI || Formal verification of safety properties | Formal verification of logic-based AI components | Lack of robust AI safety measures in development pipelines | Formal verification detecting hidden controller flaws in CPS | Successful formal verification of safety-critical software (flight, rail, pacemaker etc.)",0.235
6,46,415,im:1 & de:37 & th:6 & pr:9 & pr:12,reward modeling fine-tuning using human feedback | Learning reward models from human feedback for alignment | Human feedback reward modelling approximates complex objectives | Instrumental convergence drives power-seeking behavior in advanced AI | Goal misalignment between AI objectives and human values in advanced AI,de:37 & im:1 & pr:12 & th:6 & va:37 || de:37 & im:1 & pr:19 & th:6 & va:1 || de:37 & im:1 & pr:12 & th:6 & va:39,Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Goal misalignment between AI objectives and human values in advanced AI | Human feedback reward modelling approximates complex objectives | specification gaming examples in current ML systems || Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Reward mis-specification inducing unintended optimization in RL systems | Human feedback reward modelling approximates complex objectives | Human-preference trained agent success in Atari tasks || Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Goal misalignment between AI objectives and human values in advanced AI | Human feedback reward modelling approximates complex objectives | Improved summarization performance with human feedback training,de:20 & im:19 & pr:11 & th:12 & va:9 || de:20 & im:19 & pr:24 & th:1 & va:30 || de:20 & im:19 & pr:11 & th:2 & va:9,Establish coordinated governance regimes to enforce safety standards | International AI governance frameworks for deployment controls | Lack of global governance frameworks for AI safety | Risk awareness moments enable extreme AI risk mitigation measures among elites | Expert survey showing broad consensus on 49 of 50 AI safety proposals || Establish coordinated governance regimes to enforce safety standards | International AI governance frameworks for deployment controls | Delegation of control to autonomous systems without override mechanisms | Transparency enables additional reliability verification by domain experts | Historical governance successes mitigating technology risks || Establish coordinated governance regimes to enforce safety standards | International AI governance frameworks for deployment controls | Lack of global governance frameworks for AI safety | alignment problem requiring AI goals aligned with complex human values | Expert survey showing broad consensus on 49 of 50 AI safety proposals,0.19
5,18,173,va:26 & pr:2 & de:3 & im:16 & pr:10,Lower adversarial error rate on PGD CIFAR-10 test | Reliance on non-robust features in trained models | Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Limited data efficiency in human preference learning for RL,de:6 & im:16 & pr:5 & th:1 & va:26 || de:3 & im:33 & pr:10 & th:34 & va:36 || de:3 & im:33 & pr:2 & th:34 & va:26,Incorporate fairness auditing before deployment | Projected gradient descent adversarial example generator with joint training | Lack of robust AI safety measures in development pipelines | Transparency enables additional reliability verification by domain experts | Lower adversarial error rate on PGD CIFAR-10 test || Adversarial training to shift model focus toward robust features | AugMix composition of simple transformations for data augmentation | Limited data efficiency in human preference learning for RL | Data diversity and augmentation mitigate representation bias | Modified architecture reduces ImageNet top-5 error from 18.2% to 16.5% || Adversarial training to shift model focus toward robust features | AugMix composition of simple transformations for data augmentation | Reliance on non-robust features in trained models | Data diversity and augmentation mitigate representation bias | Lower adversarial error rate on PGD CIFAR-10 test,de:3 & im:16 & pr:39 & th:36 & va:26 || de:1 & im:18 & pr:10 & th:27 & va:4 || de:1 & im:18 & pr:0 & th:34 & va:26,Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Adversarial vulnerability in neural network classifiers | Robust optimization via adversarial examples improves robustness | Lower adversarial error rate on PGD CIFAR-10 test || Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks | Fine-tuning pre-trained image classifiers on small target datasets | Limited data efficiency in human preference learning for RL | Meta-learning enables few-shot adaptation across tasks | Few-shot classification accuracy improvements using MAML benchmarks || Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks | Fine-tuning pre-trained image classifiers on small target datasets | Distribution mismatch between training and deployment data causes high softmax confidence on OOD inp | Data diversity and augmentation mitigate representation bias | Lower adversarial error rate on PGD CIFAR-10 test,0.092
7,7,81,pr:1 & im:8 & th:7 & de:30 & va:1,correlated sequential data violating iid gradient assumptions in deep RL | maintain separate online and target networks alternating roles | Stochastic policies can be optimal and provide smoother optimisation landscape | Use experience replay to decorrelate updates | Human-preference trained agent success in Atari tasks,de:8 & im:8 & pr:1 & th:7 & va:1 || de:30 & im:8 & pr:1 & th:7 & va:6 || de:30 & im:8 & pr:1 & th:7 & va:1,policy optimization via autoregressive generative modeling | maintain separate online and target networks alternating roles | correlated sequential data violating iid gradient assumptions in deep RL | Stochastic policies can be optimal and provide smoother optimisation landscape | Human-preference trained agent success in Atari tasks || Use experience replay to decorrelate updates | maintain separate online and target networks alternating roles | correlated sequential data violating iid gradient assumptions in deep RL | Stochastic policies can be optimal and provide smoother optimisation landscape | Improved learning stability observed in actor-critic algorithms in RL benchmarks || Use experience replay to decorrelate updates | maintain separate online and target networks alternating roles | correlated sequential data violating iid gradient assumptions in deep RL | Stochastic policies can be optimal and provide smoother optimisation landscape | Human-preference trained agent success in Atari tasks,de:31 & im:24 & pr:1 & th:13 & va:36 || de:35 & im:3 & pr:34 & th:7 & va:23 || de:8 & im:8 & pr:16 & th:29 & va:19,Embedding residual connections to preserve gradient flow during deep training | L2 weight decay throughout training in deep networks | correlated sequential data violating iid gradient assumptions in deep RL | Regularizing input gradients discourages spurious correlations | Modified architecture reduces ImageNet top-5 error from 18.2% to 16.5% || Integrating policy and value networks with Monte Carlo tree search to guide exploration | Reinforcement learning-enhanced Monte Carlo Tree Search combining policy and value networks | Exponential combinatorial search space in PSPACE-complete planning problems | Stochastic policies can be optimal and provide smoother optimisation landscape | AlphaZero outperforming human data-based Go systems || policy optimization via autoregressive generative modeling | maintain separate online and target networks alternating roles | Unstructured exploration preventing reward discovery in sparse environments | Uncertainty over human preferences enables safer optimization | Theoretical proof that conservative training lower-bounds true objective within T-step neighborhood,0.228
3,6,36,th:4 & de:22 & im:31 & pr:13 & va:7,Interpretability reveals hidden model logic | Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque neural network cognition | Case studies showing interpretability exposes neuron-level misalignment in language models,de:22 & im:31 & pr:13 & th:4 & va:7 || de:22 & im:26 & pr:13 & th:4 & va:7 || de:22 & im:31 & pr:9 & th:14 & th:4 & va:7,Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque neural network cognition | Interpretability reveals hidden model logic | Case studies showing interpretability exposes neuron-level misalignment in language models || Mechanistic interpretability to uncover and audit model internals | training 175B parameter autoregressive transformer on filtered Common Crawl | Opaque neural network cognition | Interpretability reveals hidden model logic | Case studies showing interpretability exposes neuron-level misalignment in language models || Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Instrumental convergence drives power-seeking behavior in advanced AI | Instrumental convergence towards power acquisition in goal-directed agents | Interpretability reveals hidden model logic | Case studies showing interpretability exposes neuron-level misalignment in language models,de:27 & im:31 & pr:15 & th:38 & va:11 || de:22 & im:31 & pr:3 & th:4 & va:11 || de:22 & im:23 & pr:13 & th:4 & va:38,Integration of probabilistic models for calibrated decision-making in AI systems | mechanistic interpretability tools for neuron-circuit analysis | Automation bias errors of omission and commission in military settings | Bayesian inference provides calibrated epistemic uncertainty | experiment 4: effectiveness in unstructured environment || Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque AI decision processes limiting oversight | Interpretability reveals hidden model logic | experiment 4: effectiveness in unstructured environment || Mechanistic interpretability to uncover and audit model internals | ROME causal knowledge editing in transformers | Opaque neural network cognition | Interpretability reveals hidden model logic | GPT-3 few-shot results near state-of-the-art without fine-tuning,0.297
1,3,26,va:20 & im:25 & de:14 & pr:14 & th:26,Toy gridworld experiments show reduced irreversible side effects with penalty | Attainable Utility Preservation penalty integrated into RL reward | Penalizing reductions in attainable utilities to limit agent impact | unintended side effects in complex RL environments | Penalizing shifts in attainable utility as proxy for agent impact,de:14 & im:25 & pr:14 & th:26 & va:20 || de:14 & im:25 & pr:14 & va:20 || de:33 & im:5 & pr:16 & th:26 & va:20,Penalizing reductions in attainable utilities to limit agent impact | Attainable Utility Preservation penalty integrated into RL reward | unintended side effects in complex RL environments | Penalizing shifts in attainable utility as proxy for agent impact | Toy gridworld experiments show reduced irreversible side effects with penalty || Penalizing reductions in attainable utilities to limit agent impact | Attainable Utility Preservation penalty integrated into RL reward | unintended side effects in complex RL environments | Toy gridworld experiments show reduced irreversible side effects with penalty || Combine formal shields with RL to restrict unsafe actions during learning | Formal verification of logic-based AI components | Unstructured exploration preventing reward discovery in sparse environments | Penalizing shifts in attainable utility as proxy for agent impact | Toy gridworld experiments show reduced irreversible side effects with penalty,de:33 & im:5 & pr:16 & th:26 & va:20 || de:14 & im:25 & pr:14 & va:20 || de:14 & im:25 & pr:14 & th:26 & va:20,Combine formal shields with RL to restrict unsafe actions during learning | Formal verification of logic-based AI components | Unstructured exploration preventing reward discovery in sparse environments | Penalizing shifts in attainable utility as proxy for agent impact | Toy gridworld experiments show reduced irreversible side effects with penalty || Penalizing reductions in attainable utilities to limit agent impact | Attainable Utility Preservation penalty integrated into RL reward | unintended side effects in complex RL environments | Toy gridworld experiments show reduced irreversible side effects with penalty || Penalizing reductions in attainable utilities to limit agent impact | Attainable Utility Preservation penalty integrated into RL reward | unintended side effects in complex RL environments | Penalizing shifts in attainable utility as proxy for agent impact | Toy gridworld experiments show reduced irreversible side effects with penalty,0.392
9,1,26,pr:22 & va:22 & de:23 & th:18 & im:27,High uncertainty in AI progress forecasting | Prediction markets beat ordinary teams by about 20% | Integrate AI-driven forecasting into strategic decision-making to raise cost estimates | Probabilistic professional forecasting improves prediction calibration | Forecasting exercises with betting and accuracy scoring,de:23 & im:27 & pr:22 & th:18 & va:22,Integrate AI-driven forecasting into strategic decision-making to raise cost estimates | Forecasting exercises with betting and accuracy scoring | High uncertainty in AI progress forecasting | Probabilistic professional forecasting improves prediction calibration | Prediction markets beat ordinary teams by about 20%,de:23 & im:27 & pr:22 & th:18 & va:22,Integrate AI-driven forecasting into strategic decision-making to raise cost estimates | Forecasting exercises with betting and accuracy scoring | High uncertainty in AI progress forecasting | Probabilistic professional forecasting improves prediction calibration | Prediction markets beat ordinary teams by about 20%,1.0
2,2,20,de:10 & pr:28 & th:33 & va:21 & va:33,Reduce model size and increase data volume for compute efficiency | Undertrained parameter-heavy models wasting compute cycles | Scaling laws linking compute to AI performance | Chinchilla outperforming larger models on MMLU with less compute | 17x training speedup and 90% GPU utilization after pipeline refactor,de:10 & im:32 & pr:28 & th:33 & va:33 || de:10 & im:26 & pr:28 & th:33 & va:21,Reduce model size and increase data volume for compute efficiency | CPU+GPU+domain-specific accelerator heterogeneous systems | Undertrained parameter-heavy models wasting compute cycles | Scaling laws linking compute to AI performance | 17x training speedup and 90% GPU utilization after pipeline refactor || Reduce model size and increase data volume for compute efficiency | training 175B parameter autoregressive transformer on filtered Common Crawl | Undertrained parameter-heavy models wasting compute cycles | Scaling laws linking compute to AI performance | Chinchilla outperforming larger models on MMLU with less compute,de:10 & im:26 & pr:28 & th:33 & va:21 || de:10 & im:32 & pr:28 & th:33 & va:33,Reduce model size and increase data volume for compute efficiency | training 175B parameter autoregressive transformer on filtered Common Crawl | Undertrained parameter-heavy models wasting compute cycles | Scaling laws linking compute to AI performance | Chinchilla outperforming larger models on MMLU with less compute || Reduce model size and increase data volume for compute efficiency | CPU+GPU+domain-specific accelerator heterogeneous systems | Undertrained parameter-heavy models wasting compute cycles | Scaling laws linking compute to AI performance | 17x training speedup and 90% GPU utilization after pipeline refactor,0.429
10,1,17,th:21 & de:25 & im:34 & va:27 & pr:4,Supply chain concentration enables global compute governance | Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | US semiconductor export controls data showing widening China compute gap | Rapid proliferation of frontier AI models beyond developer control,de:25 & im:34 & pr:4 & th:21 & va:27,Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Rapid proliferation of frontier AI models beyond developer control | Supply chain concentration enables global compute governance | US semiconductor export controls data showing widening China compute gap,de:25 & im:34 & pr:4 & th:21 & va:27,Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Rapid proliferation of frontier AI models beyond developer control | Supply chain concentration enables global compute governance | US semiconductor export controls data showing widening China compute gap,1.0
8,1,6,de:0 & va:4 & im:36 & th:29 & pr:20,Provide chain-of-thought demonstrations in prompts | Few-shot classification accuracy improvements using MAML benchmarks | Bayesian inference over utility functions from human behavior | Uncertainty over human preferences enables safer optimization | Insufficient human predictability of RL agent behavior,de:0 & im:36 & pr:20 & th:29 & va:4,Provide chain-of-thought demonstrations in prompts | Bayesian inference over utility functions from human behavior | Insufficient human predictability of RL agent behavior | Uncertainty over human preferences enables safer optimization | Few-shot classification accuracy improvements using MAML benchmarks,de:0 & im:36 & pr:20 & th:29 & va:4,Provide chain-of-thought demonstrations in prompts | Bayesian inference over utility functions from human behavior | Insufficient human predictability of RL agent behavior | Uncertainty over human preferences enables safer optimization | Few-shot classification accuracy improvements using MAML benchmarks,1.0
