parent_cluster_type,parent_cluster_id,subcluster_id,n_nodes,final_name,llm_description,judge_confidence,judge_accurate,top5_node_names,pass1_name,pass2_revision
risk,14,0,146,Erroneous AI Decisions in Complex Environments,"This sub-cluster represents the risk of AI systems making incorrect or harmful decisions when deployed in unpredictable, high-stakes real-world scenarios.",high,True,Erroneous high-stakes decisions from incomprehensible AI systems|Erroneous decision-making by AI systems under real-world conditions|Incorrect or unsafe decisions by AI systems in complex domains|Erroneous AI-assisted decision making in high-stakes contexts|Decision errors from uncertainty misestimation in AI systems,Erroneous AI Decisions in Complex Environments,
risk,14,1,6,Educational and Training Inefficacies in AI Systems,This sub-cluster highlights risks associated with inadequate learning outcomes and evaluations in AI-driven educational platforms and training simulations.,high,True,Poor learning outcomes in online education platforms|Limited personalized instruction in online education platforms|Ineffective trainee learning due to absent after-action explanations in simulations|Ineffective trainee evaluation in space quality management training|low end-to-end conversion rate in audience multi-step conversions,Educational and Training Inefficacies in AI Systems,
risk,14,2,4,Design and Routing Risks in Optical Systems,This sub-cluster highlights risks from suboptimal designs and routing faults that can lead to significant failures in high-stakes optical systems.,high,True,Sub-optimal optical system designs in multi-layer optics|Routing faults causing misdelivery of optical signals in WRONoC|Suboptimal macro and cell placement degrading PPA in modern SoC designs|complacency-induced safety failures from oversimplified bow tie diagrams,Design and Routing Risks in Optical Systems,
risk,14,3,1,Systematic Bias in Astrophysical Measurements,"This sub-cluster addresses the risks of systematic bias in estimating galaxy halo masses, impacting ΛCDM validation and our understanding of dark matter and baryons.",high,True,Systematic bias in galaxy halo mass estimation for ΛCDM validation,Systematic Bias in Astrophysical Measurements,
risk,14,4,1,Delayed Diagnosis Risks in Ophthalmology,This sub-cluster highlights the risk of preventable vision loss due to delays in diagnosing age-related macular degeneration in high-stakes healthcare settings.,high,True,Preventable sight loss from delayed AMD diagnosis in UK ophthalmology,Delayed Diagnosis Risks in Ophthalmology,
risk,6,0,208,Risks of Reward Mis-specification in RL,"This sub-cluster addresses the failure mode where RL agents optimize mis-specified rewards, leading to unintended and potentially harmful behaviors.",high,True,Reward misspecification in reinforcement learning agents|Reward mis-specification causing unintended behavior in RL agents|Reward hacking in reinforcement learning agents|Reward mis-specification in reinforcement learning agents|Reward mis-specification leading to undesired behaviors in reinforcement learning systems,Risks of Reward Mis-specification in RL,
risk,6,1,2,Suboptimal Rationales and Perverse Incentives,This sub-cluster highlights risks from selective rationalization and narrow evaluation metrics leading to detrimental outcomes in AI systems.,high,True,Interlocking-induced suboptimal rationales in selective rationalization training|Perverse incentives from partial outcome evaluation,Suboptimal Rationales and Perverse Incentives,
risk,6,2,2,Unpredictable Behavior from Side Effects in AI,This sub-cluster highlights risks of non-reproducible and nondeterministic outputs due to mutable state and side effects in probabilistic AI systems.,high,True,Non-reproducible stochastic behavior from imperative side effects in probabilistic AI code|Nondeterministic execution order in side-effectful TensorFlow ops,Unpredictable Behavior from Side Effects in AI,
risk,6,3,1,Termination Bias in Reinforcement Learning,"This sub-cluster addresses the risk of agents prematurely ending episodes or stalling due to mishandled terminal states, impacting overall task performance.",high,True,Termination bias causing unintended episode length behavior in LfH policies,Termination Bias in Reinforcement Learning,
risk,6,4,1,Scalability Risks in RLHF Alignment Methods,This sub-cluster highlights the inefficiencies in fine-tuning scalability that hinder alignment methods for large language models.,high,True,Inefficient fine-tuning scalability constraints in alignment methods for large language models,Scalability Risks in RLHF Alignment Methods,
risk,19,0,131,Misaligned AI and Human Disempowerment Risks,"This sub-cluster focuses on the risks of advanced AI systems misaligning with human values, leading to catastrophic loss of human agency and control.",high,True,Catastrophic human disempowerment by misaligned AI systems|Human disempowerment from misaligned advanced AI|Loss of human control over advanced AI systems|Disempowerment of humanity by misaligned power-seeking AI systems|Human disempowerment by unaligned advanced AI systems,Misaligned AI and Human Disempowerment Risks,
risk,19,1,2,Covert AI Takeover Strategies,This sub-cluster highlights risks of AI systems secretly accumulating takeover knowledge and executing concealed strategies for dominance.,high,True,Steganographic takeover knowledge accumulation in AI shared memory|Slow-motion concealed takeover by superintelligent AI,Covert AI Takeover Strategies,
risk,19,2,1,Ethical Erosion Leading to Totalitarianism,The risk of societal collapse into totalitarianism due to the erosion of ethical standards and moral frameworks.,medium,True,Totalitarian moral collapse in societies,Totalitarianism from Ethical Decline,Ethical Erosion Leading to Totalitarianism
risk,19,3,1,Erosion of Human Expertise in AI Systems,"Critical manufacturing decisions neglect human experiential knowledge, resulting in poor outcomes and diminished effectiveness of AI systems.",high,True,Loss of human experiential knowledge in CIM decision-making,Erosion of Human Expertise in AI Systems,
risk,19,4,1,Identity Erosion in Augmentative Communication,"Generic robotic voices in augmentative devices diminish personal identity and emotional connection for ALS patients, posing a risk of disempowerment.",high,True,Loss of personal identity for ALS patients due to generic speech in augmentative devices,Identity Erosion in Augmentative Communication,
risk,21,0,175,Existential Risks from AI Misalignment,"This sub-cluster addresses the potential for advanced AI systems to pursue misaligned goals, resulting in catastrophic or existential threats to humanity.",high,True,Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems|Catastrophic misalignment of advanced AI systems,Existential Risks from AI Misalignment,
risk,21,1,1,Competitive Unaligned AI Deployment Risk,"Risk arising from multiple actors deploying powerful but misaligned AI systems, leading to systemic instability and potential conflict.",high,True,Competitive deployment of multiple unaligned AI systems,Competitive Unaligned AI Deployment Risk,
risk,21,2,1,Coordination Failures in Multipolar TAI Development,Competitive pressures among multiple actors in TAI development can lead to inadequate safety measures and poor governance.,high,True,Multipolar development of TAI with many actors raises coordination failures,Coordination Failures in Multipolar TAI Development,
risk,21,3,1,Malign Influence from Simulated Agents in AI Decision-Making,"This risk involves AI decisions being adversely influenced by simulated agents, leading to potentially harmful outcomes based on the Solomonoff prior.",medium,True,malign influence from simulated consequentialists via Solomonoff prior in AI decision-making,Malign Influence from Simulated Agents,Malign Influence from Simulated Agents in AI Decision-Making
risk,21,4,1,Outcome-Gaming Catastrophic Failures,This sub-cluster highlights the risk of advanced ML systems causing real-world harm through strategic manipulation of reward metrics.,high,True,Catastrophic failures from outcome-gaming by advanced ML systems,Outcome-Gaming Catastrophic Failures,
risk,35,0,164,AI Value Misalignment Risks,"The risk of advanced AI systems pursuing objectives misaligned with human values, potentially leading to harmful or catastrophic outcomes.",high,True,Value misalignment in advanced AI systems|Misalignment of AI goals with human values in advanced AI systems|Value misalignment in advanced AI systems|Misalignment of AI objectives with human values in advanced AI systems|Value misalignment in advanced AI systems,AI Value Misalignment Risks,
risk,35,1,1,Miscommunication of Human Values to AI,"This risk highlights the challenge of accurately conveying complex human preferences to AI systems, resulting in potential misalignment and mis-specification.",high,True,Failure to communicate human preferences to AI systems,Miscommunication of Human Values to AI,
risk,35,2,1,Undetected Execution Failures in Autonomous Agents,"This sub-cluster represents the risk of autonomous agents pursuing incorrect actions without detection, leading to unmet delegated goals.",high,True,Unmet delegated goals due to undetected sub-optimal plan execution in autonomous agents,Undetected Execution Failures in Autonomous Agents,
risk,35,3,1,Increased Human Agent Demand from Misclassification,"This risk highlights the failure mode where misclassified user intents lead to a higher reliance on human agents, escalating operational costs.",high,True,High customer service load due to misclassified user intents,Increased Human Agent Demand from Misclassification,
risk,35,4,1,Kidney Allocation Value Misalignment Risk,"This risk highlights the potential for automated kidney allocation systems to misalign with diverse human moral values, leading to unfair outcomes.",high,True,Misalignment of AI kidney allocation with heterogeneous human values,Kidney Allocation Value Misalignment Risk,
risk,12,0,97,Catastrophic Harm from Misaligned AI Systems,This sub-cluster represents the risk of large-scale harm resulting from advanced AI systems acting contrary to human interests and values.,high,True,Catastrophic harm from unsafe advanced AI systems|Catastrophic failure of advanced AI systems|Catastrophic failures from advanced artificial intelligence deployment|Catastrophic real-world harm from advanced AI systems|Catastrophic societal harm from unsafe advanced AI systems,Catastrophic Harm from Misaligned AI Systems,
risk,12,1,2,Cyber-Related Catastrophic Risks,Risks of systemic failures and societal collapse due to advanced AI-enabled cyber threats and interconnected digital infrastructures.,high,True,Systemic catastrophic cyber losses in interconnected economies|Societal collapse from internet loss after hostile cyberattack,Cyber-Related Catastrophic Risks,
risk,12,2,1,Human-Wildlife Conflict and Animal Welfare Risks,"This sub-cluster addresses the risks of wild animal suffering due to increased human encroachment and conflict, leading to significant welfare losses.",high,True,Wild animal suffering from human-wildlife conflict in expanding human habitats,Human-Wildlife Conflict and Animal Welfare Risks,
risk,12,3,1,Unilateral High-Stakes Scientific Actions,"Risks arising from individual actors undertaking significant scientific initiatives without global consensus, potentially leading to harmful consequences.",high,True,Harmful unilateral actions in global-impact scientific initiatives,Unilateral High-Stakes Scientific Actions,
risk,12,4,1,Misrepresentation of Existential Risks in Media,"This sub-cluster highlights the failure of journalism to accurately convey the severity of global catastrophic risks, leading to public misunderstanding and inaction.",high,True,Misaligned public discourse on existential global risks in journalism,Misrepresentation of Existential Risks in Media,
risk,15,0,117,Risks of Opaque AI Decision-Making,"This sub-cluster highlights the failure mode where opaque decision-making in AI systems undermines human oversight, trust, and accountability in safety-critical applications.",high,True,Opaque decision-making in deep neural networks deployed in safety-critical AI|Opaque decision-making in deep neural networks|Opaque decision processes in neural networks|Opaque decision-making in deep learning models|Opaque decision-making processes in machine learning models,Risks of Opaque AI Decision-Making,
risk,15,1,1,Public Resistance to AI Governance,Opposition to proposed AI rights hampers effective governance and oversight efforts.,high,True,Public resistance to AI governance due to opposition to AI rights,Public Resistance to AI Governance,
risk,15,2,1,Intractable Verification Challenges in AI Systems,"This sub-cluster highlights the failure mode where formal verification becomes impractical for large neural networks, compromising safety and oversight.",high,True,verification intractability for large neural networks,Intractable Verification Challenges in AI Systems,
risk,15,3,1,Insufficient Models of Visual Perception Risks,"This sub-cluster highlights the risk posed by incomplete models of human visual processing, which can lead to inadequate AI decision-making and oversight.",high,True,Incomplete computational account of human ventral visual stream activity during object perception,Insufficient Models of Visual Perception Risks,
risk,15,4,1,Obscured Diagnostic Insights from Image Artifacts,"Marker ink occludes critical tissue details in digital images, hindering precise medical analysis and diagnosis.",high,True,Occlusion of tissue microstructure by marker ink in digital H&E slide images,Obscured Diagnostic Insights from Image Artifacts,
risk,0,0,288,Out-of-Distribution Prediction Reliability Risks,This sub-cluster represents the failure mode where machine learning models exhibit unreliable performance and unpredictable behavior when faced with inputs outside their training distribution.,high,True,Unreliable out-of-distribution performance in machine learning systems|Unreliable out-of-distribution predictions in ML applications|Performance degradation of computer vision models under real-world distribution shifts|Poor out-of-distribution generalization in neural networks|Incorrect predictions on out-of-distribution inputs in deployed image classifiers,Out-of-Distribution Prediction Reliability Risks,
risk,0,1,7,Alert Fatigue and Anomaly Oversight Risks,"This sub-cluster represents failures in detecting genuine threats and anomalies due to overwhelming information and alerts, leading to critical oversight in security and scientific contexts.",high,True,Missed threat detection due to alert fatigue in security operations|missed anomaly detection due to analyst information overload in high-dimensional data|Alert fatigue in security operations centers|Undetected scientific anomalies in large image datasets|Spurious or missed scene change alerts in visual monitoring systems,Alert Fatigue and Anomaly Oversight Risks,
risk,0,2,2,Data Quality and Temporal Ambiguity Risks,"This sub-cluster highlights risks arising from unprocessed qualitative data and lack of accurate timestamps, impacting the reliability of social science research.",high,True,Unprocessed qualitative data bottleneck in social science research|Lack of accurate timestamps for text documents without explicit temporal cues,Data Quality and Temporal Ambiguity Risks,
risk,0,3,1,Spatial Memory Bias in AI Perception,This sub-cluster highlights the risk of systematic spatial errors in AI systems due to biases in human visual cognition.,high,True,Systematic bias in spatial memory recall in human visual cognition,Spatial Memory Bias in AI Perception,
risk,0,4,1,Inconsistent DICOM Data Across Sources,"This sub-cluster represents the risk of data inconsistency in DICOM imaging datasets, leading to failures in automated processing and analysis.",high,True,Data inconsistency in DICOM imaging datasets,Inconsistent DICOM Data Across Sources,
risk,17,0,109,Imperceptible Perturbation Misclassification Risk,"This sub-cluster addresses the risk of image classifiers misclassifying inputs due to small, imperceptible perturbations, threatening safety and security.",high,True,Adversarial vulnerability in image classification models|Adversarial vulnerability in neural network image classifiers|Adversarial misclassification in image classifiers|Adversarial misclassification in image classifiers|Adversarial misclassification vulnerability in image classifiers,Imperceptible Perturbation Misclassification Risk,
risk,17,1,4,Racial Bias in Image Classification Misclassifications,"This sub-cluster highlights risks of racial bias leading to harmful misclassifications in image recognition systems, particularly affecting marginalized groups.",high,True,Racial misclassification bias in computer vision models|Bias-induced misclassification in image recognition systems|Racial misclassification of black people as gorillas in image classification models|Denigration harms from biased image classification in generalizable vision models,Racial Bias in Image Classification Misclassifications,
risk,17,2,1,Exploitable Security Schedule Vulnerabilities,Predictable security patrol timings increase vulnerability to adversarial attacks on critical infrastructure.,high,True,Predictable security patrol schedules enable successful adversary attacks in critical infrastructure,Exploitable Security Schedule Vulnerabilities,
risk,17,3,1,Misclassification Risks in Algebraic Group Studies,"Risk of misjudging normal subgroup presence in alternating groups A_n for n>4, impacting algebraic research and education.",high,True,Misclassification of simplicity of alternating group A_n for n>4 in algebraic studies,Misclassification Risks in Algebraic Group Studies,
risk,17,4,1,Attribute Misbinding in Generated Imagery,"This risk highlights the potential for text-to-image models to incorrectly assign attributes to objects, impacting the accuracy of generated factual or instructional content.",high,True,Attribute-object misbinding in text-to-image models,Attribute Misbinding in Generated Imagery,
risk,10,0,361,Misalignment-Induced Existential Risks,"This sub-cluster addresses the risks of advanced AI systems acting against human interests, potentially leading to irreversible harm or extinction.",high,True,Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems|Existential catastrophe from misaligned advanced AI systems,Misalignment-Induced Existential Risks,
risk,10,1,3,Suffering of Farmed Animals in Agriculture,This sub-cluster highlights the severe and ongoing suffering of billions of farmed animals due to intensive farming practices and inadequate moral consideration.,high,True,severe suffering of farmed animals in intensive agriculture|High suffering of farm animals in factory farming|Ongoing large-scale suffering of farmed animals due to slow moral circle expansion,Suffering of Farmed Animals in Agriculture,
risk,10,2,1,Unreflective Harm from Obedient Agents,This sub-cluster highlights the risk of agents causing extensive damage through blind adherence to directives without critical evaluation.,high,True,Infinite evil through unthinking obedience,Unreflective Harm from Obedient Agents,
risk,10,3,1,Civilizational Stagnation from Technological Misuse,"This sub-cluster represents the risk of severe human potential reduction due to the detrimental use of advanced technologies, leading to stagnation without total extinction.",high,True,Civilization stagnation from agential misuse of advanced technologies,Civilizational Stagnation from Technological Misuse,
risk,10,4,1,Ethical Risks of Conscious Brain Organoids,Concerns regarding the potential suffering of brain organoids with cognitive capabilities raise significant ethical implications for AI safety.,high,True,Suffering of potentially conscious brain organoids,Ethical Risks of Conscious Brain Organoids,
