cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name,closest3_names,farthest3_names,centroid_sim_min,centroid_sim_max
8,230,178,0.678,0.8739,Fund and expand AI safety research teams within le | Provide targeted grants and fellowships to AI safe | Fund and expand technical AI alignment research pr | Provide grants and fellowships to train and hire a | Provide targeted philanthropic funding for AI safe,Fund and expand AI safety research teams within leading labs and academia,Fund and expand AI safety research teams within leading labs and academia | Fund and expand technical AI alignment research programs | Provide targeted grants and fellowships to AI safety researchers,Follow pre-event donor preparation checklist on Giving Tuesday | Shut down Lightcone office space by March 24 2023 | complete foundational deep learning coursework and Python coding exercises,0.4157,0.8824
4,198,172,0.6314,0.9545,Mandate pre-deployment safety evaluations and red- | Mandate regulatory pre-deployment safety evaluatio | restrict deployment of AI systems to narrow domain | Mandate pre-deployment adversarial audits for high | Implement strict internal publication and controll,Mandate pre-deployment safety evaluations and red-teaming for advanced AI systems,Mandate pre-deployment safety evaluations and red-teaming for advanced AI systems | Mandate regulatory pre-deployment safety evaluations for advanced AI systems | restrict deployment of AI systems to narrow domains until alignment verification completed,Get fully vaccinated with mRNA vaccines during pandemic | Stockpile 200 FFP2/FFP3 masks for airborne pandemic preparedness | evacuate human survivors via relativistic escape spacecraft,0.3398,0.839
5,189,174,0.6858,0.9577,Integrate adversarial evaluation into pre-deployme | Conduct adversarial red-teaming and stress testing | Conduct unrestricted adversarial example testing p | Perform structured red teaming and capability eval | Integrate adversarial robustness evaluation in pre,Integrate adversarial evaluation into pre-deployment testing for RL systems,Integrate adversarial evaluation into pre-deployment testing for RL systems | Conduct adversarial red-teaming and stress testing before deployment | Conduct unrestricted adversarial example testing pre-deployment to evaluate robustness,Activate Target Row Refresh or increase DRAM refresh rates via firmware settings before deployment | Use instrumental variable ATT estimation leveraging assignment in one-sided compliance experiments | limit system functionality to minimize attack surface from the outset,0.4128,0.8278
26,172,141,0.6907,1.0,Fine-tune robot policies with inclusive reward lea | Fine-tune RL agents with human feedback on hypothe | Fine-tune RL agents using ADVISOR adaptive loss wi | Fine-tune RL agents with VICE using success-state  | fine-tune robot policies with PPO on simulated hum,Fine-tune robot policies with inclusive reward learning using underestimating choice sets,Fine-tune robot policies with inclusive reward learning using underestimating choice sets | Fine-tune RL agents with human feedback on hypothetical trajectories to avoid unsafe environmental traps | Fine-tune RL agents using ADVISOR adaptive loss with auxiliary policy to bridge imitation gap,adopt logarithmic scoring rule for oracle evaluation | Use additive clipped action editing function for safety adjustments | Initialize optimization with empirically verified safe parameter set S0,0.4836,0.8065
35,160,150,0.7524,0.9187,Fine-tune RL agents using human preference-based r | Fine-tune models using reward modeling for human p | Fine-tune models with RLHF reward modeling before  | Fine-tune/RL train models with human preference fe | Fine-tune agents with reward models learned from h,Fine-tune RL agents using human preference-based reward models to align intent,Fine-tune/RL train models with human preference reward learning signals | Fine-tune RL agents using human preference-based reward models to align intent | Fine-tune RL agents with reward models learned from human preferences to reduce specification gaming,Provide skip option for feature queries to users and ignore feature update when selected | Learn uncertainty-aware utility model with validation-set derived generalization bound | Deploy kidney matching system using BLP-sampled heterogeneous preference weights,0.4038,0.9267
0,124,99,0.6511,1.0,Apply continuous weight decay during pre-training  | Apply weight decay regularization during training  | Tune weight decay hyperparameter during fine-tunin | Apply dropout regularization during model fine-tun | Apply l1 regularization and prune small weights du,Apply continuous weight decay during pre-training and fine-tuning to prevent double descent-induced ,Apply continuous weight decay during pre-training and fine-tuning to prevent double descent-induced generalization failu | Apply weight decay regularization during training to control variance and prevent double descent | Tune weight decay hyperparameter during fine-tuning to favor early general circuit dominance,Apply k-nearest edge filtration during graph construction | Initialize variables using tf.global_variables_initializer prior to session run | Train within tf.train.MonitoredSession to manage initialization and finalization,0.4876,0.7771
9,120,91,0.6369,1.0,"Adopt transformer-based scalable architectures and | Adopt transformer-based architectures with attenti | Architect deep models with residual skip connectio | Design vision models using shared-weight convoluti | Design larger model architectures (e.g., ResNet-15",Adopt transformer-based scalable architectures and allocate sufficient compute for gradual training,Adopt transformer-based scalable architectures and allocate sufficient compute for gradual training | Adopt transformer-based architectures with attention for vision and language tasks | Architect deep models with residual skip connections at design phase,"Deploy HaloGraphNet to infer halo masses of Milky Way, Andromeda and other systems | Employ graph neural networks that propagate information over external knowledge graphs | Annotate heavy ops to GPU or enable automatic device placement for performance",0.4778,0.761
11,116,103,0.6346,0.9224,Produce and share accessible AI x-risk educational | Publish comprehensive AI risk research articles an | Conduct recurring public AI existential risk debat | Produce public educational content to raise AI saf | Disseminate interactive AI risk educational resour,Produce and share accessible AI x-risk educational content for researchers and public,Produce and share accessible AI x-risk educational content for researchers and public | Publish comprehensive AI risk research articles and reports to raise awareness | Conduct recurring public AI existential risk debates targeting policymakers and societal leaders,Introduce fiat paper currency as general medium of exchange in economic systems | Bulk distribute HPMOR to public libraries across Russia | Advocate regulatory reforms to increase opioid pain medication access in low-income countries,0.3158,0.8141
6,111,98,0.7366,0.982,Apply adversarial training during fine-tuning to i | Fine-tune models with adversarial training using P | Fine-tune models with PGD adversarial training dur | conduct adversarial training on image models to en | Conduct adversarial training with PGD examples dur,Apply adversarial training during fine-tuning to improve robustness and interpretability,Apply adversarial training during fine-tuning to improve robustness and interpretability | Fine-tune models with adversarial training using PGD perturbations | Fine-tune models with PGD adversarial training during training phase,use federated learning with homomorphic encryption for cross-organisation data collaboration | Apply SPDZ-based secret sharing with MPCTensors in federated training | Adopt privacy by design principles throughout ML pipeline,0.5049,0.8848
1,105,94,0.6369,1.0,deploy ml-driven intrusion detection and vulnerabi | implement continuous runtime anomaly detection in  | Deploy AI models in phased releases with continuou | Deploy staged safety test suites and behavior moni | Implement AI-enabled monitoring and content filter,deploy ml-driven intrusion detection and vulnerability patching across ai infrastructure,deploy ml-driven intrusion detection and vulnerability patching across ai infrastructure | implement continuous runtime anomaly detection in deployed AI systems | Deploy AI models in phased releases with continuous post-deployment monitoring,Integrate infinite-prime theorem into cryptographic key generation standards | Integrate inductive simplicity proof of alternating groups into abstract algebra teaching materials | Integrate critical thinking curricula throughout formal education to cultivate reflective citizens,0.3506,0.7985
25,105,93,0.6456,0.9905,Deploy explainable Bayesian diagnostic support sys | deploy counterfactual explanation modules in AI de | Deploy explanation interfaces with uncertainty vis | Provide users with explainable AI interfaces inclu | Deploy calibrated confidence-only AI recommendatio,Deploy explainable Bayesian diagnostic support systems in clinical workflows,Deploy explainable Bayesian diagnostic support systems in clinical workflows | deploy counterfactual explanation modules in AI decision systems for end-user transparency | Deploy explanation interfaces with uncertainty visualization for end-users and supervisors,Implement SegCaps architecture for pathological lung segmentation in clinical CT analysis | Adopt AlphaFold 2 in structural biology research to accelerate protein structure acquisition | Design interactive narratives with scroll or step layouts and animations to increase engagement,0.4719,0.7693
