cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name
8,230,178,0.678,0.8739,Fund and expand AI safety research teams within le | Provide targeted grants and fellowships to AI safe | Fund and expand technical AI alignment research pr | Provide grants and fellowships to train and hire a | Provide targeted philanthropic funding for AI safe,Fund and expand AI safety research teams within leading labs and academia
4,198,172,0.6314,0.9545,Mandate pre-deployment safety evaluations and red- | Mandate regulatory pre-deployment safety evaluatio | restrict deployment of AI systems to narrow domain | Mandate pre-deployment adversarial audits for high | Implement strict internal publication and controll,Mandate pre-deployment safety evaluations and red-teaming for advanced AI systems
5,189,174,0.6858,0.9577,Integrate adversarial evaluation into pre-deployme | Conduct adversarial red-teaming and stress testing | Conduct unrestricted adversarial example testing p | Perform structured red teaming and capability eval | Integrate adversarial robustness evaluation in pre,Integrate adversarial evaluation into pre-deployment testing for RL systems
26,172,141,0.6907,1.0,Fine-tune robot policies with inclusive reward lea | Fine-tune RL agents with human feedback on hypothe | Fine-tune RL agents using ADVISOR adaptive loss wi | Fine-tune RL agents with VICE using success-state  | fine-tune robot policies with PPO on simulated hum,Fine-tune robot policies with inclusive reward learning using underestimating choice sets
35,160,150,0.7524,0.9187,Fine-tune RL agents using human preference-based r | Fine-tune models using reward modeling for human p | Fine-tune models with RLHF reward modeling before  | Fine-tune/RL train models with human preference fe | Fine-tune agents with reward models learned from h,Fine-tune RL agents using human preference-based reward models to align intent
0,124,99,0.6511,1.0,Apply continuous weight decay during pre-training  | Apply weight decay regularization during training  | Tune weight decay hyperparameter during fine-tunin | Apply dropout regularization during model fine-tun | Apply l1 regularization and prune small weights du,Apply continuous weight decay during pre-training and fine-tuning to prevent double descent-induced 
9,120,91,0.6369,1.0,"Adopt transformer-based scalable architectures and | Adopt transformer-based architectures with attenti | Architect deep models with residual skip connectio | Design vision models using shared-weight convoluti | Design larger model architectures (e.g., ResNet-15",Adopt transformer-based scalable architectures and allocate sufficient compute for gradual training
11,116,103,0.6346,0.9224,Produce and share accessible AI x-risk educational | Publish comprehensive AI risk research articles an | Conduct recurring public AI existential risk debat | Produce public educational content to raise AI saf | Disseminate interactive AI risk educational resour,Produce and share accessible AI x-risk educational content for researchers and public
6,111,98,0.7366,0.982,Apply adversarial training during fine-tuning to i | Fine-tune models with adversarial training using P | Fine-tune models with PGD adversarial training dur | conduct adversarial training on image models to en | Conduct adversarial training with PGD examples dur,Apply adversarial training during fine-tuning to improve robustness and interpretability
1,105,94,0.6369,1.0,deploy ml-driven intrusion detection and vulnerabi | implement continuous runtime anomaly detection in  | Deploy AI models in phased releases with continuou | Deploy staged safety test suites and behavior moni | Implement AI-enabled monitoring and content filter,deploy ml-driven intrusion detection and vulnerability patching across ai infrastructure
25,105,93,0.6456,0.9905,Deploy explainable Bayesian diagnostic support sys | deploy counterfactual explanation modules in AI de | Deploy explanation interfaces with uncertainty vis | Provide users with explainable AI interfaces inclu | Deploy calibrated confidence-only AI recommendatio,Deploy explainable Bayesian diagnostic support systems in clinical workflows
23,99,84,0.6627,1.0,Deploy legible motion planning in robots interacti | Integrate active offline policy selection pipeline | Deploy internal-to-real dynamics transfer assistan | Deploy predictive robots with Bayesian intent infe | Integrate t-predictable planning algorithm into co,Deploy legible motion planning in robots interacting with humans
10,84,74,0.658,0.9643,Implement international AI regulatory frameworks a | Legislate and enforce risk-based AI regulation req | Establish mandatory ethics boards with veto power  | Establish cross-disciplinary ethics committees gov | legislate rights-based data protection frameworks ,Implement international AI regulatory frameworks and enforcement mechanisms
19,80,73,0.7083,0.9875,Pre-train policy networks via supervised imitation | Train agents via imitation learning from expert de | Train robot manipulation policies using recurrent  | Integrate demonstration-based pretraining and hier | Train RL agents on large procedurally generated le,Pre-train policy networks via supervised imitation learning on human demonstrations
2,75,67,0.6515,0.9867,Deploy RL-guided Monte Carlo Tree Search for plann | Deploy RL fine-tuning at inference time for planni | Design AI agents using policy/value network guided | Integrate deep RL meta-controller for runtime stop | Design models with combined policy/value networks ,Deploy RL-guided Monte Carlo Tree Search for planning in safety-critical AI systems
24,71,70,0.8148,0.8873,Fine-tune language models with RLHF to reduce misa | Fine-tune language models with RLHF to align behav | Fine-tune language models with RLHF using human pr | Fine-tune large language models with RLHF to reduc | Fine-tune language models with RLHF to align outpu,Fine-tune language models with RLHF to reduce misalignment
34,70,57,0.6897,1.0,"Pretrain AI models on diverse large-scale datasets | Pre-train models on multimodal image-text datasets | Pre-train vision models on large-scale dataset bef | Pretrain transformers with large, diverse, self-su | Conduct large-scale generative pretraining before ",Pretrain AI models on diverse large-scale datasets before task-specific fine-tuning
22,68,56,0.6666,1.0,Deploy rejection sampling filtering to block disal | Deploy Mahalanobis distance-based detector to reje | Deploy adversarially trained harmful-content outpu | Deploy rejection sampling with injury classifier t | Deploy policy-aligned content classifier as output,Deploy rejection sampling filtering to block disallowed model outputs
38,66,55,0.7035,0.9394,Organize professional forecasting competitions on  | Run periodic incentivized AI timeline forecasting  | Run regular incentivized forecasting tournaments o | Establish crowd forecasting platform with elitist  | Form collaborative teams of high-performing foreca,Organize professional forecasting competitions on AI progress metrics to guide safety planning
15,62,58,0.721,0.9677,Deploy interpretability analysis suites on models  | Deploy automated interpretability analyses during  | Deploy interpretability toolchain during pre-deplo | Conduct circuit-level interpretability audits pre- | Audit models pre-deployment using mechanistic inte,Deploy interpretability analysis suites on models before deployment
21,47,39,0.6974,0.9787,Conduct formal verification of AI codebases before | Integrate formal verification of AI components in  | Apply formal verification tools to ensure no catas | Integrate formal verification and exhaustive autom | Integrate adversarial scenario search and formal v,Conduct formal verification of AI codebases before deployment
18,45,44,0.7249,0.9778,Fine-tune models jointly for task and critique gen | Fine-tune language models using language feedback  | Deploy model-assisted human-in-the-loop feedback w | Fine-tune LLMs on high-quality expert datasets bef | Fine-tune models with AI-generated critiques to im,Fine-tune models jointly for task and critique generation to assist human evaluation
17,42,40,0.622,1.0,deploy self-triggered robustness-surrogate communi | Deploy cooperative delegate agents in collective-r | Deploy retrieval-augmented generation pipelines at | integrate imaginary play execution module into dep | Deploy selective advising policies in operational ,deploy self-triggered robustness-surrogate communication protocol during MARL execution
39,38,35,0.8263,0.8158,Implement export controls on advanced AI chips to  | Enforce export controls on advanced AI chips durin | Implement export controls on advanced AI chips to  | Implement export controls restricting shipment of  | Implement national export controls restricting sup,Implement export controls on advanced AI chips to high-risk actors
36,38,34,0.7187,1.0,Apply AugMix-style data augmentation during model  | Apply extensive random data augmentation during su | Augment and rebalance image training datasets duri | apply AugMix augmentation and JS divergence consis | Apply PixMix data augmentation during pre-training,Apply AugMix-style data augmentation during model pre-training
33,34,32,0.7105,1.0,Deploy HHH prompt during model interactions to red | Deploy persona-based prompted interfaces for langu | Deploy standardized robust prompts for CLIP-like m | Deploy system prompts enforcing factuality and hel | Deploy language models with helpful-honest-harmles,Deploy HHH prompt during model interactions to reduce harmful or dishonest outputs
32,29,26,0.7519,0.8966,Apply attainable utility preservation penalty with | Fine-tune RL agents with Attainable Utility Preser | Apply Attainable Utility Preservation penalty duri | Fine-tune RL agents with attainable utility preser | Fine-tune agents with stepwise relative reachabili,Apply attainable utility preservation penalty with stepwise inaction baseline during RL fine-tuning 
31,27,24,0.6746,1.0,Deploy coding-based AI assistants to accelerate al | Deploy generative-model-based productivity tools i | Deploy human-AI collaborative tools that keep huma | Adopt skill-conditioned behavior cloned AI assista | Adopt AI code completion tools during coding phase,Deploy coding-based AI assistants to accelerate alignment research before TAI
13,26,22,0.6922,1.0,replace click-through RL objectives with supervise | Deploy multi-objective recommender optimization wi | Incorporate periodic user well-being surveys as op | Integrate meaningful social interactions predictio | Roll out aligned recommender systems with extrapol,replace click-through RL objectives with supervised preference prediction in recommender systems bef
20,25,22,0.7889,1.0,Integrate experience replay buffer with uniform ra | Integrate experience replay buffer into deep RL tr | Integrate experience replay buffers in Deep RL tra | Integrate experience replay into RL fine-tuning to | Include experience replay buffer when fine-tuning ,Integrate experience replay buffer with uniform random sampling during RL training
16,25,19,0.6578,1.0,train and deploy deep ensembles to improve uncerta | Train ensembles with varied random seeds to quanti | Perform multi-scale test-time evaluation by averag | Deploy ensemble prediction averaging in production | Deploy inference-time neural network ensemble plur,train and deploy deep ensembles to improve uncertainty robustness
3,22,21,0.6555,1.0,Adopt neuromorphic spiking hardware for deployment | Adopt specialised energy-efficient hardware and al | Deploy domain-specific programmable accelerators ( | Adopt efficiency-optimised architectures to reduce | Deploy privacy-preserving on-device ML inference u,Adopt neuromorphic spiking hardware for deployment of energy-efficient AI models
27,22,20,0.762,1.0,Include KL divergence penalty term during RLHF opt | Fine-tune language models with RLHF using PPO and  | fine-tune language models with kl-regularised rlhf | Fine-tune models with KL-regularised RL objective  | Apply KL-regularised TRPO/PPO updates during fine-,Include KL divergence penalty term during RLHF optimization to prevent mode collapse
30,17,15,0.7882,0.9412,Use periodic target Q-network updates during RL tr | Update target networks periodically in Q-learning  | Employ periodically updated target network during  | Compute double Q-learning targets using separate n | Update Q-learning targets with periodically refres,Use periodic target Q-network updates during RL training to stabilize value learning
