group_id,n_frozensets,n_paths_total,centroid_components,centroid_decoded,closest3_sigs,closest3_decoded,farthest3_sigs,farthest3_decoded,intra_jaccard_mean
12,630,31332,im:4 & pr:6 & de:15 & th:12 & va:10,Government and private grant programs targeting AI safety research | insufficient AI safety research and implementation capacity | Funding initiatives to expand AI safety research community | Risk awareness moments enable extreme AI risk mitigation measures among elites | Demonstrated skill gains among fellowship participants,de:15 & im:4 & pr:6 & th:11 || de:15 & im:4 & pr:31 & pr:6 || de:15 & im:4 & pr:6 & th:0,Funding initiatives to expand AI safety research community | Government and private grant programs targeting AI safety research | insufficient AI safety research and implementation capacity | Targeted funding and outreach accelerating Friendly AI research || Funding initiatives to expand AI safety research community | Government and private grant programs targeting AI safety research | Insufficient alignment research relative to AI capability progress | insufficient AI safety research and implementation capacity || Funding initiatives to expand AI safety research community | Government and private grant programs targeting AI safety research | insufficient AI safety research and implementation capacity | AI assistance can improve evaluation accuracy,de:7 & im:7 & pr:12 & pr:27 & th:12 & va:28 || de:23 & im:35 & pr:22 & va:2 || de:17 & im:19 & pr:4 & th:12 & va:9,"Enforcing advanced information security at AI labs | Red-teaming, audits, interpretability research, incident databases in AI development | Goal misalignment between AI objectives and human values in advanced AI | AI capability race incentives reducing safety investment in development | Risk awareness moments enable extreme AI risk mitigation measures among elites | Red teaming successes in cybersecurity demonstrating vulnerability discovery || Integrate AI-driven forecasting into strategic decision-making to raise cost estimates | Randomized survey instruments targeting AI governance challenge perceptions | High uncertainty in AI progress forecasting | Expert survey median 20-30% probabilities of AI existential catastrophe || Restricting model capabilities and access as precautionary safety measure | International AI governance frameworks for deployment controls | Rapid proliferation of frontier AI models beyond developer control | Risk awareness moments enable extreme AI risk mitigation measures among elites | Expert survey showing broad consensus on 49 of 50 AI safety proposals",0.176
14,346,11354,im:1 & de:37 & th:6 & pr:12 & va:1,reward modeling fine-tuning using human feedback | Learning reward models from human feedback for alignment | Human feedback reward modelling approximates complex objectives | Goal misalignment between AI objectives and human values in advanced AI | Human-preference trained agent success in Atari tasks,de:37 & im:1 & pr:32 & th:6 & va:17 || de:37 & im:1 & pr:7 & th:6 & va:39 || de:37 & im:1 & pr:9 & th:6 & va:17,Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Unpredictable capability spikes from AI scaling in development | Human feedback reward modelling approximates complex objectives | Aligned GPT-3 shows reduced harmful outputs and improved instruction adherence || Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Objective misspecification leading to unintended optimization in advanced AI systems | Human feedback reward modelling approximates complex objectives | Improved summarization performance with human feedback training || Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Instrumental convergence drives power-seeking behavior in advanced AI | Human feedback reward modelling approximates complex objectives | Aligned GPT-3 shows reduced harmful outputs and improved instruction adherence,im:28 & pr:12 & va:3 || pr:11 & pr:12 & pr:27 & th:2 || de:16 & pr:12 & th:31,Cooperative inverse reinforcement learning to infer preferences | Goal misalignment between AI objectives and human values in advanced AI | Empirical observations of current AI misalignment behaviors || Lack of global governance frameworks for AI safety | Goal misalignment between AI objectives and human values in advanced AI | AI capability race incentives reducing safety investment in development | alignment problem requiring AI goals aligned with complex human values || Prioritize AI safety research to solve control and value alignment problems | Goal misalignment between AI objectives and human values in advanced AI | orthogonality thesis allowing arbitrary goals in highly intelligent agents,0.178
2,120,3680,de:3 & im:16 & th:36 & pr:39 & va:26,Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Robust optimization via adversarial examples improves robustness | Adversarial vulnerability in neural network classifiers | Lower adversarial error rate on PGD CIFAR-10 test,de:3 & im:16 & pr:39 & th:36 & va:26 || de:3 & im:16 & pr:39 & th:36 & va:0 || de:3 & im:16 & pr:39 & th:36 & va:7,Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Adversarial vulnerability in neural network classifiers | Robust optimization via adversarial examples improves robustness | Lower adversarial error rate on PGD CIFAR-10 test || Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Adversarial vulnerability in neural network classifiers | Robust optimization via adversarial examples improves robustness | experiments showing vulnerability and robustness improvements || Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Adversarial vulnerability in neural network classifiers | Robust optimization via adversarial examples improves robustness | Case studies showing interpretability exposes neuron-level misalignment in language models,de:1 & im:18 & pr:0 & th:34 & va:26 || de:1 & im:13 & im:18 & pr:2 & th:34 & va:26 & va:8 || de:1 & im:13 & im:18 & pr:0 & th:34 & va:26,Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks | Fine-tuning pre-trained image classifiers on small target datasets | Distribution mismatch between training and deployment data causes high softmax confidence on OOD inp | Data diversity and augmentation mitigate representation bias | Lower adversarial error rate on PGD CIFAR-10 test || Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks | Variational RSSM action-free video prediction trained with ELBO | Fine-tuning pre-trained image classifiers on small target datasets | Reliance on non-robust features in trained models | Data diversity and augmentation mitigate representation bias | Lower adversarial error rate on PGD CIFAR-10 test | Comprehensive comparative results across 9 benchmarks showing post-hoc methods efficacy || Adopt pre-train then fine-tune paradigm for robustness and uncertainty tasks | Variational RSSM action-free video prediction trained with ELBO | Fine-tuning pre-trained image classifiers on small target datasets | Distribution mismatch between training and deployment data causes high softmax confidence on OOD inp | Data diversity and augmentation mitigate representation bias | Lower adversarial error rate on PGD CIFAR-10 test,0.285
15,76,3169,im:10 & pr:19 & de:29 & pr:10 & va:4,Specification gaming evaluation benchmarks for reinforcement learning agents | Reward mis-specification inducing unintended optimization in RL systems | Develop standardized benchmarking frameworks for feature attribution methods | Limited data efficiency in human preference learning for RL | Few-shot classification accuracy improvements using MAML benchmarks,pr:19 || de:4 & im:10 & pr:19 & th:8 & va:33 || de:7 & im:10 & pr:19 & th:37 & va:37,Reward mis-specification inducing unintended optimization in RL systems || Adopt Level-1 generative AI assistance for researcher productivity | Specification gaming evaluation benchmarks for reinforcement learning agents | Reward mis-specification inducing unintended optimization in RL systems | Decoupling performance optimization from safety constraints in Bayesian optimization | 17x training speedup and 90% GPU utilization after pipeline refactor || Enforcing advanced information security at AI labs | Specification gaming evaluation benchmarks for reinforcement learning agents | Reward mis-specification inducing unintended optimization in RL systems | Goodhart's Law analogue in AI objective optimization | specification gaming examples in current ML systems,de:6 & im:7 & pr:19 & pr:39 & pr:8 & th:34 & va:12 || de:6 & im:7 & pr:19 & pr:6 & pr:8 & th:34 & va:12 || de:6 & im:7 & pr:19 & pr:27 & pr:8 & th:34 & va:12,"Incorporate fairness auditing before deployment | Red-teaming, audits, interpretability research, incident databases in AI development | Reward mis-specification inducing unintended optimization in RL systems | Adversarial vulnerability in neural network classifiers | Internet training data biases in language models | Data diversity and augmentation mitigate representation bias | Community adoption of reproducibility checklists improved ML research reliability || Incorporate fairness auditing before deployment | Red-teaming, audits, interpretability research, incident databases in AI development | Reward mis-specification inducing unintended optimization in RL systems | insufficient AI safety research and implementation capacity | Internet training data biases in language models | Data diversity and augmentation mitigate representation bias | Community adoption of reproducibility checklists improved ML research reliability || Incorporate fairness auditing before deployment | Red-teaming, audits, interpretability research, incident databases in AI development | Reward mis-specification inducing unintended optimization in RL systems | AI capability race incentives reducing safety investment in development | Internet training data biases in language models | Data diversity and augmentation mitigate representation bias | Community adoption of reproducibility checklists improved ML research reliability",0.197
10,73,3117,de:14 & pr:9 & th:26 & im:20 & va:20,Penalizing reductions in attainable utilities to limit agent impact | Instrumental convergence drives power-seeking behavior in advanced AI | Penalizing shifts in attainable utility as proxy for agent impact | Security protocols preventing human manipulation (AI-box mitigation) | Toy gridworld experiments show reduced irreversible side effects with penalty,de:14 & im:20 & pr:9 & th:14 & th:26 & va:19 || de:14 & im:20 & pr:19 & pr:9 & th:14 & th:26 & va:19 || de:14 & im:20 & pr:19 & pr:27 & pr:9 & th:14 & th:26 & va:19,Penalizing reductions in attainable utilities to limit agent impact | Security protocols preventing human manipulation (AI-box mitigation) | Instrumental convergence drives power-seeking behavior in advanced AI | Instrumental convergence towards power acquisition in goal-directed agents | Penalizing shifts in attainable utility as proxy for agent impact | Theoretical proof that conservative training lower-bounds true objective within T-step neighborhood || Penalizing reductions in attainable utilities to limit agent impact | Security protocols preventing human manipulation (AI-box mitigation) | Reward mis-specification inducing unintended optimization in RL systems | Instrumental convergence drives power-seeking behavior in advanced AI | Instrumental convergence towards power acquisition in goal-directed agents | Penalizing shifts in attainable utility as proxy for agent impact | Theoretical proof that conservative training lower-bounds true objective within T-step neighborhood || Penalizing reductions in attainable utilities to limit agent impact | Security protocols preventing human manipulation (AI-box mitigation) | Reward mis-specification inducing unintended optimization in RL systems | AI capability race incentives reducing safety investment in development | Instrumental convergence drives power-seeking behavior in advanced AI | Instrumental convergence towards power acquisition in goal-directed agents | Penalizing shifts in attainable utility as proxy for agent impact | Theoretical proof that conservative training lower-bounds true objective within T-step neighborhood,de:33 & im:5 & pr:16 & th:8 & va:20 || de:37 & im:20 & pr:16 & pr:6 & th:8 & va:20 || de:33 & im:5 & pr:16 & pr:19 & th:26 & va:20,Combine formal shields with RL to restrict unsafe actions during learning | Formal verification of logic-based AI components | Unstructured exploration preventing reward discovery in sparse environments | Decoupling performance optimization from safety constraints in Bayesian optimization | Toy gridworld experiments show reduced irreversible side effects with penalty || Learning reward models from human feedback for alignment | Security protocols preventing human manipulation (AI-box mitigation) | Unstructured exploration preventing reward discovery in sparse environments | insufficient AI safety research and implementation capacity | Decoupling performance optimization from safety constraints in Bayesian optimization | Toy gridworld experiments show reduced irreversible side effects with penalty || Combine formal shields with RL to restrict unsafe actions during learning | Formal verification of logic-based AI components | Unstructured exploration preventing reward discovery in sparse environments | Reward mis-specification inducing unintended optimization in RL systems | Penalizing shifts in attainable utility as proxy for agent impact | Toy gridworld experiments show reduced irreversible side effects with penalty,0.253
8,79,2126,im:31 & de:22 & th:4 & pr:13 & va:7,mechanistic interpretability tools for neuron-circuit analysis | Mechanistic interpretability to uncover and audit model internals | Interpretability reveals hidden model logic | Opaque neural network cognition | Case studies showing interpretability exposes neuron-level misalignment in language models,de:22 & im:31 & pr:13 & th:4 & va:7 || de:22 & im:31 & pr:13 & th:4 & va:11 || de:22 & im:31 & pr:13 & th:4 & va:0,Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque neural network cognition | Interpretability reveals hidden model logic | Case studies showing interpretability exposes neuron-level misalignment in language models || Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque neural network cognition | Interpretability reveals hidden model logic | experiment 4: effectiveness in unstructured environment || Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque neural network cognition | Interpretability reveals hidden model logic | experiments showing vulnerability and robustness improvements,de:0 & de:16 & de:37 & im:1 & im:9 & pr:25 & pr:9 & th:1 & th:2 & th:4 & va:17 & va:39 || de:27 & im:31 & pr:15 & th:38 & va:11 || de:2 & im:36 & pr:13 & th:9 & va:8,Provide chain-of-thought demonstrations in prompts | Prioritize AI safety research to solve control and value alignment problems | Learning reward models from human feedback for alignment | reward modeling fine-tuning using human feedback | Synthetic prompt generation and in-context principle application for self-align fine-tuning | Next-token prediction objective incentivizes mimicking misconceptions in LLMs | Instrumental convergence drives power-seeking behavior in advanced AI | Transparency enables additional reliability verification by domain experts | alignment problem requiring AI goals aligned with complex human values | Interpretability reveals hidden model logic | Aligned GPT-3 shows reduced harmful outputs and improved instruction adherence | Improved summarization performance with human feedback training || Integration of probabilistic models for calibrated decision-making in AI systems | mechanistic interpretability tools for neuron-circuit analysis | Automation bias errors of omission and commission in military settings | Bayesian inference provides calibrated epistemic uncertainty | experiment 4: effectiveness in unstructured environment || Develop human-legible modular learning algorithm architecture | Bayesian inference over utility functions from human behavior | Opaque neural network cognition | Separating abstraction from reasoning reduces cognitive load and improves responsiveness | Comprehensive comparative results across 9 benchmarks showing post-hoc methods efficacy,0.286
3,44,1614,de:25 & im:34 & th:21 & pr:32 & pr:4,Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Supply chain concentration enables global compute governance | Unpredictable capability spikes from AI scaling in development | Rapid proliferation of frontier AI models beyond developer control,de:25 & im:34 & pr:32 & th:21 & va:30 || de:25 & im:34 & pr:32 & th:21 & va:17 || de:25 & im:34 & pr:32 & pr:33 & th:21 & va:17,Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Unpredictable capability spikes from AI scaling in development | Supply chain concentration enables global compute governance | Historical governance successes mitigating technology risks || Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Unpredictable capability spikes from AI scaling in development | Supply chain concentration enables global compute governance | Aligned GPT-3 shows reduced harmful outputs and improved instruction adherence || Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Unpredictable capability spikes from AI scaling in development | Deceptive alignment in advanced AI systems | Supply chain concentration enables global compute governance | Aligned GPT-3 shows reduced harmful outputs and improved instruction adherence,de:25 & im:34 & pr:4 & th:33 & va:33 || de:25 & im:34 & pr:26 & th:22 & va:33 || de:25 & im:34 & pr:4 & va:33,Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Rapid proliferation of frontier AI models beyond developer control | Scaling laws linking compute to AI performance | 17x training speedup and 90% GPU utilization after pipeline refactor || Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Intelligence explosion via recursive self-improvement in AI systems | Learning speed bounded by existing knowledge and computational intractability | 17x training speedup and 90% GPU utilization after pipeline refactor || Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | Rapid proliferation of frontier AI models beyond developer control | 17x training speedup and 90% GPU utilization after pipeline refactor,0.433
17,50,1371,va:1 & pr:19 & th:28 & pr:16 & de:8,Human-preference trained agent success in Atari tasks | Reward mis-specification inducing unintended optimization in RL systems | Human demonstrations can bootstrap RL and reduce unsafe exploration | Unstructured exploration preventing reward discovery in sparse environments | policy optimization via autoregressive generative modeling,pr:31 & th:16 & va:1 || pr:19 & pr:31 & th:16 & va:1 || de:37 & im:8 & pr:19 & th:28 & va:1,Insufficient alignment research relative to AI capability progress | Darwinian natural selection applies to artificial agents favoring selfishness | Human-preference trained agent success in Atari tasks || Reward mis-specification inducing unintended optimization in RL systems | Insufficient alignment research relative to AI capability progress | Darwinian natural selection applies to artificial agents favoring selfishness | Human-preference trained agent success in Atari tasks || Learning reward models from human feedback for alignment | maintain separate online and target networks alternating roles | Reward mis-specification inducing unintended optimization in RL systems | Human demonstrations can bootstrap RL and reduce unsafe exploration | Human-preference trained agent success in Atari tasks,de:37 & im:3 & pr:16 & pr:19 & th:28 & va:35 || de:14 & im:8 & pr:7 & th:8 & va:19 || pr:31,Learning reward models from human feedback for alignment | Reinforcement learning-enhanced Monte Carlo Tree Search combining policy and value networks | Unstructured exploration preventing reward discovery in sparse environments | Reward mis-specification inducing unintended optimization in RL systems | Human demonstrations can bootstrap RL and reduce unsafe exploration | Simulation and offline user studies show improved coordination and efficiency || Penalizing reductions in attainable utilities to limit agent impact | maintain separate online and target networks alternating roles | Objective misspecification leading to unintended optimization in advanced AI systems | Decoupling performance optimization from safety constraints in Bayesian optimization | Theoretical proof that conservative training lower-bounds true objective within T-step neighborhood || Insufficient alignment research relative to AI capability progress,0.182
5,48,1154,th:1 & va:28 & de:6 & im:21 & pr:4,Transparency enables additional reliability verification by domain experts | Red teaming successes in cybersecurity demonstrating vulnerability discovery | Incorporate fairness auditing before deployment | Classifier-based anomaly detection for OOD inputs | Rapid proliferation of frontier AI models beyond developer control,de:6 & im:21 & pr:4 & th:1 & va:28 || de:6 & im:21 & pr:19 & pr:4 & th:1 & va:28 || de:6 & im:21 & pr:31 & pr:4 & th:1 & va:28,Incorporate fairness auditing before deployment | Classifier-based anomaly detection for OOD inputs | Rapid proliferation of frontier AI models beyond developer control | Transparency enables additional reliability verification by domain experts | Red teaming successes in cybersecurity demonstrating vulnerability discovery || Incorporate fairness auditing before deployment | Classifier-based anomaly detection for OOD inputs | Reward mis-specification inducing unintended optimization in RL systems | Rapid proliferation of frontier AI models beyond developer control | Transparency enables additional reliability verification by domain experts | Red teaming successes in cybersecurity demonstrating vulnerability discovery || Incorporate fairness auditing before deployment | Classifier-based anomaly detection for OOD inputs | Insufficient alignment research relative to AI capability progress | Rapid proliferation of frontier AI models beyond developer control | Transparency enables additional reliability verification by domain experts | Red teaming successes in cybersecurity demonstrating vulnerability discovery,pr:4 || de:38 & im:9 & pr:19 & pr:23 & th:4 & va:28 || de:28 & im:9 & pr:30 & pr:4 & th:35 & va:28,Rapid proliferation of frontier AI models beyond developer control || AI design with explainability and traceability requirements | Synthetic prompt generation and in-context principle application for self-align fine-tuning | Reward mis-specification inducing unintended optimization in RL systems | Inner misalignment creating deceptive goal optimizers | Interpretability reveals hidden model logic | Red teaming successes in cybersecurity demonstrating vulnerability discovery || Rigorous pre-deployment testing to reveal dangerous behaviors | Synthetic prompt generation and in-context principle application for self-align fine-tuning | Rare harmful behavior undetected by standard evaluation in generative models | Rapid proliferation of frontier AI models beyond developer control | Self-generated chain-of-thought can unlock latent reasoning in LLMs | Red teaming successes in cybersecurity demonstrating vulnerability discovery,0.215
1,36,955,va:0 & th:5 & de:6 & de:38 & de:29,experiments showing vulnerability and robustness improvements | Adversarial testing reveals unknown model failure modes better than static benchmarks in AI safety e | Incorporate fairness auditing before deployment | AI design with explainability and traceability requirements | Develop standardized benchmarking frameworks for feature attribution methods,de:6 & im:31 & pr:30 & th:5 & va:0 || de:29 & im:12 & pr:0 & th:5 & va:0 || de:7 & im:7 & pr:39 & th:5 & va:0,"Incorporate fairness auditing before deployment | mechanistic interpretability tools for neuron-circuit analysis | Rare harmful behavior undetected by standard evaluation in generative models | Adversarial testing reveals unknown model failure modes better than static benchmarks in AI safety e | experiments showing vulnerability and robustness improvements || Develop standardized benchmarking frameworks for feature attribution methods | Sim2real training with domain randomisation | Distribution mismatch between training and deployment data causes high softmax confidence on OOD inp | Adversarial testing reveals unknown model failure modes better than static benchmarks in AI safety e | experiments showing vulnerability and robustness improvements || Enforcing advanced information security at AI labs | Red-teaming, audits, interpretability research, incident databases in AI development | Adversarial vulnerability in neural network classifiers | Adversarial testing reveals unknown model failure modes better than static benchmarks in AI safety e | experiments showing vulnerability and robustness improvements",de:21 & im:5 & pr:5 & th:39 & va:31 || de:38 & im:7 & pr:22 & th:12 & va:13 || de:29 & im:29 & pr:0 & th:34 & va:14,"Formal verification of safety properties | Formal verification of logic-based AI components | Lack of robust AI safety measures in development pipelines | Formal verification detecting hidden controller flaws in CPS | Successful formal verification of safety-critical software (flight, rail, pacemaker etc.) || AI design with explainability and traceability requirements | Red-teaming, audits, interpretability research, incident databases in AI development | High uncertainty in AI progress forecasting | Risk awareness moments enable extreme AI risk mitigation measures among elites | Biased credit scoring outcomes in deployed systems || Develop standardized benchmarking frameworks for feature attribution methods | Crowdsourced bias-controlled image collection platform with random rotation, viewpoint, background s | Distribution mismatch between training and deployment data causes high softmax confidence on OOD inp | Data diversity and augmentation mitigate representation bias | Transformer models outperform prior architectures on language tasks",0.193
