cluster_id,n_paths,n_unique_body_nodes,n_sources,top_path_body_nodes,top5_subtypes
18,62774,5095,1622,Objective misspecification causing undes | Objective misspecification leading to un | Existential catastrophe from misaligned  | Existential catastrophe from misaligned  | Human extinction by misaligned superinte,"{'risk': 155, 'problem analysis': 120, 'implementation mechanism': 60, 'design rationale': 55, 'theoretical insight': 53}"
9,53513,5217,1794,insufficient AI safety talent pipeline a | existential risk from misaligned transfo | AI misalignment causing existential risk | Catastrophic misalignment of advanced AI | Catastrophic misalignment of superintell,"{'risk': 158, 'problem analysis': 122, 'implementation mechanism': 58, 'design rationale': 54, 'theoretical insight': 52}"
23,53228,4712,1655,Lack of mandatory disclosure of AI red-t | Government oversight through transparent | Federal standards and guidance framework | Worker-oriented policies mitigate AI-dri | Inadequate labor protections against aut,"{'risk': 166, 'problem analysis': 118, 'theoretical insight': 57, 'implementation mechanism': 51, 'design rationale': 51}"
27,47660,5209,1595,Catastrophic outcomes from inadequate go | Catastrophic global impact from misgover | Catastrophic existential risk from trans | Existential catastrophe from misaligned  | existential catastrophe from misaligned ,"{'risk': 141, 'problem analysis': 120, 'implementation mechanism': 62, 'design rationale': 59, 'theoretical insight': 57}"
20,46957,4954,1505,Tame-problem framing failing in wicked c | Lack of human-value alignment in AI solu | Opacity of AI decision-making for stakeh | Opaque AI decision processes limiting ov | Opaque decision-making in AI systems red,"{'risk': 146, 'problem analysis': 118, 'implementation mechanism': 63, 'design rationale': 58, 'theoretical insight': 56}"
16,44861,3971,1618,Competitive pressure causing safety corn | Competitive pressures lowering safety st | Catastrophic power-seeking behavior in a | Catastrophic autonomous power-seeking be | Catastrophic misalignment of advanced AI,"{'risk': 205, 'problem analysis': 119, 'theoretical insight': 45, 'design rationale': 43, 'implementation mechanism': 43}"
30,44765,4543,1658,Alignment progress lagging behind capabi | Existential catastrophe from misaligned  | Catastrophic AGI misalignment causing hu | Catastrophic existential harms from misa | Difficulty directing goal-driven advance,"{'risk': 170, 'problem analysis': 121, 'theoretical insight': 55, 'design rationale': 52, 'implementation mechanism': 47}"
5,43859,4222,1592,Insufficient external scrutiny of powerf | Licensing and minimum safety standards c | Competitive pressures accelerating unsaf | Emergent dangerous capabilities in deplo | Emergent dangerous capabilities in front,"{'risk': 168, 'problem analysis': 115, 'implementation mechanism': 57, 'theoretical insight': 52, 'design rationale': 52}"
13,43243,5523,1676,Pretraining objective equally rewards pr | Preference-based reward models can penal | Optimize LLMs with human preference-alig | Reinforcement Learning from Human Feedba | Reinforcement learning from Human Feedba,"{'problem analysis': 121, 'risk': 121, 'implementation mechanism': 66, 'theoretical insight': 61, 'design rationale': 59}"
7,39825,4931,1542,Unsafe advanced AI deployment due to ina | Insufficient alignment research progress | Insufficiently solved alignment problem  | Existential catastrophe from misaligned  | Existential catastrophe from misaligned ,"{'risk': 142, 'problem analysis': 121, 'implementation mechanism': 61, 'design rationale': 57, 'theoretical insight': 56}"
2,36743,4613,1587,accelerated AGI timelines due to capabil | insufficient differential safety progres | existential catastrophe from power-seeki | Existential catastrophe from misaligned  | Existential catastrophe from misaligned ,"{'risk': 160, 'problem analysis': 105, 'implementation mechanism': 58, 'design rationale': 54, 'validation evidence': 54}"
37,36426,2663,1360,Inadequate evaluation of AI-generated al | Existential misalignment failure in adva | Existential catastrophe from misaligned  | Existential catastrophe from misaligned  | Insufficient formal frameworks for Frien,"{'risk': 253, 'problem analysis': 123, 'theoretical insight': 35, 'design rationale': 31, 'implementation mechanism': 28}"
24,34497,5517,1736,Inadequate organizational safety causing | Organizational safety failures in AI dev | Profit-driven incentive misalignment in  | Misaligned commercial incentives in AI i | Absence of internationally accepted safe,"{'risk': 138, 'problem analysis': 121, 'implementation mechanism': 62, 'design rationale': 56, 'theoretical insight': 54}"
3,33714,5489,1667,suboptimal maximum softmax probability b | Maximum softmax probability suboptimal f | Failure to detect out-of-distribution in | Hazardous outcomes from AI decision-maki | Catastrophic AI system failures in real-,"{'risk': 144, 'problem analysis': 123, 'design rationale': 58, 'implementation mechanism': 58, 'theoretical insight': 57}"
25,32831,4838,1461,Systematic overconfidence in deep networ | Pre-trained representations improve robu | Lack of robust feature representations i | Adversarial vulnerability in image class | Adversarial vulnerability in image class,"{'risk': 139, 'problem analysis': 109, 'implementation mechanism': 64, 'theoretical insight': 59, 'design rationale': 59}"
6,28637,6561,1639,existential catastrophe from misaligned  | outer alignment errors in reward functio | ambiguity of reward signals causing misa | iterative reward refinement with human o | Iterative human-in-the-loop alignment fr,"{'problem analysis': 111, 'risk': 96, 'theoretical insight': 74, 'implementation mechanism': 74, 'design rationale': 67}"
31,28309,4379,1621,situational awareness emergence in langu | deceptive alignment in advanced AI syste | Deceptive alignment in advanced AI syste | Existential catastrophe from misaligned  | Catastrophic misalignment of future adva,"{'risk': 174, 'problem analysis': 118, 'implementation mechanism': 54, 'theoretical insight': 50, 'design rationale': 50}"
