meta_family_id,n_families,n_paths_total,dominant_family_id,dominant_family_name,core_components,mean_intra_jaccard
18,400,23839,0,Funding and training to build AI safety capacity,de:15 & im:4 & pr:6,0.28
23,239,8252,5,Human feedback loops for objective alignment,de:37 & im:1 & th:6,0.27
19,218,6480,17,Global governance enables coordinated AI safety controls,th:12,0.183
4,115,3625,6,Adversarial robustness through PGD training,de:3 & im:16 & pr:39 & th:36,0.303
21,99,2976,20,Human-feedback alignment and goal specification,de:16 & pr:12,0.196
15,64,2856,4,Corrigible transparency and secure oversight mechanisms,de:14 & im:20 & pr:9 & th:26,0.294
25,60,2674,3,Robust reward learning and specification gaming,im:10 & pr:19,0.253
11,78,2121,34,Mechanistic interpretability for hidden model cognition,de:22 & im:31 & pr:13 & th:4,0.291
5,44,1614,15,Compute chokepoints enabling scalable governance,de:25 & im:34 & pr:32 & th:21,0.433
29,43,1230,22,Preference learning and reward alignment mechanisms,va:1,0.215
17,12,1013,7,Expanding AI safety research and implementation capacity,pr:6,0.215
6,21,918,11,through alignment objectives and self-critique,de:11 & im:9 & pr:33 & th:35 & va:15,0.392
2,28,749,83,via adversarial testing and robustness gains,th:5 & va:0,0.24
7,26,725,79,through fairness auditing and anomaly detection,de:6 & im:21 & th:1,0.386
26,22,543,126,through reward mis-specification and stochastic policies,pr:19 & th:7,0.239
24,16,495,101,via reward mis-specification exploitation,pr:19,0.241
8,22,429,133,via frontier proliferation and red teaming,pr:4 & va:28,0.278
10,12,327,114,"through pretraining, decomposition, and meta-learning",de:1 & pr:13 & th:23 & va:4,0.323
30,15,270,113,via uncertainty and scaling laws,pr:22 & th:33,0.216
14,9,261,96,through reward modeling and constraints,de:37 & im:20 & pr:16 & th:8 & va:20,0.511
1,8,206,111,through testing and alignment hardening,de:28 & im:9 & pr:7 & th:39 & va:0,0.347
13,8,171,167,via capability race incentives reducing safety,pr:27,0.219
22,8,126,203,through preference inference and uncertainty,de:37 & im:28 & pr:20 & th:38,0.41
32,10,97,486,through shared representations and regularization,im:24 & th:10 & va:36,0.182
28,2,88,166,through robust preference alignment,de:18 & im:6 & pr:12 & pr:38 & th:36 & va:1,0.833
31,4,64,297,through regularization and robustness mechanisms,de:10 & de:31 & im:11 & pr:2 & th:13 & va:34,0.251
3,5,55,394,via adversarial classifier vulnerability,pr:39,0.334
27,5,53,431,via alignment lag behind capability progress,pr:31,0.387
9,2,45,334,"through testing, interpretability, and alignment",de:28 & im:10 & pr:17 & th:4 & va:17,0.2
20,5,39,454,via RLHF alignment inadequacy,pr:37,0.291
16,2,11,1348,through modular transfer and alignment,de:15 & de:2 & im:18 & im:9 & pr:24 & pr:5 & th:10 & th:2 & va:18,0.111
12,1,5,1533,through calibrated Bayesian interpretability,de:27 & im:31 & pr:15 & th:38 & va:11,1.0
