group_id,n_frozensets,n_paths_total,centroid_decoded,llm_name,description,test_sentence,test_sentence_ok,test_sentence_reasoning,borderline_note,p1_confidence,judge_starts_via,judge_fits_closest,judge_fits_borderline,borderline_consistency_note,suggested_revision,judge_confidence,final_name
4,19,451,insufficient AI safety research and implementation capacity | Government and private grant programs targeting AI safety research | Funding initiatives to expand AI safety research community | Demonstrated skill gains among fellowship participants | Targeted funding and outreach accelerating Friendly AI research,accelerated alignment talent and methods development,"Targeted resources, grants, outreach, and fellowships increase skilled researchers and practical alignment techniques, improving the field’s ability to discover, test, and implement safer AI systems.",The reason why Expand AI Safety Research Funding and Capacity mitigates Misaligned Superintelligent AI Existential Risk is accelerated alignment talent and methods development,True,The sentence is grammatical and identifies an intermediate causal mechanism rather than simply restating the intervention or risk.,"The borderline frozensets involving red teaming, evaluation, self-alignment, and pre-deployment testing are consistent as examples of methods developed by a stronger alignment research ecosystem.",high,False,True,True,"The closest frozensets center on funding and capacity building for AI safety research, talent, and skill gains. The borderline frozensets involve concrete alignment-related methods such as evaluation, red teaming, self-alignment, and pre-deployment testing, which are reasonably covered by 'methods development' within a stronger alignment ecosystem.",accelerated alignment research talent and methods development,high,accelerated alignment talent and methods development
6,46,415,reward modeling fine-tuning using human feedback | Learning reward models from human feedback for alignment | Human feedback reward modelling approximates complex objectives | Instrumental convergence drives power-seeking behavior in advanced AI | Goal misalignment between AI objectives and human values in advanced AI,feedback-based approximation of human objectives,"Human feedback is used to learn a proxy objective that better tracks complex human preferences, reducing unintended optimization, specification gaming, and value misalignment.",The reason why Human-preference reward model fine-tuning mitigates Reward Misspecification and Reward Hacking is feedback-based approximation of human objectives,True,The sentence is grammatical and names the intermediate mechanism rather than simply repeating the intervention or risk.,"The governance-oriented borderline frozensets are less central but remain consistent insofar as standards, transparency, and deployment controls can support or enforce better objective approximation.",high,False,True,True,"Closest frozensets directly concern human-feedback reward modeling as an approximation to human objectives. Borderline governance frozensets are only indirectly consistent, insofar as governance, standards, transparency, and deployment controls can require or support better objective approximation.",,high,feedback-based approximation of human objectives
5,18,173,Lower adversarial error rate on PGD CIFAR-10 test | Reliance on non-robust features in trained models | Adversarial training to shift model focus toward robust features | Projected gradient descent adversarial example generator with joint training | Limited data efficiency in human preference learning for RL,robust feature prioritization under distributional stress,"Training exposure to adversarial, augmented, or transferred task distributions discourages reliance on brittle non-robust features and shifts models toward more stable, generalizable representations.",The reason why PGD Adversarial Training for Robust Fine-Tuning mitigates Adversarial Image Classification Misclassification is robust feature prioritization under distributional stress,True,The sentence is coherent because the named mechanism explains how robustness-focused training reduces misclassification by promoting stable features under adversarial or shifted inputs.,"The borderline frozensets are consistent: adversarial robustness cases fit directly, while pretraining, fine-tuning, and few-shot adaptation fit as weaker forms of improving stable feature use under distributional shift.",high,False,False,True,"The name fits adversarial robustness and weaker OOD/pretraining/fine-tuning cases as stable-feature use under shift, but it is too narrow for closest items involving fairness auditing, transparency, and general safety pipeline robustness.",robustness-enhancing prioritization of stable features and reliability checks under distributional stress,medium,robustness-enhancing prioritization of stable features and reliability checks under distributional stress
7,7,81,correlated sequential data violating iid gradient assumptions in deep RL | maintain separate online and target networks alternating roles | Stochastic policies can be optimal and provide smoother optimisation landscape | Use experience replay to decorrelate updates | Human-preference trained agent success in Atari tasks,stabilized policy-value learning from correlated experience,The mechanism is reducing instability from sequentially correlated reinforcement learning data while smoothing and stabilizing policy and value updates.,The reason why Uniform Experience Replay for RL Training mitigates Unsafe and Sample-Inefficient RL Exploration is stabilized policy-value learning from correlated experience,True,"The sentence is coherent because experience replay mitigates unsafe, sample-inefficient exploration by decorrelating experience and stabilizing policy or value learning updates.","The borderline frozensets are partly consistent: residual connections and regularization also stabilize learning, while policy-value MCTS fits the policy-value learning aspect but is less centered on correlated experience.",high,False,True,False,"Closest frozensets support RL training stabilization from correlated experience via replay/target networks, but borderline items include broader neural training stabilization and regularization mechanisms, plus policy-value MCTS without a strong correlated-experience focus.",stabilized neural policy-value learning and training regularization,high,stabilized policy-value learning from correlated experience
3,6,36,Interpretability reveals hidden model logic | Mechanistic interpretability to uncover and audit model internals | mechanistic interpretability tools for neuron-circuit analysis | Opaque neural network cognition | Case studies showing interpretability exposes neuron-level misalignment in language models,hidden decision logic exposure for calibrated oversight,"Interpretability and uncertainty tools make otherwise opaque model reasoning, internal circuits, and failure-relevant evidence visible enough for humans to audit, calibrate trust, and intervene before unsafe decisions occur.",The reason why Explainable decision support with uncertainty and counterfactuals mitigates Unsafe AI Decisions in High-Stakes Settings is hidden decision logic exposure for calibrated oversight,True,"The phrase names the intermediate mechanism rather than restating the intervention or risk, and it coherently explains how explainability and uncertainty support reduce unsafe high-stakes decisions.","The borderline frozensets remain consistent because calibrated probabilistic decision-making and automation-bias reduction are cases where exposing decision logic supports better oversight, even when the emphasis is less neuron-level.",high,False,True,True,"Closest frozensets emphasize mechanistic interpretability exposing hidden/internal model logic; borderline frozensets broaden this to calibrated uncertainty, probabilistic decision-making, and reduced automation bias, which the phrase 'calibrated oversight' reasonably captures.",,high,hidden decision logic exposure for calibrated oversight
1,3,26,Toy gridworld experiments show reduced irreversible side effects with penalty | Attainable Utility Preservation penalty integrated into RL reward | Penalizing reductions in attainable utilities to limit agent impact | unintended side effects in complex RL environments | Penalizing shifts in attainable utility as proxy for agent impact,future-option preservation discouraging irreversible side effects,"Penalties or constraints reduce harmful impact by making agents avoid actions that unnecessarily eliminate attainable future possibilities, especially irreversible changes in the environment.",The reason why Attainable Utility Preservation reward penalty mitigates Reward Misspecification and Reward Hacking is future-option preservation discouraging irreversible side effects,True,The sentence is grammatical and explains an intermediate mechanism rather than merely repeating the intervention or risk.,"The borderline shielded-RL cases are consistent because formal action restrictions can also preserve safe future options, though they emphasize constraint enforcement more than utility-shift penalties.",high,False,True,False,"The name fits the AUP/attainable-utility core well, but some borderline cases emphasize formal shielding, verification, or exploration failure rather than future-option preservation specifically.",safe-option preservation and constraint enforcement limiting irreversible side effects,medium,future-option preservation discouraging irreversible side effects
9,1,26,High uncertainty in AI progress forecasting | Prediction markets beat ordinary teams by about 20% | Integrate AI-driven forecasting into strategic decision-making to raise cost estimates | Probabilistic professional forecasting improves prediction calibration | Forecasting exercises with betting and accuracy scoring,calibrated probabilistic estimates guiding preparedness decisions,"Incentives, scoring, and aggregation improve prediction calibration under high uncertainty, making strategic planners better able to anticipate AI progress and allocate safety effort accordingly.",The reason why the intervention Incentivized AI forecasting and prediction systems mitigates the risk Misforecasted AI Timelines Undermining Safety Preparedness is calibrated probabilistic estimates guiding preparedness decisions,True,The phrase names the intermediate mechanism: better-calibrated probability estimates inform preparedness decisions despite uncertain AI timelines.,"The borderline frozensets contain the same forecasting, calibration, prediction-market, uncertainty, and strategic-decision concepts, so they are consistent with the name.",high,False,True,True,"The borderline frozensets match the closest set and center on forecasting, calibration, prediction markets, uncertainty, and strategic decision-making, which the name captures.",,high,calibrated probabilistic estimates guiding preparedness decisions
2,2,20,Reduce model size and increase data volume for compute efficiency | Undertrained parameter-heavy models wasting compute cycles | Scaling laws linking compute to AI performance | Chinchilla outperforming larger models on MMLU with less compute | 17x training speedup and 90% GPU utilization after pipeline refactor,compute-optimal scaling with efficient hardware utilization,"Scaling-law-guided choices favor smaller, better-trained models with more data while improving pipeline and accelerator utilization, reducing wasted compute from undertrained oversized models.",The reason why Choose robust model architectures at design time mitigates Compute and data inefficiency in AI training is compute-optimal scaling with efficient hardware utilization,True,The sentence is coherent because the named mechanism explains how architecture and training-design choices reduce compute and data waste.,"The borderline frozensets remain consistent: some emphasize Chinchilla-style model/data scaling, while others emphasize heterogeneous hardware and pipeline utilization.",high,False,True,True,The name appropriately spans both Chinchilla-style compute-optimal model/data scaling and efficient use of heterogeneous/pipelined hardware resources.,compute-optimal model-data scaling and efficient hardware utilization,high,compute-optimal scaling with efficient hardware utilization
10,1,17,Supply chain concentration enables global compute governance | Export controls on compute to limit proliferation of advanced AI | Export controls on advanced AI compute hardware | US semiconductor export controls data showing widening China compute gap | Rapid proliferation of frontier AI models beyond developer control,supply-chain chokepoint leverage limiting frontier compute diffusion,"Concentrated semiconductor supply chains create leverage points that can restrict access to frontier compute, widen capability gaps, and slow uncontrolled proliferation of advanced models.",The reason why Export controls on advanced AI hardware mitigates AI arms race causing unsafe deployment is supply-chain chokepoint leverage limiting frontier compute diffusion,True,The sentence coherently explains the mitigation as arising from control over concentrated compute supply chains that slows frontier capability diffusion.,"The borderline frozensets contain the same concepts as the centroid, so they are fully consistent with this name.",high,False,True,True,"Borderline frozensets match the closest/core concepts, and the name captures supply-chain concentration/export controls as chokepoints limiting frontier compute proliferation.",,high,supply-chain chokepoint leverage limiting frontier compute diffusion
8,1,6,Provide chain-of-thought demonstrations in prompts | Few-shot classification accuracy improvements using MAML benchmarks | Bayesian inference over utility functions from human behavior | Uncertainty over human preferences enables safer optimization | Insufficient human predictability of RL agent behavior,sample-efficient demonstration-guided Bayesian utility inference,"Demonstrations and few-shot adaptation help infer latent human utilities from limited evidence while preserving uncertainty, making optimization less brittle and more aligned with human behavior.",The reason why Human-preference reward model fine-tuning mitigates Reward Misspecification and Reward Hacking is sample-efficient demonstration-guided Bayesian utility inference,True,The sentence is grammatical and identifies an intermediate mechanism rather than merely restating the intervention or risk.,"The borderline frozensets are consistent because they contain the same concepts: demonstrations, few-shot learning, Bayesian utility inference, preference uncertainty, and limits of human predictability.",high,False,True,True,"Borderline and closest frozensets contain the same concepts, so there is no scope shift; the name captures demonstrations, sample efficiency, Bayesian utility inference, and implied preference uncertainty, though human predictability limits are only implicit.",,high,sample-efficient demonstration-guided Bayesian utility inference
