edge_config,mode,node_type,hub_node_id,hub_name,hub_source_url,degree_structural,degree_sim_0.80,degree_sim_0.85,degree_sim_0.90,degree_sim_0.95,degree_total_0.80,n_sources_at_config_thr,sim_ratio_90_80,is_high_thr_hub
EDGE,unconstrained,risk,205938,existential catastrophe from misaligned AI systems,https://docs.google.com/document/d/1PXwjSbh-g1U1JEXhf55C7YsqD5qKNdBPQGgQ7W0Zm1A/,10,1632,1002,307,9,1642,0,0.188,True
EDGE,unconstrained,risk,50735,Existential catastrophe from unaligned transformative AI in global society,https://www.alignmentforum.org/posts/KJRBb43nDxk6mwLcR/ai-doom-from-an-llm-plate,9,0,0,0,0,9,0,0.0,False
EDGE,unconstrained,risk,14242,catastrophic loss of human control from misaligned advanced AI systems,https://www.alignmentforum.org/posts/dKxX76SCfCvceJXHv/ai-alignment-2018-19-revi,8,1213,388,11,0,1221,0,0.009,False
EDGE,unconstrained,risk,49380,Existential catastrophe from misaligned AI systems,https://www.alignmentforum.org/posts/5HtDzRAk7ePWsiL2L/open-problems-in-ai-x-ris,7,0,0,0,0,7,0,0.0,False
EDGE,unconstrained,risk,190031,Existential catastrophe from unaligned artificial superintelligence,https://www.lesswrong.com/posts/5GskScdvYXBpL78wL/reply-to-holden-on-the-singula,7,1392,797,247,7,1399,0,0.177,True
EDGE,unconstrained,risk,36618,Inadequate AI safety adoption in AI development organizations,https://www.alignmentforum.org/posts/GPADepj6yP8zqSbJh/an-65-learning-useful-ski,7,63,4,1,0,70,0,0.016,False
EDGE,unconstrained,risk,202118,automated disinformation campaigns using language models in online platforms,https://cset.georgetown.edu/publication/truth-lies-and-automation/,7,17,6,0,0,24,0,0.0,False
EDGE,unconstrained,risk,202618,existential catastrophe from misaligned advanced AI,https://drive.google.com/file/d/10S9GD7IPaauOE4kBHGRnZxsrAkk8Q_S3/view?usp=shari,7,1692,1063,460,46,1699,0,0.272,True
EDGE,unconstrained,risk,139368,Catastrophic AI failure in high-stakes socio-technical systems,https://forum.effectivealtruism.org/posts/FHAAJKTFd92YmaTHc/what-defense-layers-,6,43,1,0,0,49,0,0.0,False
EDGE,unconstrained,risk,106608,Loss of human control from misaligned advanced AI systems,https://intelligence.org/2016/10/20/white-house-submissions-and-report-on-ai-saf,6,642,87,10,1,648,0,0.016,False
EDGE,unconstrained,risk,115169,Catastrophic misalignment of superintelligent AI systems,https://intelligence.org/2016/07/29/2015-in-review/,6,0,0,0,0,6,0,0.0,False
EDGE,unconstrained,risk,8839,Existential catastrophe from misaligned AGI,https://www.alignmentforum.org/posts/SmDziGM9hBjW9DKmf/2019-ai-alignment-literat,6,1443,880,339,73,1449,0,0.235,True
EDGE,unconstrained,risk,222655,misalignment of machine learning systems with human values in real-world deployments,https://www.youtube.com/watch?v=z6atNBhItBs,6,176,33,0,0,182,0,0.0,False
EDGE,unconstrained,risk,26214,Catastrophic AI system failures in real-world deployment,https://www.alignmentforum.org/posts/jdMjzFf7tmT6ofLk9/alignment-newsletter-53,6,332,45,3,0,338,0,0.009,False
