edge_config,mode,node_type,hub_node_id,hub_name,hub_source_url,degree_structural,degree_sim_0.80,degree_sim_0.85,degree_sim_0.90,degree_sim_0.95,degree_total_0.80,n_sources_at_config_thr,sim_ratio_90_80,is_high_thr_hub
EDGE,unconstrained,risk,205938,existential catastrophe from misaligned AI systems,https://docs.google.com/document/d/1PXwjSbh-g1U1JEXhf55C7YsqD5qKNdBPQGgQ7W0Zm1A/,10,1532,967,302,8,1542,1525,0.197,True
EDGE,unconstrained,risk,50735,Existential catastrophe from unaligned transformative AI in global society,https://www.alignmentforum.org/posts/KJRBb43nDxk6mwLcR/ai-doom-from-an-llm-plate,2,0,0,0,0,2,0,0.0,False
EDGE,unconstrained,risk,14242,catastrophic loss of human control from misaligned advanced AI systems,https://www.alignmentforum.org/posts/dKxX76SCfCvceJXHv/ai-alignment-2018-19-revi,8,1179,386,11,0,1187,1176,0.009,False
EDGE,unconstrained,risk,49380,Existential catastrophe from misaligned AI systems,https://www.alignmentforum.org/posts/5HtDzRAk7ePWsiL2L/open-problems-in-ai-x-ris,2,0,0,0,0,2,0,0.0,False
EDGE,unconstrained,risk,190031,Existential catastrophe from unaligned artificial superintelligence,https://www.lesswrong.com/posts/5GskScdvYXBpL78wL/reply-to-holden-on-the-singula,2,1305,764,233,7,1307,1300,0.179,True
EDGE,unconstrained,risk,36618,Inadequate AI safety adoption in AI development organizations,https://www.alignmentforum.org/posts/GPADepj6yP8zqSbJh/an-65-learning-useful-ski,3,59,4,1,0,62,59,0.017,False
EDGE,unconstrained,risk,202118,automated disinformation campaigns using language models in online platforms,https://cset.georgetown.edu/publication/truth-lies-and-automation/,2,16,6,0,0,18,16,0.0,False
EDGE,unconstrained,risk,202618,existential catastrophe from misaligned advanced AI,https://drive.google.com/file/d/10S9GD7IPaauOE4kBHGRnZxsrAkk8Q_S3/view?usp=shari,5,1596,1026,451,46,1601,1587,0.283,True
EDGE,unconstrained,risk,139368,Catastrophic AI failure in high-stakes socio-technical systems,https://forum.effectivealtruism.org/posts/FHAAJKTFd92YmaTHc/what-defense-layers-,2,43,1,0,0,45,43,0.0,False
EDGE,unconstrained,risk,106608,Loss of human control from misaligned advanced AI systems,https://intelligence.org/2016/10/20/white-house-submissions-and-report-on-ai-saf,4,613,85,10,1,617,610,0.016,False
EDGE,unconstrained,risk,115169,Catastrophic misalignment of superintelligent AI systems,https://intelligence.org/2016/07/29/2015-in-review/,1,0,0,0,0,1,0,0.0,False
