layer,cluster_id,final_name,category
L1_risk,0,Out-of-distribution generalization failure,near-term
L1_risk,1,Malicious misuse of frontier AI for large-scale harm,other
L1_risk,2,AI arms race causing unsafe deployment,governance
L1_risk,3,Opaque Transformer Reasoning Undermines Safety Oversight,governance
L1_risk,4,Unsafe and Sample-Inefficient RL Exploration,other
L1_risk,5,Compute and data inefficiency in AI training,other
L1_risk,6,Reward Misspecification and Reward Hacking,near-term
L1_risk,7,Human extinction from misaligned superintelligent AI,x-risk
L1_risk,8,Human-AI Coordination Failure in Shared Environments,near-term
L1_risk,9,Deployed AI Misalignment Causes Societal Harm,x-risk
L1_risk,10,Existential catastrophe from misaligned AI,x-risk
L1_risk,11,Misforecasted AI Timelines Undermining Safety Preparedness,governance
L1_risk,12,Catastrophic risks from misaligned advanced AI,x-risk
L1_risk,13,Unverified or computationally infeasible HCH-style alignment guarantees,other
L1_risk,14,Unsafe AI Decisions in High-Stakes Settings,other
L1_risk,15,Opaque AI decision-making undermines oversight and safety,governance
L1_risk,16,Insufficient AI safety research capacity,governance
L1_risk,17,Adversarial Image Classification Misclassification,near-term
L1_risk,18,Catastrophic Superintelligent AI Misalignment,x-risk
L1_risk,19,Misaligned AI takeover and human disempowerment,x-risk
L1_risk,20,Deceptive alignment and hidden objectives,near-term
L1_risk,21,Catastrophic AI misalignment and loss of control,x-risk
L1_risk,22,Deceptive and Harmful Language Model Outputs,near-term
L1_risk,23,Engagement-Driven Recommendation Manipulates and Polarizes Users,governance
L1_risk,24,Objective Misspecification and Misaligned Optimization,x-risk
L1_risk,25,Misaligned Superintelligent AI Existential Risk,x-risk
L1_risk,26,Misaligned AGI existential catastrophe,x-risk
L1_risk,27,Uncontrolled Recursive Self-Improvement Explosion,x-risk
L1_risk,28,Algorithmic discrimination in high-stakes decisions,near-term
L1_risk,29,AI-driven wealth and power concentration,other
L1_risk,30,Existential catastrophe and human extinction risks,x-risk
L1_risk,31,Undetected unsafe behavior in deployed AI systems,near-term
L1_risk,32,AI shutdown resistance and control loss,governance
L1_risk,33,AI-driven personal data privacy breaches,near-term
L1_risk,34,Instrumental power-seeking by advanced AI agents,x-risk
L1_risk,35,Advanced AI value misalignment risk,x-risk
L1_risk,36,Unreliable and costly RL alignment transfer,other
L1_risk,37,AI-driven labor displacement and socioeconomic instability,other
L1_risk,38,Catastrophic AGI Misalignment Risk,x-risk
L1_risk,39,Bias-Driven Progress Distortion and Stagnation,governance
L2_chain,0,Funding and training to build AI safety capacity,field-building
L2_chain,1,Funding and consensus-building for AI safety capacity,field-building
L2_chain,2,AI safety research funding and capacity building,field-building
L2_chain,3,Robust reward learning and specification gaming,technical alignment
L2_chain,4,Corrigible transparency and secure oversight mechanisms,oversight & governance
L2_chain,5,Human feedback loops for objective alignment,technical alignment
L2_chain,6,Adversarial robustness through PGD training,near-term safety
L2_chain,7,Expanding AI safety research and implementation capacity,other
L2_chain,8,Grant-funded AI safety talent pipeline,field-building
