cluster_id,cluster_name,top_node,dominant_category,n_nodes,n_sources,edge_purity,notes
25,Value misalignment in advanced AI systems,Value misalignment in advanced AI systems,"{'risk': 278, 'problem analysis': 257, 'theoretical insight'",4446,1372,,n_paths=24202
11,reinforcement learning from human feedback aligns outputs wi,reinforcement learning from human feedback aligns outputs wi,"{'risk': 265, 'problem analysis': 237, 'implementation mecha",4196,1258,,n_paths=23113
0,Reward hacking in reinforcement learning agents,Reward hacking in reinforcement learning agents,"{'risk': 276, 'problem analysis': 237, 'design rationale': 1",3880,1157,,n_paths=22405
32,Value misalignment in advanced AI systems,Value misalignment in advanced AI systems,"{'risk': 303, 'problem analysis': 246, 'design rationale': 1",4240,1338,,n_paths=21361
6,Adversarial perturbation vulnerability in AI models,Adversarial perturbation vulnerability in AI models,"{'risk': 328, 'problem analysis': 282, 'theoretical insight'",2573,982,,n_paths=20193
8,catastrophic misalignment of advanced AI systems in real-wor,catastrophic misalignment of advanced AI systems in real-wor,"{'risk': 284, 'problem analysis': 246, 'implementation mecha",3807,1175,,n_paths=19786
20,catastrophic misalignment of advanced AI systems in real-wor,catastrophic misalignment of advanced AI systems in real-wor,"{'risk': 366, 'problem analysis': 265, 'theoretical insight'",2907,1137,,n_paths=18218
10,Insufficient talent pipeline for AI safety research,Insufficient talent pipeline for AI safety research,"{'risk': 285, 'problem analysis': 237, 'implementation mecha",3640,1104,,n_paths=18120
18,Catastrophic misalignment of advanced AI systems,Catastrophic misalignment of advanced AI systems,"{'risk': 285, 'problem analysis': 236, 'implementation mecha",4443,1343,,n_paths=17296
3,Human feedback can steer AI towards desired behavior,Human feedback can steer AI towards desired behavior,"{'risk': 324, 'problem analysis': 269, 'theoretical insight'",2660,996,,n_paths=14518
31,Insufficient talent pipeline for AI safety research,Insufficient talent pipeline for AI safety research,"{'risk': 411, 'problem analysis': 294, 'theoretical insight'",1961,875,,n_paths=14014
5,Unsafe exploration causing catastrophic outcomes in reinforc,Unsafe exploration causing catastrophic outcomes in reinforc,"{'risk': 283, 'problem analysis': 275, 'theoretical insight'",2382,778,,n_paths=13959
30,Export controls on compute to limit proliferation of advance,Export controls on compute to limit proliferation of advance,"{'risk': 264, 'problem analysis': 239, 'implementation mecha",3012,934,,n_paths=12124
28,Mechanistic interpretability to uncover and audit model inte,Mechanistic interpretability to uncover and audit model inte,"{'risk': 240, 'problem analysis': 234, 'theoretical insight'",3790,1073,,n_paths=12026
37,Advanced AI misalignment causing existential catastrophe,Advanced AI misalignment causing existential catastrophe,"{'risk': 299, 'problem analysis': 255, 'theoretical insight'",3335,1122,,n_paths=11855
14,Opaque decision-making in deep neural networks deployed in s,Opaque decision-making in deep neural networks deployed in s,"{'risk': 246, 'problem analysis': 243, 'implementation mecha",3780,1061,,n_paths=11699
23,High uncertainty in AI progress forecasting,High uncertainty in AI progress forecasting,"{'risk': 277, 'problem analysis': 256, 'theoretical insight'",3406,1043,,n_paths=11488
21,Catastrophic misalignment of advanced AI systems,Catastrophic misalignment of advanced AI systems,"{'risk': 403, 'problem analysis': 292, 'theoretical insight'",2469,1047,,n_paths=10827
19,Catastrophic misalignment of advanced AI systems with human ,Catastrophic misalignment of advanced AI systems with human ,"{'risk': 541, 'problem analysis': 318, 'theoretical insight'",1534,878,,n_paths=10566
2,Existential catastrophe from misaligned AI systems in real-w,Existential catastrophe from misaligned AI systems in real-w,"{'risk': 383, 'problem analysis': 298, 'theoretical insight'",2194,924,,n_paths=10501
13,Insufficient capacity for AI safety research and implementat,Insufficient capacity for AI safety research and implementat,"{'problem analysis': 234, 'risk': 220, 'implementation mecha",3442,923,,n_paths=9561
7,Insufficient alignment research capacity increasing AI exist,Insufficient alignment research capacity increasing AI exist,"{'risk': 362, 'problem analysis': 296, 'theoretical insight'",2092,835,,n_paths=7818
16,Insufficient AI alignment expertise among aspiring researche,Insufficient AI alignment expertise among aspiring researche,"{'risk': 474, 'problem analysis': 337, 'theoretical insight'",1440,763,,n_paths=7530
26,Unaligned superintelligent AI causing existential catastroph,Unaligned superintelligent AI causing existential catastroph,"{'risk': 425, 'problem analysis': 363, 'theoretical insight'",1292,627,,n_paths=7457
39,Lack of technical alignment research capacity,Lack of technical alignment research capacity,"{'risk': 466, 'problem analysis': 355, 'theoretical insight'",1299,686,,n_paths=7321
1,Transformative misalignment in advanced AI systems,Transformative misalignment in advanced AI systems,"{'risk': 327, 'problem analysis': 277, 'theoretical insight'",2666,972,,n_paths=7056
38,insufficient understanding of AI existential risks among pub,insufficient understanding of AI existential risks among pub,"{'risk': 408, 'problem analysis': 336, 'theoretical insight'",1529,690,,n_paths=6937
34,Limited funding for AI safety organizations,Limited funding for AI safety organizations,"{'risk': 456, 'problem analysis': 349, 'theoretical insight'",1415,719,,n_paths=6398
27,Penalizing reductions in attainable utilities to limit agent,Penalizing reductions in attainable utilities to limit agent,"{'risk': 307, 'problem analysis': 289, 'theoretical insight'",2489,875,,n_paths=5896
12,Inadequate AI safety research capacity for mitigating existe,Inadequate AI safety research capacity for mitigating existe,"{'problem analysis': 239, 'risk': 233, 'theoretical insight'",2838,743,,n_paths=5870
4,Unaligned advanced AI systems causing existential risk,Unaligned advanced AI systems causing existential risk,"{'risk': 481, 'problem analysis': 343, 'theoretical insight'",1185,639,,n_paths=5720
22,Insufficient skilled AI alignment researchers in global work,Insufficient skilled AI alignment researchers in global work,"{'risk': 404, 'problem analysis': 314, 'theoretical insight'",788,466,,n_paths=5715
9,Power-seeking behavior in advanced AI systems,Power-seeking behavior in advanced AI systems,"{'risk': 278, 'problem analysis': 268, 'theoretical insight'",2929,943,,n_paths=5642
33,unintended side effects in complex RL environments,unintended side effects in complex RL environments,"{'risk': 271, 'problem analysis': 263, 'theoretical insight'",2883,910,,n_paths=4526
35,Scarce early-career intensive AI safety education opportunit,Scarce early-career intensive AI safety education opportunit,"{'risk': 485, 'problem analysis': 370, 'theoretical insight'",1165,633,,n_paths=4160
24,Reward misspecification and hacking in AI training,Reward misspecification and hacking in AI training,"{'risk': 413, 'problem analysis': 359, 'theoretical insight'",1225,590,,n_paths=4146
29,Insufficient funding for AI alignment research in advanced A,Insufficient funding for AI alignment research in advanced A,"{'risk': 479, 'problem analysis': 354, 'theoretical insight'",1202,652,,n_paths=3917
15,Opaque algorithm scaling across core capabilities in reinfor,Opaque algorithm scaling across core capabilities in reinfor,"{'problem analysis': 202, 'implementation mechanism': 200, '",8143,1300,,n_paths=3122
36,Power-seeking instrumental convergence in AGI agents,Power-seeking instrumental convergence in AGI agents,"{'problem analysis': 276, 'risk': 263, 'theoretical insight'",2835,900,,n_paths=3014
17,Insufficient implementation of high-impact AI safety interve,Insufficient implementation of high-impact AI safety interve,"{'problem analysis': 352, 'risk': 346, 'theoretical insight'",912,412,,n_paths=2612
