subtype,cluster_id,prefix_key,rep_name,top3_names,n_members,n_vpn_members,closest3_names,farthest3_names,centroid_sim_min,centroid_sim_max
problem_analysis,16,pr:16,Unstructured exploration preventing reward discovery in sparse environments,Unstructured exploration preventing reward discovery in sparse environments | Hard exploration tasks limit agent learning | Random exploration's inability to reach sparse reward signals in RL,109,109,Unstructured exploration preventing reward discovery in sparse environments | Hard exploration tasks limit agent learning | Random exploration's inability to reach sparse reward signals in RL,hyperbolic discounting preference function in agent evaluation | habituation-induced motivation decay in repeated tasks | Single expected return signal provides limited supervised information,0.4825,0.8503
problem_analysis,18,pr:18,Lack of reliable human evaluation for complex tasks during training,Lack of reliable human evaluation for complex tasks during training | Scalability limits of human oversight in advanced system evaluation | Limited human evaluation bandwidth for complex model outputs,87,87,Lack of reliable human evaluation for complex tasks during training | Scalability limits of human oversight in advanced system evaluation | Limited human evaluation bandwidth for complex model outputs,Hand-drawn slide annotations persisting after digitization in pathology workflow | Low comprehension in take-home reading group formats | Vendor-specific DICOM tag variability causing ingestion errors,0.438,0.8326
problem_analysis,5,pr:5,Lack of robust AI safety measures in development pipelines,Lack of robust AI safety measures in development pipelines | Insufficient safety evaluation prior to AI deployment | Lack of rigorous pre-deployment evaluation of AI systems,112,112,Lack of robust AI safety measures in development pipelines | Insufficient safety evaluation prior to AI deployment | Lack of rigorous pre-deployment evaluation of AI systems,Sensitive app permissions widely requested by free apps | Regulatory barriers to monetary impact certificate markets on Earth | High cost and complexity of obtaining SSL certificates for websites,0.4565,0.8286
problem_analysis,9,pr:9,Instrumental convergence drives power-seeking behavior in advanced AI,Instrumental convergence drives power-seeking behavior in advanced AI | Instrumental convergence power-seeking in advanced AI | Power-seeking instrumental convergence in advanced AI systems,142,142,Instrumental convergence drives power-seeking behavior in advanced AI | Instrumental convergence power-seeking in advanced AI | Power-seeking instrumental convergence in advanced AI systems,Permanent disempowerment of humanity by APS systems | Corruption of WBE due to concentration of power | Incentive to control or disable suspend button embedded in objective function,0.4813,0.9513
problem_analysis,3,pr:3,Opaque AI decision processes limiting oversight,Opaque AI decision processes limiting oversight | Opacity of AI decision-making for stakeholders | Opacity of AI internal logic to lay users,99,99,Opaque AI decision processes limiting oversight | Opacity of AI decision-making for stakeholders | Opacity of AI internal logic to lay users,Chronological frontpage sorting obscuring valuable older posts | Variation in media source trustworthiness affects awareness change | high communication cost in decentralized commitment negotiation,0.4092,0.8941
problem_analysis,7,pr:7,Objective misspecification leading to unintended optimization in advanced AI systems,Objective misspecification leading to unintended optimization in advanced AI sys | Optimization of proxy objectives in machine learning training | reward function misspecification in advanced AI,140,140,Objective misspecification leading to unintended optimization in advanced AI systems | Optimization of proxy objectives in machine learning training | reward function misspecification in advanced AI,Incivility and partisan identity attacks in online content increase polarization | DPS-centric optimization in WoW raiding | Repeated on-the-fly zero-cost proxy evaluation in NAS pipelines,0.44,0.8691
problem_analysis,23,pr:23,Inner misalignment creating deceptive goal optimizers,Inner misalignment creating deceptive goal optimizers | Inner misalignment generating deceptive mesa-optimizers | Inner objective misalignment in learned optimizers,52,52,Inner misalignment creating deceptive goal optimizers | Inner misalignment generating deceptive mesa-optimizers | Inner objective misalignment in learned optimizers,Outer algorithm as lead designer producing illegible models | Nested inner-outer optimization in meta-RL training increases computational overhead | emergence of internal learning algorithms in meta-learning architectures,0.6217,0.9382
problem_analysis,1,pr:1,correlated sequential data violating iid gradient assumptions in deep RL,correlated sequential data violating iid gradient assumptions in deep RL | gradient norm disparity across tasks in multi-prediction RL | High variance gradients during PPO optimization,124,124,correlated sequential data violating iid gradient assumptions in deep RL | gradient norm disparity across tasks in multi-prediction RL | High variance gradients during PPO optimization,Limited information propagation per ASNet layer | Insufficient Hessian lower bounds relative to chosen norm | Information hiding between layers restricts cross-layer optimization,0.5049,0.7746
problem_analysis,6,pr:6,insufficient AI safety research and implementation capacity,insufficient AI safety research and implementation capacity | Inadequate AI safety researcher capacity globally | Limited research talent focused on AI safety,295,295,insufficient AI safety research and implementation capacity | Inadequate AI safety researcher capacity globally | Limited research talent focused on AI safety,cellular senescence from telomere shortening in human somatic cells | Cost barriers for pharmaceutical enhancers versus time cost of behavioral strategies | Demographic cliff reducing South Korean ground forces,0.358,0.9087
problem_analysis,19,pr:19,Reward mis-specification inducing unintended optimization in RL systems,Reward mis-specification inducing unintended optimization in RL systems | Reward misspecification in reinforcement learning agents | Reward function misspecification causing unintended behavior in RL agents,186,186,Reward mis-specification inducing unintended optimization in RL systems | Reward misspecification in reinforcement learning agents | Reward function misspecification causing unintended behavior in RL agents,trade-off between prediction accuracy and entropy minimisation in oracle incentives | Presence of HBL strategies in empirical equilibria enabling a spoofable market | oscillations and overshoot from integral-only Lagrange multiplier updates in constrained reinforcement learning,0.5266,0.9274
