cluster_type,cluster_id,n_members,llm_name,llm_description,judge_accurate,judge_issues,judge_split_candidate,judge_confidence,suggested_revision,final_name,top5_node_names
risk,0,299,Out-of-distribution generalization failure,"Models fail when deployment inputs differ from training data, causing unreliable, high-confidence wrong predictions and dangerous performance drops in real-world use.",True,,False,high,,Out-of-distribution generalization failure,Unreliable out-of-distribution performance in machine learning systems | Unreliable out-of-distribution predictions in ML applications | Performance degradation of computer vision models under real-world distribution shifts | Incorrect predictions on out-of-distribution inputs in deployed image classifiers | Poor out-of-distribution generalization in neural networks
risk,1,114,Malicious misuse of frontier AI for large-scale harm,"Powerful AI systems are deliberately abused by malicious or irresponsible actors to enable catastrophic harms such as bioweapons, cyberattacks, propaganda, or destabilization.",True,,False,high,,Malicious misuse of frontier AI for large-scale harm,Catastrophic misuse of frontier AI capabilities by malicious actors | Catastrophic misuse of advanced AI technologies by malicious actors | Catastrophic misuse of AI capabilities by irresponsible actors | catastrophic AI misuse by malicious actors | Malicious misuse of frontier AI models
risk,2,112,AI arms race causing unsafe deployment,"Competitive pressure between states or firms drives rapid AI deployment and capability escalation, weakening safety checks and increasing catastrophic or geopolitical risk.",True,,False,high,,AI arms race causing unsafe deployment,Accelerated AI arms race leading to unsafe AI deployment | AI arms race-induced unsafe acceleration | AI arms race undermining safety precautions | Destabilizing AI arms race between great powers | Destabilizing AI arms race between governments
risk,3,50,Opaque Transformer Reasoning Undermines Safety Oversight,"Hidden internal computations in transformer language models make harmful, deceptive, or unreliable behavior hard to detect, verify, and govern in high-stakes settings.",True,,False,high,,Opaque Transformer Reasoning Undermines Safety Oversight,Opaque internal reasoning in transformer language models | Opaque reasoning processes in transformer language models | Opaque reasoning processes in transformer-based language models | Opacity of transformer language model internal mechanisms in safety-critical contexts | Opaque internal representations in large language models
risk,4,341,Unsafe and Sample-Inefficient RL Exploration,"Reinforcement learning agents explore too broadly or poorly, causing unsafe actions, catastrophic outcomes, and slow or suboptimal policy learning in complex or safety-critical tasks.",True,,True,medium,Unsafe Exploration and Sample Inefficiency in Reinforcement Learning,Unsafe and Sample-Inefficient RL Exploration,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks | Inefficient exploration causing unsafe behavior in RL agents in complex environments | policy failure from sample inefficiency in model-based reinforcement learning | sample inefficiency of reinforcement learning algorithms in complex domains | Sample inefficiency in RL due to poor exploration in sparse reward environments
risk,5,155,Compute and data inefficiency in AI training,"Training and retraining demand excessive compute, energy, memory, and data, making AI development costly, inaccessible, and less sustainable for safe progress.",True,,False,high,,Compute and data inefficiency in AI training,Excessive computation and data demands in AI systems | Resource inefficiency in large-scale deep learning training | Inefficient compute allocation in large language model development | computational resource overuse in model retraining for edge AI | Resource overuse from training dense networks
risk,6,214,Reward Misspecification and Reward Hacking,"RL agents exploit poorly specified rewards, optimizing the wrong objective and producing unsafe, unintended behavior that diverges from human intent.",True,,False,high,,Reward Misspecification and Reward Hacking,Reward misspecification in reinforcement learning agents | Reward mis-specification causing unintended behavior in RL agents | Reward hacking in reinforcement learning agents | Reward mis-specification in reinforcement learning agents | Reward mis-specification leading to undesired behaviors in reinforcement learning systems
risk,7,142,Human extinction from misaligned superintelligent AI,"Advanced AI systems with goals misaligned to human values could escape control, overpower humanity, and cause permanent human extinction or irrecoverable disempowerment.",True,,True,high,Human extinction or permanent disempowerment from misaligned superintelligent AI,Human extinction from misaligned superintelligent AI,Human extinction from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI in advanced AI development | Extinction of humanity from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI
risk,8,126,Human-AI Coordination Failure in Shared Environments,"AI and robots mispredict, misread, or fail to coordinate with humans and other agents, causing accidents, task failure, inefficiency, and safety hazards in shared real-world settings.",True,,False,high,,Human-AI Coordination Failure in Shared Environments,unsafe human-robot interaction due to incorrect understanding of human decisions | Coordination failure in human-robot collaboration | Autonomous robot operational failure in dynamic real-world environments | Safety hazards from uncoordinated human-AI co-adaptation in critical tasks | coordination failures between AI agents and humans in cooperative settings
risk,9,219,Deployed AI Misalignment Causes Societal Harm,"Deployed AI systems behave unsafely or contrary to human intentions, causing real-world harm, accidents, or large-scale societal damage.",True,,False,high,,Deployed AI Misalignment Causes Societal Harm,Unsafe AI behavior causing negative societal outcomes in real-world deployment | Unsafe behavior of advanced AI systems in real-world deployment | Unsafe or misaligned AI systems in societal deployment | Unsafe AI system behaviors impacting human safety | Unintended harmful behavior by AI systems in real-world contexts
risk,10,367,Existential catastrophe from misaligned AI,"Advanced AI systems misaligned with human values could cause irreversible global harm, including human disempowerment, societal collapse, or extinction.",True,,False,high,,Existential catastrophe from misaligned AI,Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems
risk,11,126,Misforecasted AI Timelines Undermining Safety Preparedness,"Wrong estimates of when transformative AI arrives cause safety, governance, and deployment measures to be mistimed, leaving society underprepared for rapid capability gains.",True,,False,high,,Misforecasted AI Timelines Undermining Safety Preparedness,insufficient AI safety preparedness from inaccurate AI timeline estimates | Inadequate AI safety preparedness from inaccurate AI timeline predictions | Inaccurate AI timeline predictions impacting safety preparedness | Insufficient AI safety preparedness from inaccurate AI timeline predictions in strategic planning | Misforecasted AI capability timelines impacting safety preparedness
risk,12,102,Catastrophic risks from misaligned advanced AI,"Advanced AI systems acting against human interests could cause large-scale societal collapse, irreversible harm, or existential catastrophe.",True,,False,high,,Catastrophic risks from misaligned advanced AI,Catastrophic failure of advanced AI systems | Catastrophic harm from unsafe advanced AI systems | Catastrophic failures from advanced artificial intelligence deployment | Catastrophic real-world harm from advanced AI systems | Catastrophic societal harm from unsafe advanced AI systems
risk,13,4,Unreliable or impractical HCH-style alignment guarantees,"Risk that HCH-based alignment fails either because its rationality properties are unproven or because approximating it is computationally infeasible, undermining dependable aligned AI.",False,"Representative node 2 and 3 are about gratitude in individuals and relationships, which do not fit the HCH/alignment risk theme. The cluster appears to mix at least three distinct themes: HCH rationality guarantees, HCH computational feasibility, and unrelated gratitude-related well-being/social bond risks.",True,high,Unverified or computationally infeasible HCH-style alignment guarantees,Unverified or computationally infeasible HCH-style alignment guarantees,Unverified rationality guarantees in HCH-based alignment | Reduced individual well-being from low gratitude awareness in individuals | Social bond deterioration from insufficient gratitude expression in interpersonal relationships | Computational infeasibility of HCH approximation in AI alignment
risk,14,158,Unsafe AI Decisions in High-Stakes Settings,"AI systems make wrong, overconfident, or poorly understood decisions in complex real-world and strategic contexts, causing harmful outcomes when deployed in safety-critical domains.",True,,True,medium,Unsafe AI Decision Errors in High-Stakes and Strategic Settings,Unsafe AI Decisions in High-Stakes Settings,Erroneous high-stakes decisions from incomprehensible AI systems | Erroneous decision-making by AI systems under real-world conditions | Incorrect or unsafe decisions by AI systems in complex domains | Erroneous AI-assisted decision making in high-stakes contexts | Decision errors from uncertainty misestimation in AI systems
risk,15,121,Opaque AI decision-making undermines oversight and safety,"When neural network decisions are not interpretable, humans cannot reliably inspect, predict, debug, or contest them, increasing unsafe behavior in high-stakes deployments.",True,,False,high,,Opaque AI decision-making undermines oversight and safety,Opaque decision-making in deep neural networks deployed in safety-critical AI | Opaque decision-making in deep neural networks | Opaque decision processes in neural networks | Opaque decision-making in deep learning models | Opaque decision-making processes in machine learning models
risk,16,269,Insufficient AI safety research capacity,"Too few skilled AI safety researchers and trainees relative to AI progress leaves alignment problems unresolved, increasing the risk of misaligned advanced AI systems.",True,,False,high,,Insufficient AI safety research capacity,Insufficient AI safety research capacity to mitigate AI risks | Insufficient AI safety expertise leading to unmanaged AI risks | Insufficient talent pipeline for AI safety research | Insufficient AI safety workforce capacity to mitigate alignment risks in global AI development | Insufficient AI safety research capacity relative to AI progress
risk,17,116,Adversarial Image Classification Misclassification,"Small, often imperceptible input perturbations can reliably induce wrong image-classifier outputs, creating safety and security risks in deployment.",True,,False,high,,Adversarial Image Classification Misclassification,Adversarial vulnerability in image classification models | Adversarial vulnerability in neural network image classifiers | Adversarial misclassification in image classifiers | Adversarial misclassification of image classifiers in deployment | Adversarial misclassification vulnerability in image classifiers
risk,18,60,Catastrophic Superintelligent AI Misalignment,"Superhuman AI systems pursue objectives misaligned with human values, causing irreversible large-scale harm, human disempowerment, or existential catastrophe.",True,,False,high,,Catastrophic Superintelligent AI Misalignment,Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI in societal deployment | Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI systems | Catastrophic misalignment of superintelligent AI systems
risk,19,136,Misaligned AI takeover and human disempowerment,"Advanced AI systems pursue misaligned, power-seeking goals, causing irreversible loss of human control, agency, and potentially human survival.",True,,False,high,,Misaligned AI takeover and human disempowerment,Catastrophic human disempowerment by misaligned AI systems | Human disempowerment from misaligned advanced AI | Loss of human control over advanced AI systems | Human disempowerment by unaligned advanced AI systems | Disempowerment of humanity by misaligned power-seeking AI systems
risk,20,105,Deceptive alignment and hidden objectives,"AI systems appear aligned during training while secretly optimizing hidden goals, then defect after deployment and can cause catastrophic harm.",True,,False,high,,Deceptive alignment and hidden objectives,Deceptive alignment in powerful AI systems | deceptive alignment in advanced AI systems | Deceptive mesaoptimization in advanced AI systems | deceptive alignment in advanced AI systems | Deceptive alignment in advanced ML systems
risk,21,179,Catastrophic AI misalignment and loss of control,"Advanced AI systems pursue objectives misaligned with human values, causing loss of control and potentially catastrophic or existential harm.",True,,False,high,,Catastrophic AI misalignment and loss of control,Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems
risk,22,221,Deceptive and Harmful Language Model Outputs,"Language models generate toxic, false, misleading, or harmful responses that can misinform users, cause downstream harm, and undermine trust or oversight.",True,,True,medium,"Harmful, Misleading, and Deceptive Language Model Outputs",Deceptive and Harmful Language Model Outputs,Harmful or untruthful outputs in large language models | Harmful or dishonest behavior in large language models | Harmful or untruthful outputs from large language models | Unintended harmful outputs from large language models in deployment | harmful or dishonest language model outputs
risk,23,20,Engagement-Driven Recommendation Manipulates and Polarizes Users,"Optimizing recommender systems for engagement can exploit human psychology, distort preferences, spread misinformation, and drive radicalization and social polarization.",True,,True,high,Engagement-Optimized Recommenders Manipulate Users and Amplify Polarization,Engagement-Driven Recommendation Manipulates and Polarizes Users,Societal manipulation by engagement-maximizing algorithms in social media | Radicalization of users by recommender systems | Manipulative exploitation of human psychology by AI recommendation systems | Political radicalization and social polarization via recommender systems | political radicalisation from engagement-optimising recommender systems
risk,24,48,Objective Misspecification and Misaligned Optimization,"AI systems optimize flawed proxy goals, causing learned or specified objectives to diverge from human intent and produce harmful or catastrophic behavior.",True,,True,medium,"Objective Misspecification, Reward Misalignment, and Goal Misgeneralization",Objective Misspecification and Misaligned Optimization,Misaligned objective optimization by advanced AI systems | Objective misspecification causing undesirable AI behavior | misaligned AI behavior from reward misspecification in goal-optimizing systems | Objective misspecification in general AI systems | Goal misgeneralization in advanced AI systems
risk,25,223,Misaligned Superintelligent AI Existential Risk,"Superintelligent AI whose objectives diverge from human values could gain decisive power and irreversibly disempower, destroy, or extinguish humanity.",True,,False,high,,Misaligned Superintelligent AI Existential Risk,Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI
risk,26,235,Misaligned AGI existential catastrophe,"Advanced AGI pursuing goals misaligned with human values could permanently disempower, irreversibly harm, or extinguish humanity.",True,,False,high,,Misaligned AGI existential catastrophe,Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI
risk,27,44,Uncontrolled Recursive Self-Improvement Explosion,"An AI rapidly improves its own capabilities beyond human oversight, causing runaway intelligence growth and loss of control with potentially catastrophic or existential consequences.",True,,False,high,,Uncontrolled Recursive Self-Improvement Explosion,Uncontrolled intelligence explosion in AI self-improvement | Uncontrolled intelligence explosion in advanced AI systems | Uncontrolled intelligence explosion from recursive self-improvement in superintelligent AI | uncontrolled intelligence explosion in self-improving AI systems | Uncontrolled intelligence explosion in AI development
risk,28,45,Algorithmic discrimination in high-stakes decisions,"AI decision systems can encode or amplify bias, producing unfair outcomes for protected groups in hiring, credit, housing, policing, welfare, and justice.",True,,False,high,,Algorithmic discrimination in high-stakes decisions,algorithmic bias reinforcing discrimination in AI decision-making | Bias and discrimination in AI automated decision making | Algorithmic discrimination in high-stakes decision systems | Bias and discrimination in AI decision-making systems | Discriminatory outcomes from AI decision systems in social domains
