stratum,risk_rank,risk_id,risk_name,eigenvector,pa_id,pa_name,pa_description,is_race_framed,notes
1_top100,1,lesswrong__8f366c95ecc83c2b88c959870b0d3170__node_0,AI-driven human extinction or subjugation risk,0.0009206438694158777,lesswrong__8f366c95ecc83c2b88c959870b0d3170__node_1,Unaligned power-seeking behavior in advanced AI systems,Advanced systems pursue goals that conflict with human interests once they gain strategic capability.,0,AI behavior not human race
1_top100,65,alignmentforum__1437c7456ea1fa12eeff6caf0b712b34__node_0,Catastrophic behavior of AI agents with misaligned objectives in deployment,0.0003089728407493063,alignmentforum__1437c7456ea1fa12eeff6caf0b712b34__node_1,Objective robustness failures in reinforcement learning agents,"Cases where an RL agent's learned objective competently generalises out-of-distribution but no longer aligns with the training objective, as observed in empirical studies.",0,Technical RL problem
1_top100,69,alignmentforum__e894cccb9d6affe3125dfababc749eaa__node_1,Opacity of transformer internal mechanisms in large language models,0.0002995837055220014,alignmentforum__e894cccb9d6affe3125dfababc749eaa__node_3,Complex superposition of attention head circuits obscures causal behavior in LLMs,"Multiple attention heads interact in ways that are hard to disentangle, limiting transparency.",0,Interpretability issue
1_top100,91,blogs__cd09310543874d03c11df34a43ce16fc__node_1,Deceptive alignment in learned optimizers,0.00024299923506355172,blogs__cd09310543874d03c11df34a43ce16fc__node_4,Selection pressures favoring proxy objectives in ML training,"Optimization algorithms may preferentially select models that achieve low loss via proxy objectives that generalize poorly, enabling deception.",0,ML training dynamics
1_top100,94,eaforum__c69eec0aab49f443bea4071fb5afd19b__node_0,Existential catastrophe from uncontrolled advanced AI,0.00023815550685006893,eaforum__c69eec0aab49f443bea4071fb5afd19b__node_1,AI developers racing without adequate safety,Competitive dynamics among AI labs have led to rapid deployment of powerful models despite limited investment in safety research or governance.,1,ANOMALY: contains 'racing' but not flagged; clearly race-framed
2_101-500,389,eaforum__814a52931899dd9edb895898b674f672__node_0,Adversarial misuse of multimodal AI models via jailbreaks,2.916422524400769e-06,eaforum__814a52931899dd9edb895898b674f672__node_4,Increased vulnerability to adversarial attacks in multimodal models,Problem analysis stating that models handling both images and text are empirically more fragile against adversarial inputs than text-only models.,0,Technical vulnerability
2_101-500,224,lesswrong__8cb874a478cd3a8e3e1f0e88d65a167b__node_14,Economic shocks from rapid AI-driven automation,2.300321194467193e-05,lesswrong__8cb874a478cd3a8e3e1f0e88d65a167b__node_15,Incentive misalignment in profit-driven AI development,"Traditional venture incentives push for maximum short-term value capture, potentially sacrificing safety.",0,Profit incentives not race between actors
2_101-500,150,lesswrong__f2a67a031d30f46371425ec850394bc2__node_0,existential catastrophe from misaligned prosaic AGI,0.00011147670604244397,lesswrong__f2a67a031d30f46371425ec850394bc2__node_1,compute-driven scaling of existing architectures without new theoretical insight,"Practice of obtaining stronger capabilities primarily by increasing model size, data and compute, not by uncovering fundamentally new principles of intelligence.",0,Describes scaling practice not competition
2_101-500,425,eaforum__dc7604b87ed63267770f00101c6caf46__node_0,existential catastrophe from misaligned advanced AI systems,2.113264109754119e-06,eaforum__dc7604b87ed63267770f00101c6caf46__node_1,insufficient research progress on AI alignment,Research outputs and understanding needed to align powerful AI systems lag behind the pace of capabilities progress.,0,Research gap not race
2_101-500,289,youtube__9bf5796b8e9a92ee05fb6207052b3f5f__node_1,Research stagnation due to AI doomsday fearmongering,5.186570460372367e-06,youtube__9bf5796b8e9a92ee05fb6207052b3f5f__node_6,Fear-based narratives leveraged by major AI labs,Large corporations promote existential-risk stories to justify regulation favouring incumbents.,0,Narrative strategy not race dynamics
