cluster_id,n_nodes,n_sources,centroid_sim_mean,top5_names
4,184,183,0.9126,Existential catastrophe from misaligned advanced AI | Existential catastrophe from unaligned superintelligent AI | Existential catastrophe from misaligned AGI systems | Catastrophic misalignment of advanced AI systems | Existential catastrophe from misaligned advanced AI in globa
10,141,119,0.5931,Inconsistent and self-defeating decision-making in high-stak | Opacity undermining accountability of recommender impacts | Incorrect policy decisions due to biased observational causa | Confounded performance evaluation in ad placement engines | Suboptimal team performance in collaborative tasks
0,128,112,0.6975,Excessive computation and data demands in AI systems | Resource inefficiency in large-scale deep learning training | Inefficient compute allocation in large language model devel | computational resource overuse in model retraining for edge  | Compute inefficiency in large language model training
5,122,110,0.745,Inadequate AI safety adoption in AI development organization | Inadequate AI safety policy allowing misaligned AI deploymen | Unmanaged AI development due to policy lag | Inadequate AI safety preparedness from inaccurate AI timelin | Policy missteps due to inaccurate AI timeline predictions
24,110,100,0.6887,Unreliable classifier predictions in high-stakes application | Unsafe ML system decision-making from image misclassificatio | misclassification harm in safety-critical AI applications | Image misclassification under common corruptions in computer | Misclassification of visual inputs in safety-critic
3,109,100,0.7778,Unsafe exploration causing catastrophic outcomes in reinforc | Catastrophic outcomes from unsafe exploration in reinforceme | Ineffective or unsafe behavior in reinforcement learning age | Safety violations during exploration in reinforcement learni | Unsafe exploration in reinforcement learning age
17,104,94,0.703,misprediction of human decisions in one-shot strategic inter | Decision errors from uncertainty misestimation in AI systems | Inaccurate prediction of human preferences by AI systems | Irrational behavior from resource-limited AI agents in compl | Incorrect Bayesian reasoning in AI system developmen
2,100,92,0.704,Deceptive power-seeking behavior in advanced AI systems | Power-seeking misalignment in deployed AI agents | treacherous turn in advanced AI systems | Deceptive behavior in large-scale AI systems during AGI deve | Undetected deceptive alignment in advanced AI systems
11,100,88,0.7616,Suboptimal policy learning in sparse reward RL tasks | policy failure from sample inefficiency in model-based reinf | Learning failure in sparse reward partially observable RL ta | Poor generalization of RL agents to new downstream tasks in  | policy suboptimality due to insufficient exploration in 
20,95,78,0.6915,Poor robustness and generalization in pre-trained language m | Performance failures of language models on real-world few-sh | poor long-range dependency handling in language models | Loss of long-term dependencies in sequence modeling tasks | Poor transferability of general NLP models to specialized
1,84,73,0.7197,Cybersecurity compromise of AI systems | Model misuse due to unrestricted access to powerful AI syste | Unauthorized acquisition of advanced AI model weights | Proliferation of harmful AI capabilities via open-source fin | Malicious insider exfiltration of advanced AI systems
9,76,72,0.7856,Hallucinated factual claims in LLM conversational responses | Reasoning errors and hallucinations in large language model  | false factual statements from large language models in deplo | Untruthful outputs by large language models in user interact | Truthfulness errors in language model outputs
15,74,70,0.7193,Undetected specification violations in neural networks deplo | Unreliable predictions by deep neural networks in deployment | Subtle errors in AI-generated content escaping human detecti | Unreliable deployment behavior of ML models due to underspec | Undetected failure modes of neural networks in s
18,74,71,0.779,Existential catastrophe from misuse of advanced AI by multip | Accidental or malicious misuse of advanced AI capabilities | existential catastrophe from AI misuse by bad actors | Extinction-level misuse of advanced AI by malicious actors | Malicious misuse of advanced AI technologies
6,74,62,0.7431,training instability in deep reinforcement learning with neu | training instability and value divergence in deep reinforcem | Unstable learning dynamics in value-based reinforcement lear | Unstable or inefficient model optimization in large-scale ma | divergent optimization dynamics in machine learn
12,70,68,0.8144,Value misalignment in advanced AI systems | Objective misalignment in advanced AI systems | objective misalignment in advanced AI systems | Value misalignment of autonomous agents in real-world tasks | Objective misalignment leading to loss of human control in a
