risk_cid,bfamily_id,n_paths_r2c,interv_cid,n_paths_c2i,n_triplet_paths,risk_name,chain_name,interv_name
10,0,2487,8,6678,2487,Existential catastrophe from misaligned AI,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
25,0,1153,8,6678,1153,Misaligned Superintelligent AI Existential Risk,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
21,0,1027,8,6678,1027,Catastrophic AI misalignment and loss of control,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
26,0,810,8,6678,810,Misaligned AGI existential catastrophe,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
10,1,644,8,1372,644,Existential catastrophe from misaligned AI,Funding and consensus-building for AI safety capacity,Expand AI Safety Research Funding and Capacity
16,0,598,8,6678,598,Insufficient AI safety research capacity,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
10,2,358,8,1210,358,Existential catastrophe from misaligned AI,AI safety research funding and capacity building,Expand AI Safety Research Funding and Capacity
10,5,333,24,855,333,Existential catastrophe from misaligned AI,Human feedback loops for objective alignment,RLHF fine-tuning for aligned language models
10,3,315,19,600,315,Existential catastrophe from misaligned AI,Robust reward learning and specification gaming,Demonstration-Based Policy Pretraining
26,1,302,8,1372,302,Misaligned AGI existential catastrophe,Funding and consensus-building for AI safety capacity,Expand AI Safety Research Funding and Capacity
10,3,315,5,300,300,Existential catastrophe from misaligned AI,Robust reward learning and specification gaming,Pre-deployment adversarial red-teaming and robustness testing
26,5,286,24,855,286,Misaligned AGI existential catastrophe,Human feedback loops for objective alignment,RLHF fine-tuning for aligned language models
10,1,644,11,277,277,Existential catastrophe from misaligned AI,Funding and consensus-building for AI safety capacity,Public AI risk outreach and educational dissemination
26,1,302,11,277,277,Misaligned AGI existential catastrophe,Funding and consensus-building for AI safety capacity,Public AI risk outreach and educational dissemination
10,4,276,4,894,276,Existential catastrophe from misaligned AI,Corrigible transparency and secure oversight mechanisms,Pre-deployment safety gates and controlled release
10,6,265,6,662,265,Existential catastrophe from misaligned AI,Adversarial robustness through PGD training,PGD Adversarial Training for Robust Fine-Tuning
16,0,598,11,264,264,Insufficient AI safety research capacity,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
10,0,2487,11,264,264,Existential catastrophe from misaligned AI,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
26,0,810,11,264,264,Misaligned AGI existential catastrophe,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
21,0,1027,11,264,264,Catastrophic AI misalignment and loss of control,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
25,0,1153,11,264,264,Misaligned Superintelligent AI Existential Risk,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
25,1,240,8,1372,240,Misaligned Superintelligent AI Existential Risk,Funding and consensus-building for AI safety capacity,Expand AI Safety Research Funding and Capacity
25,1,240,11,277,240,Misaligned Superintelligent AI Existential Risk,Funding and consensus-building for AI safety capacity,Public AI risk outreach and educational dissemination
10,29,224,8,320,224,Existential catastrophe from misaligned AI,Elite-triggered global AI governance coordination,Expand AI Safety Research Funding and Capacity
25,13,223,8,403,223,Misaligned Superintelligent AI Existential Risk,Grant-driven expansion of AI safety research,Expand AI Safety Research Funding and Capacity
10,8,221,11,362,221,Existential catastrophe from misaligned AI,Grant-funded AI safety talent pipeline,Public AI risk outreach and educational dissemination
10,8,221,8,316,221,Existential catastrophe from misaligned AI,Grant-funded AI safety talent pipeline,Expand AI Safety Research Funding and Capacity
26,2,221,8,1210,221,Misaligned AGI existential catastrophe,AI safety research funding and capacity building,Expand AI Safety Research Funding and Capacity
25,2,218,8,1210,218,Misaligned Superintelligent AI Existential Risk,AI safety research funding and capacity building,Expand AI Safety Research Funding and Capacity
21,1,213,8,1372,213,Catastrophic AI misalignment and loss of control,Funding and consensus-building for AI safety capacity,Expand AI Safety Research Funding and Capacity
21,1,213,11,277,213,Catastrophic AI misalignment and loss of control,Funding and consensus-building for AI safety capacity,Public AI risk outreach and educational dissemination
38,0,209,8,6678,209,Catastrophic AGI Misalignment Risk,Funding and training to build AI safety capacity,Expand AI Safety Research Funding and Capacity
38,0,209,11,264,209,Catastrophic AGI Misalignment Risk,Funding and training to build AI safety capacity,Public AI risk outreach and educational dissemination
21,3,201,5,300,201,Catastrophic AI misalignment and loss of control,Robust reward learning and specification gaming,Pre-deployment adversarial red-teaming and robustness testing
21,3,201,19,600,201,Catastrophic AI misalignment and loss of control,Robust reward learning and specification gaming,Demonstration-Based Policy Pretraining
26,8,194,11,362,194,Misaligned AGI existential catastrophe,Grant-funded AI safety talent pipeline,Public AI risk outreach and educational dissemination
26,8,194,8,316,194,Misaligned AGI existential catastrophe,Grant-funded AI safety talent pipeline,Expand AI Safety Research Funding and Capacity
10,20,190,35,360,190,Existential catastrophe from misaligned AI,Human-feedback alignment and goal specification,Human-preference reward model fine-tuning
10,9,182,8,538,182,Existential catastrophe from misaligned AI,AI safety capacity building via funding and fellowships,Expand AI Safety Research Funding and Capacity
25,19,181,35,377,181,Misaligned Superintelligent AI Existential Risk,Human feedback reward-model alignment,Human-preference reward model fine-tuning
10,7,179,8,729,179,Existential catastrophe from misaligned AI,Expanding AI safety research and implementation capacity,Expand AI Safety Research Funding and Capacity
26,21,164,5,175,164,Misaligned AGI existential catastrophe,Preventing reward hacking through robust evaluation,Pre-deployment adversarial red-teaming and robustness testing
26,21,164,35,175,164,Misaligned AGI existential catastrophe,Preventing reward hacking through robust evaluation,Human-preference reward model fine-tuning
6,36,163,8,265,163,Reward Misspecification and Reward Hacking,Funding and capacity-building for AI safety research,Expand AI Safety Research Funding and Capacity
10,18,162,35,190,162,Existential catastrophe from misaligned AI,Human feedback reward-model alignment learning,Human-preference reward model fine-tuning
10,18,162,24,189,162,Existential catastrophe from misaligned AI,Human feedback reward-model alignment learning,RLHF fine-tuning for aligned language models
25,4,160,4,894,160,Misaligned Superintelligent AI Existential Risk,Corrigible transparency and secure oversight mechanisms,Pre-deployment safety gates and controlled release
25,5,158,24,855,158,Misaligned Superintelligent AI Existential Risk,Human feedback loops for objective alignment,RLHF fine-tuning for aligned language models
26,15,156,39,394,156,Misaligned AGI existential catastrophe,Compute chokepoints enabling scalable governance,Export controls on advanced AI hardware
