cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name
4,319,242,0.7417,0.9404,Ineffective or unsafe behavior in reinforcement le | Inefficient exploration causing unsafe behavior in | policy failure from sample inefficiency in model-b | sample inefficiency of reinforcement learning algo | Sample inefficiency in RL due to poor exploration ,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks
0,294,246,0.7039,0.9626,Unreliable out-of-distribution performance in mach | Unreliable out-of-distribution predictions in ML a | Performance degradation of computer vision models  | Incorrect predictions on out-of-distribution input | Poor out-of-distribution generalization in neural ,Unreliable out-of-distribution performance in machine learning systems
10,253,248,0.9133,0.3043,Existential catastrophe from misaligned advanced A | Existential catastrophe from misaligned advanced A | Existential catastrophe from advanced AI systems | Existential catastrophe from misaligned AI in glob | existential catastrophe from misaligned advanced A,Existential catastrophe from misaligned advanced AI systems
16,236,213,0.7388,0.6992,Insufficient AI safety expertise leading to unmana | Insufficient AI safety research capacity relative  | Insufficient skilled AI safety talent pipeline glo | Insufficient capacity for AI safety research and i | Insufficient AI safety research capacity to mitiga,Insufficient AI safety expertise leading to unmanaged AI risks
22,215,187,0.7399,0.8419,Harmful or untruthful outputs in large language mo | Harmful or dishonest behavior in large language mo | Unintended harmful outputs from large language mod | harmful or dishonest language model outputs | Untruthful outputs by large language models in use,Harmful or untruthful outputs in large language models
9,189,179,0.7964,0.7143,Unsafe AI behavior causing negative societal outco | Unsafe behavior of advanced AI systems in real-wor | Unsafe AI system behaviors impacting human safety | Unsafe or misaligned AI systems in societal deploy | Unintended harmful behavior by AI systems in real-,Unsafe AI behavior causing negative societal outcomes in real-world deployment
6,162,146,0.7986,0.6914,Reward mis-specification leading to undesired beha | Reward misspecification leading to misaligned beha | Reward hacking due to misspecified reward function | Reward function misalignment in reinforcement lear | Reward hacking in reinforcement learning environme,Reward mis-specification leading to undesired behaviors in reinforcement learning systems
5,155,136,0.6763,0.9548,Excessive computation and data demands in AI syste | Resource inefficiency in large-scale deep learning | Inefficient compute allocation in large language m | computational resource overuse in model retraining | Resource overuse from training dense networks,Excessive computation and data demands in AI systems
14,154,143,0.6775,0.9545,Erroneous high-stakes decisions from incomprehensi | Erroneous decision-making by AI systems under real | Erroneous AI-assisted decision making in high-stak | Incorrect or unsafe decisions by AI systems in com | Decision errors from uncertainty misestimation in ,Erroneous high-stakes decisions from incomprehensible AI systems
25,135,135,0.945,0.2074,Existential catastrophe from misaligned superintel | Existential catastrophe from misaligned superintel | Existential catastrophe due to misaligned superint | Existential catastrophe from misaligned superintel | Existential catastrophe from misaligned superintel,Existential catastrophe from misaligned superintelligent AI
26,135,134,0.9312,0.2963,Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI system | Existential catastrophe from misaligned AGI deploy | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI in AGI,Existential catastrophe from misaligned AGI
8,124,112,0.7055,0.9597,unsafe human-robot interaction due to incorrect un | Coordination failure in human-robot collaboration | Autonomous robot operational failure in dynamic re | Safety hazards from uncoordinated human-AI co-adap | Human-AI coordination failures in cooperative task,unsafe human-robot interaction due to incorrect understanding of human decisions
21,117,117,0.929,0.3248,Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems i | Catastrophic outcomes from misaligned AI systems | Catastrophic misalignment of highly capable AI sys,Catastrophic misalignment of advanced AI systems
17,109,98,0.8126,0.945,Adversarial vulnerability in image classification  | Adversarial vulnerability in neural network image  | Adversarial misclassification in image classifiers | Adversarial misclassification of image classifiers | Adversarial misclassification vulnerability in ima,Adversarial vulnerability in image classification models
