cluster_type,cluster_id,final_name,review_reason,judge_issues,judge_confidence,top5_node_names
risk,0,Out-of-Distribution Generalization Failure,mandatory_risk,,high,Unreliable out-of-distribution performance in machine learning systems | Unreliable out-of-distribution predictions in ML applications | Performance degradation of computer vision models under real-world distribution shifts | Incorrect predictions on out-of-distribution inputs in deployed image classifiers | Poor out-of-distribution generalization in neural networks
risk,1,Catastrophic Malicious Misuse of Frontier AI,mandatory_risk,,high,Catastrophic misuse of frontier AI capabilities by malicious actors | Catastrophic misuse of advanced AI technologies by malicious actors | Catastrophic misuse of AI capabilities by irresponsible actors | catastrophic AI misuse by malicious actors | Malicious misuse of frontier AI models
risk,2,AI arms race drives unsafe deployment,mandatory_risk,,high,Accelerated AI arms race leading to unsafe AI deployment | AI arms race-induced unsafe acceleration | AI arms race undermining safety precautions | Destabilizing AI arms race between great powers | Destabilizing AI arms race between governments
risk,3,Opaque Transformer Reasoning Undermines Safety Oversight,mandatory_risk,,high,Opaque internal reasoning in transformer language models | Opaque reasoning processes in transformer language models | Opaque reasoning processes in transformer-based language models | Opacity of transformer language model internal mechanisms in safety-critical contexts | Opaque internal representations in large language models
risk,4,Unsafe Exploration and Sample Inefficiency in Reinforcement Learning,mandatory_risk,"The name matches the dominant theme: unsafe or inefficient RL exploration leading to sample inefficiency and harmful actions. Minor overlap exists with broader RL policy failure/safety risks, but the cluster is still coherent.",high,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks | Inefficient exploration causing unsafe behavior in RL agents in complex environments | policy failure from sample inefficiency in model-based reinforcement learning | sample inefficiency of reinforcement learning algorithms in complex domains | Sample inefficiency in RL due to poor exploration in sparse reward environments
risk,5,Compute and data inefficiency in model training,mandatory_risk,,high,Excessive computation and data demands in AI systems | Resource inefficiency in large-scale deep learning training | Inefficient compute allocation in large language model development | computational resource overuse in model retraining for edge AI | Resource overuse from training dense networks
risk,6,Reward Misspecification and Reward Hacking in RL,mandatory_risk,,high,Reward misspecification in reinforcement learning agents | Reward mis-specification causing unintended behavior in RL agents | Reward hacking in reinforcement learning agents | Reward mis-specification in reinforcement learning agents | Reward mis-specification leading to undesired behaviors in reinforcement learning systems
risk,7,Human extinction from misaligned superintelligent AI,mandatory_risk,,high,Human extinction from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI in advanced AI development | Extinction of humanity from misaligned superintelligent AI | Human extinction from misaligned superintelligent AI
risk,8,Human-AI coordination failure in shared environments,mandatory_risk,,high,unsafe human–robot interaction due to incorrect understanding of human decisions | Coordination failure in human-robot collaboration | Autonomous robot operational failure in dynamic real-world environments | Safety hazards from uncoordinated human–AI co-adaptation in critical tasks | coordination failures between AI agents and humans in cooperative settings
risk,9,Unsafe deployed AI causing societal harm,mandatory_risk,,high,Unsafe AI behavior causing negative societal outcomes in real-world deployment | Unsafe behavior of advanced AI systems in real-world deployment | Unsafe or misaligned AI systems in societal deployment | Unsafe AI system behaviors impacting human safety | Unintended harmful behavior by AI systems in real-world contexts
