risk_cid,interv_cid,risk_name,interv_name,interv_type,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost
6.0,8.0,Reward Misspecification and Reward Hacking,Expand AI Safety Research Funding and Capacity,field-building,0,1072,6141,1072
20.0,8.0,Deceptive alignment and hidden objectives,Expand AI Safety Research Funding and Capacity,field-building,0,877,3830,877
16.0,35.0,Insufficient AI safety research capacity,Human-preference reward model fine-tuning,technical,0,684,4242,684
25.0,24.0,Misaligned Superintelligent AI Existential Risk,RLHF fine-tuning for aligned language models,technical,0,457,1703,457
16.0,6.0,Insufficient AI safety research capacity,PGD Adversarial Training for Robust Fine-Tuning,technical,0,315,2095,315
10.0,19.0,Existential catastrophe from misaligned AI,Demonstration-Based Policy Pretraining,governance,0,265,851,265
10.0,26.0,Existential catastrophe from misaligned AI,Reward-guided RL fine-tuning with safety constraints,technical,0,262,2096,262
10.0,32.0,Existential catastrophe from misaligned AI,Attainable Utility Preservation reward penalty,technical,0,208,1526,208
20.0,35.0,Deceptive alignment and hidden objectives,Human-preference reward model fine-tuning,technical,0,200,1306,200
24.0,8.0,Objective Misspecification and Misaligned Optimization,Expand AI Safety Research Funding and Capacity,field-building,0,200,1095,200
15.0,8.0,Opaque AI decision-making undermines oversight and safety,Expand AI Safety Research Funding and Capacity,field-building,0,193,2760,193
16.0,15.0,Insufficient AI safety research capacity,Pre-deployment mechanistic interpretability audits,governance,0,184,1121,184
0.0,8.0,Out-of-distribution generalization failure,Expand AI Safety Research Funding and Capacity,field-building,0,180,1196,180
10.0,17.0,Existential catastrophe from misaligned AI,Runtime control and coordination modules,technical,0,179,597,179
25.0,26.0,Misaligned Superintelligent AI Existential Risk,Reward-guided RL fine-tuning with safety constraints,technical,0,175,995,175
2.0,35.0,AI arms race causing unsafe deployment,Human-preference reward model fine-tuning,technical,0,170,1460,170
25.0,39.0,Misaligned Superintelligent AI Existential Risk,Export controls on advanced AI hardware,governance,0,163,1004,163
25.0,32.0,Misaligned Superintelligent AI Existential Risk,Attainable Utility Preservation reward penalty,technical,0,162,782,162
4.0,8.0,Unsafe and Sample-Inefficient RL Exploration,Expand AI Safety Research Funding and Capacity,field-building,0,160,2548,160
8.0,8.0,Human-AI Coordination Failure in Shared Environments,Expand AI Safety Research Funding and Capacity,field-building,0,156,427,156
26.0,29.0,Misaligned AGI existential catastrophe,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,150,243,150
20.0,11.0,Deceptive alignment and hidden objectives,Public AI risk outreach and educational dissemination,field-building,0,136,709,136
25.0,17.0,Misaligned Superintelligent AI Existential Risk,Runtime control and coordination modules,technical,0,131,371,131
21.0,32.0,Catastrophic AI misalignment and loss of control,Attainable Utility Preservation reward penalty,technical,0,129,744,129
25.0,15.0,Misaligned Superintelligent AI Existential Risk,Pre-deployment mechanistic interpretability audits,governance,0,124,942,124
17.0,8.0,Adversarial Image Classification Misclassification,Expand AI Safety Research Funding and Capacity,field-building,0,118,1650,118
16.0,32.0,Insufficient AI safety research capacity,Attainable Utility Preservation reward penalty,technical,0,118,810,118
1.0,24.0,Malicious misuse of frontier AI for large-scale harm,RLHF fine-tuning for aligned language models,technical,0,110,622,110
14.0,8.0,Unsafe AI Decisions in High-Stakes Settings,Expand AI Safety Research Funding and Capacity,field-building,0,110,476,110
34.0,35.0,Instrumental power-seeking by advanced AI agents,Human-preference reward model fine-tuning,technical,0,110,422,110
26.0,26.0,Misaligned AGI existential catastrophe,Reward-guided RL fine-tuning with safety constraints,technical,0,100,1068,100
32.0,8.0,AI shutdown resistance and control loss,Expand AI Safety Research Funding and Capacity,field-building,0,98,398,98
10.0,29.0,Existential catastrophe from misaligned AI,"Neuroscience validation platforms for cognition, emulation, and alignment research",technical,0,98,395,98
25.0,1.0,Misaligned Superintelligent AI Existential Risk,Continuous anomaly monitoring and safety tripwires,technical,0,91,720,91
21.0,39.0,Catastrophic AI misalignment and loss of control,Export controls on advanced AI hardware,governance,0,91,919,91
25.0,6.0,Misaligned Superintelligent AI Existential Risk,PGD Adversarial Training for Robust Fine-Tuning,technical,0,85,1562,85
21.0,23.0,Catastrophic AI misalignment and loss of control,Human-aware predictive robot control and safety planning,technical,0,85,523,85
10.0,31.0,Existential catastrophe from misaligned AI,Human-AI collaboration tools for skill building,technical,0,84,183,84
35.0,6.0,Advanced AI value misalignment risk,PGD Adversarial Training for Robust Fine-Tuning,technical,0,80,403,80
6.0,10.0,Reward Misspecification and Reward Hacking,Governed AI oversight and compliance regimes,governance,0,80,687,80
15.0,24.0,Opaque AI decision-making undermines oversight and safety,RLHF fine-tuning for aligned language models,technical,0,78,469,78
21.0,27.0,Catastrophic AI misalignment and loss of control,KL-Regularized RLHF Fine-Tuning,technical,0,78,368,78
25.0,27.0,Misaligned Superintelligent AI Existential Risk,KL-Regularized RLHF Fine-Tuning,technical,0,75,356,75
25.0,33.0,Misaligned Superintelligent AI Existential Risk,Deployment-time prompt engineering for aligned behavior,technical,0,73,98,73
34.0,24.0,Instrumental power-seeking by advanced AI agents,RLHF fine-tuning for aligned language models,technical,0,72,204,72
21.0,17.0,Catastrophic AI misalignment and loss of control,Runtime control and coordination modules,technical,0,72,258,72
2.0,6.0,AI arms race causing unsafe deployment,PGD Adversarial Training for Robust Fine-Tuning,technical,0,70,732,70
26.0,32.0,Misaligned AGI existential catastrophe,Attainable Utility Preservation reward penalty,technical,0,69,732,69
16.0,27.0,Insufficient AI safety research capacity,KL-Regularized RLHF Fine-Tuning,technical,0,68,366,68
