cluster_id,n_nodes,n_sources,centroid_sim_mean,edge_only_path_fraction,top5_names,top_node_name,closest3_names,farthest3_names,centroid_sim_min,centroid_sim_max
4,319,242,0.7417,0.9404,Ineffective or unsafe behavior in reinforcement le | Inefficient exploration causing unsafe behavior in | policy failure from sample inefficiency in model-b | sample inefficiency of reinforcement learning algo | Sample inefficiency in RL due to poor exploration ,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks,Ineffective or unsafe behavior in reinforcement learning agents in complex tasks | Inefficient exploration causing unsafe behavior in RL agents in complex environments | policy failure from sample inefficiency in model-based reinforcement learning,Reduced farming profit in Stardew Valley first spring | Software transparency barriers in MineRL stack | Equipment damage from unsafe actuator commands in optical interferometer alignment,0.3629,0.8795
0,294,246,0.7039,0.9626,Unreliable out-of-distribution performance in mach | Unreliable out-of-distribution predictions in ML a | Performance degradation of computer vision models  | Incorrect predictions on out-of-distribution input | Poor out-of-distribution generalization in neural ,Unreliable out-of-distribution performance in machine learning systems,Unreliable out-of-distribution performance in machine learning systems | Unreliable out-of-distribution predictions in ML applications | Performance degradation of computer vision models under real-world distribution shifts,Productivity loss from disruptive notifications in multitasking desktop environments | Unprocessed qualitative data bottleneck in social science research | Alert fatigue in security operations centers,0.4636,0.8349
10,253,248,0.9133,0.3043,Existential catastrophe from misaligned advanced A | Existential catastrophe from misaligned advanced A | Existential catastrophe from advanced AI systems | Existential catastrophe from misaligned AI in glob | existential catastrophe from misaligned advanced A,Existential catastrophe from misaligned advanced AI systems,Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems | Existential catastrophe from misaligned advanced AI systems,High suffering of farm animals in factory farming | Ongoing large-scale suffering of farmed animals due to slow moral circle expansion | severe suffering of farmed animals in intensive agriculture,0.3552,0.9792
16,236,213,0.7388,0.6992,Insufficient AI safety expertise leading to unmana | Insufficient AI safety research capacity relative  | Insufficient skilled AI safety talent pipeline glo | Insufficient capacity for AI safety research and i | Insufficient AI safety research capacity to mitiga,Insufficient AI safety expertise leading to unmanaged AI risks,Insufficient AI safety research capacity to mitigate AI risks | Insufficient AI safety expertise leading to unmanaged AI risks | Insufficient talent pipeline for AI safety research,Windfall Clause voided under UK competition law | Financial resource waste from Goodharting in online advertising | revenue loss and offloading costs in air-cargo operations,0.3343,0.9128
22,215,187,0.7399,0.8419,Harmful or untruthful outputs in large language mo | Harmful or dishonest behavior in large language mo | Unintended harmful outputs from large language mod | harmful or dishonest language model outputs | Untruthful outputs by large language models in use,Harmful or untruthful outputs in large language models,Harmful or untruthful outputs in large language models | Harmful or dishonest behavior in large language models | Harmful or untruthful outputs from large language models,aggressive hallucination and harassment by search chatbots | false sense of understanding due to fading novelty in learning | low accuracy on compositional multi-hop question answering in QA systems,0.5227,0.8855
9,189,179,0.7964,0.7143,Unsafe AI behavior causing negative societal outco | Unsafe behavior of advanced AI systems in real-wor | Unsafe AI system behaviors impacting human safety | Unsafe or misaligned AI systems in societal deploy | Unintended harmful behavior by AI systems in real-,Unsafe AI behavior causing negative societal outcomes in real-world deployment,Unsafe AI behavior causing negative societal outcomes in real-world deployment | Unsafe behavior of advanced AI systems in real-world deployment | Unsafe or misaligned AI systems in societal deployment,Systemic financial instability from high-frequency trading time compression | Long-term physiological side effects from unregulated brain stimulation devices | Socioeconomic inequity in cognitive enhancement access,0.4457,0.9353
6,162,146,0.7986,0.6914,Reward mis-specification leading to undesired beha | Reward misspecification leading to misaligned beha | Reward hacking due to misspecified reward function | Reward function misalignment in reinforcement lear | Reward hacking in reinforcement learning environme,Reward mis-specification leading to undesired behaviors in reinforcement learning systems,Reward misspecification in reinforcement learning agents | Reward mis-specification causing unintended behavior in RL agents | Reward hacking in reinforcement learning agents,Nondeterministic execution order in side-effectful TensorFlow ops | interference with environment to preserve future tasks by agents | Termination bias causing unintended episode length behavior in LfH policies,0.5243,0.9367
5,155,136,0.6763,0.9548,Excessive computation and data demands in AI syste | Resource inefficiency in large-scale deep learning | Inefficient compute allocation in large language m | computational resource overuse in model retraining | Resource overuse from training dense networks,Excessive computation and data demands in AI systems,Excessive computation and data demands in AI systems | Resource inefficiency in large-scale deep learning training | Inefficient compute allocation in large language model development,Limited access to contract legal support for small businesses and individuals | High illustration cost in small-scale game development | Excess communication cost for transmitting trits via binary channel,0.3856,0.8294
14,154,143,0.6775,0.9545,Erroneous high-stakes decisions from incomprehensi | Erroneous decision-making by AI systems under real | Erroneous AI-assisted decision making in high-stak | Incorrect or unsafe decisions by AI systems in com | Decision errors from uncertainty misestimation in ,Erroneous high-stakes decisions from incomprehensible AI systems,Erroneous high-stakes decisions from incomprehensible AI systems | Erroneous decision-making by AI systems under real-world conditions | Incorrect or unsafe decisions by AI systems in complex domains,Preventable sight loss from delayed AMD diagnosis in UK ophthalmology | Routing faults causing misdelivery of optical signals in WRONoC | Systematic bias in galaxy halo mass estimation for ΛCDM validation,0.454,0.8394
25,135,135,0.945,0.2074,Existential catastrophe from misaligned superintel | Existential catastrophe from misaligned superintel | Existential catastrophe due to misaligned superint | Existential catastrophe from misaligned superintel | Existential catastrophe from misaligned superintel,Existential catastrophe from misaligned superintelligent AI,Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI | Existential catastrophe from misaligned superintelligent AI,Fermi paradox misinterpretation in astrobiology discourse | Unaligned artificial superintelligence takeover | Unaligned superintelligent AI obtaining decisive strategic advantage,0.5437,0.9821
26,135,134,0.9312,0.2963,Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI system | Existential catastrophe from misaligned AGI deploy | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI in AGI,Existential catastrophe from misaligned AGI,Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI | Existential catastrophe from misaligned AGI,Opacity and uncontrolled objectives in evolution-from-scratch AGI | Financial instability from overreacting to AI doom predictions | Tyranny and value lock-in from centralized AGI singleton,0.6738,0.9855
8,124,112,0.7055,0.9597,unsafe human-robot interaction due to incorrect un | Coordination failure in human-robot collaboration | Autonomous robot operational failure in dynamic re | Safety hazards from uncoordinated human-AI co-adap | Human-AI coordination failures in cooperative task,unsafe human-robot interaction due to incorrect understanding of human decisions,unsafe human–robot interaction due to incorrect understanding of human decisions | Coordination failure in human-robot collaboration | Autonomous robot operational failure in dynamic real-world environments,thin liquidity and wide bid-ask spreads in option chains | Fraudulent double-issuing of impact claims | Unachievable envy-free allocation of indivisible goods,0.3768,0.8484
21,117,117,0.929,0.3248,Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems i | Catastrophic outcomes from misaligned AI systems | Catastrophic misalignment of highly capable AI sys,Catastrophic misalignment of advanced AI systems,Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems | Catastrophic misalignment of advanced AI systems,Multipolar development of TAI with many actors raises coordination failures | malign influence from simulated consequentialists via Solomonoff prior in AI decision-making | Catastrophic failures from outcome-gaming by advanced ML systems,0.5349,0.9825
17,109,98,0.8126,0.945,Adversarial vulnerability in image classification  | Adversarial vulnerability in neural network image  | Adversarial misclassification in image classifiers | Adversarial misclassification of image classifiers | Adversarial misclassification vulnerability in ima,Adversarial vulnerability in image classification models,Adversarial vulnerability in image classification models | Adversarial vulnerability in neural network image classifiers | Adversarial misclassification in image classifiers,Misclassification of simplicity of alternating group A_n for n>4 in algebraic studies | Predictable security patrol schedules enable successful adversary attacks in critical infrastructure | Racial misclassification of black people as gorillas in image classification models,0.4729,0.9363
15,101,95,0.7853,0.7624,Opaque decision-making in deep neural networks | Opaque decision-making in deep neural networks dep | Opaque decision-making processes in machine learni | Opaque decision processes in neural networks | Opaque decision-making in deep learning models,Opaque decision-making in deep neural networks,Opaque decision-making in deep neural networks deployed in safety-critical AI | Opaque decision-making in deep neural networks | Opaque decision processes in neural networks,Occlusion of tissue microstructure by marker ink in digital H&E slide images | Limited relational reasoning over arbitrary graphs | verification intractability for large neural networks,0.4681,0.9344
19,99,97,0.8501,0.404,Loss of human control over advanced AI systems | Human disempowerment by unaligned advanced AI syst | Human disempowerment by power-seeking advanced AI  | Disempowerment of humanity by misaligned power-see | loss of human control by superintelligent AI,Loss of human control over advanced AI systems,Catastrophic human disempowerment by misaligned AI systems | Human disempowerment from misaligned advanced AI | Loss of human control over advanced AI systems,Totalitarian moral collapse in societies | Loss of personal identity for ALS patients due to generic speech in augmentative devices | Loss of human experiential knowledge in CIM decision-making,0.5263,0.9473
35,96,94,0.8682,0.5417,Value misalignment in advanced AI systems | objective misalignment in advanced AI systems | Goal misalignment in advanced AI systems | Value misalignment in advanced AI systems | Misalignment of AI systems with human values,Value misalignment in advanced AI systems,Value misalignment in advanced AI systems | Misalignment of AI goals with human values in advanced AI systems | Value misalignment in advanced AI systems,High customer service load due to misclassified user intents | Unmet delegated goals due to undetected sub-optimal plan execution in autonomous agents | Failure to communicate human preferences to AI systems,0.5426,0.9753
